title,year,importance,theme,subtheme,source_quality,repo_relevance,curated_tags,tag_count,tag_token_estimate,tag_rationale,model,error
AI-Slop and Political Propaganda: The Role of AI-Generated Content in Memes and Influence Campaigns,2025,Curated,"AI Safety, Influence Operations, and Societal Risk",Influence operations and persuasion risk,substantial_full_text,core,synthetic media propaganda; ai generated memes; political influence operations; democratic resilience risk; epistemic integrity degradation; platform accountability gaps; digital literacy deficits; nationalist narrative amplification; rumenian election case study; social media manipulation tactics,10,41,"Tags are derived directly from the paper's focus on AI-slop as a propaganda tool in Romanian elections, emphasizing method (case study), domain (political communication), and risks (democratic resilience, epistemic integrity) while avoiding forbidden broad terms.",Qwen/Qwen3.6-35B-A3B,
Assessing the risks and opportunities posed by AI-enhanced influence operations on social media,2024,Important,"AI Safety, Influence Operations, and Societal Risk",Influence operations and persuasion risk,substantial_full_text,important,human machine hybrid farms; synthetic media detection; social media influence operations; llm hallucination patterns; statistical anomaly analysis; multilingual content scaling; prompt injection attacks; rlhf value alignment bypass; diplomatic monitoring tools; generative content classification,10,42,"Tags are derived directly from the paper's conceptual analysis of LLM capabilities, hybrid threat models, and proposed detection methodologies, avoiding forbidden broad terms.",Qwen/Qwen3.6-35B-A3B,
Characterizing the 2016 Russian IRA influence campaign,2018,Important,"AI Safety, Influence Operations, and Societal Risk",Influence operations and persuasion risk,substantial_full_text,core,social bot detection; political ideology classification; retweet network analysis; foreign influence operations; asymmetric content amplification; automated account prevalence; geospatial engagement patterns; troll network centrality; conservative user behavior; election interference dynamics,10,39,"Tags are derived directly from the paper's quantitative methods (bot detection, ideology classification), specific dataset (2016 Twitter data), and core findings regarding asymmetric amplification and network centrality of Russian IRA trolls.",Qwen/Qwen3.6-35B-A3B,
Charting the Landscape of Nefarious Uses of Generative Artificial Intelligence for Online Election Interference,2024,Important,"AI Safety, Influence Operations, and Societal Risk",Influence operations and persuasion risk,substantial_full_text,core,election interference; synthetic media threats; disinformation campaigns; political polarization; democratic integrity; botnet manipulation; deepfake detection; public trust erosion; regulatory oversight; media literacy,10,31,"Tags are derived directly from the paper's focus on GenAI-enabled election threats, societal impacts, and mitigation strategies, avoiding forbidden broad terms by specifying the political and technical context.",Qwen/Qwen3.6-35B-A3B,
ClausewitzGPT Framework: A New Frontier in Theoretical Large Language Model Enhanced Information Operations,2023,Curated,"AI Safety, Influence Operations, and Societal Risk",Influence operations and persuasion risk,substantial_full_text,core,information operations; narrative shaping; autonomous ai agents; ethical guardrails; disinformation campaigns; strategic alignment; moral oversight; ai advantage metrics; theoretical framework; autonomous agents,10,31,"Tags are derived directly from the paper's title, theme, and detailed summary, focusing on the specific concepts of information operations, ethical AI integration, and theoretical modeling while avoiding forbidden broad terms.",Qwen/Qwen3.6-35B-A3B,
Do Bots Do It Better? Analyzing the Effectiveness of Automated Agents in State-Sponsored Information Operations,2025,Important,"AI Safety, Influence Operations, and Societal Risk",Influence operations and persuasion risk,substantial_full_text,important,state sponsored information operations; automated agent effectiveness; social role amplification; x platform influence; sequence based clustering; generalized linear mixed models; engagement longevity metrics; human agent comparison; content producer roles; amplifier role dynamics,10,41,"Tags are derived directly from the paper's specific methodology (clustering, ZINB models), dataset (X archive), and core findings regarding the comparative performance of automated versus human agents within state-sponsored influence operations.",Qwen/Qwen3.6-35B-A3B,
Evaluating the persuasive influence of political microtargeting with large language models,2024,Important,"AI Safety, Influence Operations, and Societal Risk",Influence operations and persuasion risk,partial_text,important,political microtargeting; llm persuasion efficacy; personalized political messaging; randomized control trial; gptarget2024 dataset; generic message comparison; political influence operations; ai generated persuasion; demographic data targeting; preregistered experiment,10,36,"Tags are derived directly from the title, summary, and dataset name, focusing on the specific experimental design, the comparison between targeted and generic messages, and the political context, while avoiding forbidden broad terms.",Qwen/Qwen3.6-35B-A3B,
Exposing influence campaigns in the age of LLMs: a behavioral-based AI approach to detecting state-sponsored trolls,2022,Curated,"AI Safety, Influence Operations, and Societal Risk",Influence operations and persuasion risk,substantial_full_text,core,behavioral detection method; state sponsored troll detection; lstm trajectory classification; twitter sharing sequences; election interference analysis; russian interference campaign; global influence operations; llm resilient detection; troll score metric; social media inauthenticity,10,40,"Tags are derived directly from the paper's focus on behavioral LSTM classification of Twitter sharing sequences to detect state-sponsored trolls in election interference contexts, avoiding forbidden broad AI or political science terms.",Qwen/Qwen3.6-35B-A3B,
Generative Language Models and Automated Influence Operations: Emerging Threats and Potential Mitigations,2023,Important,"AI Safety, Influence Operations, and Societal Risk",Influence operations and persuasion risk,substantial_full_text,core,influence operation scaling; automated disinformation; persuasive content generation; kill chain mitigation; multi stakeholder security; online manipulation risks; belief formation defense; content dissemination control; model access restrictions; generative language models,10,38,"Tags are derived from the paper's core argument regarding the transformation of influence operations by generative models and its proposed multi-stage mitigation framework, avoiding forbidden broad terms.",Qwen/Qwen3.6-35B-A3B,
Generative artificial intelligence in the electoral processes of 2024 in the world: disinformation campaigns and online trolls,2024,Curated,"AI Safety, Influence Operations, and Societal Risk",Influence operations and persuasion risk,partial_text,important,electoral disinformation; automated bot credibility; online troll activity; political propaganda risk; democratic integrity threat; social media manipulation; election security vulnerability; hate speech amplification; information warfare tactics; influence operations,10,37,"Tags are derived from the paper's conceptual analysis of AI-enhanced influence operations in 2024 elections, focusing on specific risks like bot credibility and narrative generation rather than broad AI or political science categories.",Qwen/Qwen3.6-35B-A3B,
