id,priority,theme,subtheme,title,year_or_timeframe,source_url,notes
fog-rel-001,Core,"Geopolitics, Diplomacy, National Security, and Wargaming",Military decision-making and wargaming,"Red Lines and Grey Zones in the Fog of War: Benchmarking Legal Risk, Moral Harm, and Regional Bias in Large Language Model Military Decision-Making",2025,https://www.semanticscholar.org/paper/6a690b749ac5eaafc0918b452c8cec5cff72c723,Direct benchmark for LLM military decision-making under fog-of-war conditions.
fog-rel-002,Core,"Geopolitics, Diplomacy, National Security, and Wargaming",Military decision-making and wargaming,WARBENCH: A Comprehensive Benchmark for Evaluating LLMs in Military Decision-Making,2026,https://www.semanticscholar.org/paper/0f12312d9802499773ef7adfa506937263c4f523,Military decision-making benchmark with explicit fog-of-war and IHL stress tests.
fog-rel-003,Important,"Geopolitics, Diplomacy, National Security, and Wargaming",Military decision-making and wargaming,ARMOR 2025: A Military-Aligned Benchmark for Evaluating Large Language Model Safety Beyond Civilian Contexts,2026,https://www.semanticscholar.org/paper/893c4cf88cd76f31a267cca45ad6b30846e31ec3,Military-aligned LLM safety benchmark beyond civilian safety settings.
fog-rel-004,Important,"Geopolitics, Diplomacy, National Security, and Wargaming",Military decision-making and wargaming,The Prompt War: How AI Decides on a Military Intervention,2025,https://www.semanticscholar.org/paper/5711422371477106fcb16ce63599a75a45477711,Direct study of LLM support for military intervention decisions.
fog-rel-005,Core,"Geopolitics, Diplomacy, National Security, and Wargaming","Conflict, escalation, and geopolitical simulation",AI Arms and Influence: Frontier Models Exhibit Sophisticated Reasoning in Simulated Nuclear Crises,2026,https://www.semanticscholar.org/paper/61159eaad2619f56621105de3670b54da562e340,Direct nuclear-crisis simulation study of frontier model strategic reasoning and signaling.
fog-rel-006,Core,"Forecasting, Geopolitical Risk, and Foresight",Geopolitical event prediction systems,ThinkTank-ME: A Multi-Expert Framework for Middle East Event Forecasting,2026,https://www.semanticscholar.org/paper/a29b9d962c17189d7f122b02e5ed217499e19e5b,Direct Middle East geopolitical event forecasting framework cited by the fog-of-war paper.
fog-rel-007,Important,"Forecasting, Geopolitical Risk, and Foresight",Forecasting performance and aggregation,Pitfalls in Evaluating Language Model Forecasters,2025,https://www.semanticscholar.org/paper/aceb94676d003e84cdc29a9c72259c3d412c7e61,Directly addresses temporal leakage and external validity risks in LLM forecasting evaluation.
fog-rel-008,Important,"Forecasting, Geopolitical Risk, and Foresight",Forecasting performance and aggregation,Simulated Ignorance Fails: A Systematic Study of LLM Behaviors on Forecasting Problems Before Model Knowledge Cutoff,2026,https://www.semanticscholar.org/paper/9a08a05560778e664c3ae47108be0fc501385d63,Directly relevant to the fog-of-war paper's cutoff and hindsight-bias design.
fog-rel-009,Important,"Forecasting, Geopolitical Risk, and Foresight",Forecasting performance and aggregation,Do Language Models Update their Forecasts with New Information?,2025,https://www.semanticscholar.org/paper/eb24c93d4efa0d9fb6c7823ae0adf61a6d025208,Directly studies whether LLM forecasts update as new information arrives during unfolding events.
fog-rel-010,Important,"Forecasting, Geopolitical Risk, and Foresight",Forecasting benchmarks and datasets,The Future Outcome Reasoning and Confidence Assessment Benchmark,2025,https://www.semanticscholar.org/paper/453baf82f811e32aa005a57e807415857d7b4685,Forecasting benchmark focused on future outcome reasoning and confidence calibration.
fog-rel-011,Core,"Strategic Reasoning, Games, Negotiation, and Cooperation",Game-theoretic and strategic reasoning benchmarks,SPIN-Bench: How Well Do LLMs Plan Strategically and Reason Socially?,2025,https://www.semanticscholar.org/paper/ec26efa475d105905d8553eedd141f7905967e5c,Strategic planning and social reasoning benchmark for AI agents.
fog-rel-012,Core,Political Science and Strategic Judgment Foundations,"International politics, intelligence, and crisis judgment","Analysis, War, and Decision: Why Intelligence Failures Are Inevitable",1978,https://www.semanticscholar.org/paper/0d5f8a5303dc849f3a3c0080fbf0ca683066024d,Classic intelligence-analysis paper directly relevant to fog-of-war reasoning and decision failure.
fog-rel-013,Core,Political Science and Strategic Judgment Foundations,"Forecasting, hindsight bias, and expert judgment",Hindsight (Not Equal To) Foresight: The Effect of Outcome Knowledge on Judgment Under Uncertainty.,1975,https://www.semanticscholar.org/paper/e1f8236ec4aadff6caa0f55b91c87b02f2e9b6f9,Classic hindsight-bias paper underlying temporally grounded evaluation design.
fog-rel-014,Core,Political Science and Strategic Judgment Foundations,"International politics, intelligence, and crisis judgment",Perception and Misperception in International Politics,1976,https://www.semanticscholar.org/paper/4339c93c91e296e34ce08cb3555e48d6244ac0f8,Classic international-relations foundation for misperception and crisis reasoning.
fog-rel-015,Core,Political Science and Strategic Judgment Foundations,"Forecasting, hindsight bias, and expert judgment",Expert Political Judgment: How Good Is It? How Can We Know?,2005,https://www.semanticscholar.org/paper/4691b69e151938fb09298597644592c6254218a5,Classic political forecasting and expert judgment foundation.
fog-rel-016,Core,Political Science and Strategic Judgment Foundations,"Forecasting, hindsight bias, and expert judgment",Superforecasting: The Art and Science of Prediction,2015,https://www.semanticscholar.org/paper/7fd0b7c04157ca1459ca16607de9ec139fd9ad51,Classic forecasting foundation behind human and AI forecasting evaluation.
