slug,title,year,importance,theme,subtheme,citationCount,status,text_path,text_source,text_chars,truncated_for_model,error
a-bargaining-model-of-war-and-peace-anticipating-the-onset-a936470458,"A Bargaining Model of War and Peace: Anticipating the Onset, Duration, and Outcome of War",2002,Important,Political Science and Strategic Judgment Foundations,"Bargaining, signaling, and war",340,extracted,data/paper_cache/text/a-bargaining-model-of-war-and-peace-anticipating-the-onset-a936470458.txt,html,1123,False,
a-bayesian-hierarchical-topic-model-for-political-texts-measuring-expressed-2d55e5bf35,A Bayesian Hierarchical Topic Model for Political Texts: Measuring Expressed Agendas in Senate Press Releases,2010,Core,Classical Political NLP and Information Extraction,Political text as data and policy-position extraction,584,extracted,data/paper_cache/text/a-bayesian-hierarchical-topic-model-for-political-texts-measuring-expressed-2d55e5bf35.txt,pdf_pypdf,115032,True,
a-comprehensive-evaluation-of-large-language-models-on-temporal-event-13dca66083,A Comprehensive Evaluation of Large Language Models on Temporal Event Forecasting,2024,Important,"Forecasting, Geopolitical Risk, and Foresight",Forecasting performance and aggregation,12,extracted,data/paper_cache/text/a-comprehensive-evaluation-of-large-language-models-on-temporal-event-13dca66083.txt,pdf_pypdf,79146,True,
a-large-scale-simulation-on-large-language-models-for-decision-44178263b7,A Large-Scale Simulation on Large Language Models for Decision-Making in Political Science,2024,Curated,"Politics, Democracy, Public Opinion, and Persuasion",Legislative and political-agent simulation,7,extracted,data/paper_cache/text/a-large-scale-simulation-on-large-language-models-for-decision-44178263b7.txt,pdf_pypdf,71430,True,
a-method-of-automated-nonparametric-content-analysis-for-social-science-529cb5f537,A Method of Automated Nonparametric Content Analysis for Social Science,2010,Core,Classical Political NLP and Information Extraction,Political text as data and policy-position extraction,815,extracted,data/paper_cache/text/a-method-of-automated-nonparametric-content-analysis-for-social-science-529cb5f537.txt,html,2847,False,
a-methodology-to-develop-agent-based-models-for-policy-support-28beb636e8,A Methodology to Develop Agent-Based Models for Policy Support Via Qualitative Inquiry,2023,Curated,"Policymaking, Governance, and Institutional Decision Support",Public-sector decision support and institutional workflow,18,extracted,data/paper_cache/text/a-methodology-to-develop-agent-based-models-for-policy-support-28beb636e8.txt,pdf_pypdf,120000,True,
a-multi-dimensional-audit-of-politically-aligned-large-language-models-6482a4ba29,A Multi-Dimensional Audit of Politically Aligned Large Language Models,2026,Curated,"Politics, Democracy, Public Opinion, and Persuasion","Political ideology, representation, and bias",0,extracted,data/paper_cache/text/a-multi-dimensional-audit-of-politically-aligned-large-language-models-6482a4ba29.txt,pdf_pypdf,69841,True,
a-public-dataset-tracking-social-media-discourse-about-the-2024-98ea04415b,A Public Dataset Tracking Social Media Discourse about the 2024 U.S. Presidential Election on Twitter/X,2024,Curated,"Politics, Democracy, Public Opinion, and Persuasion","Elections, voters, and campaign discourse",24,extracted,data/paper_cache/text/a-public-dataset-tracking-social-media-discourse-about-the-2024-98ea04415b.txt,pdf_pypdf,23734,False,
a-scaling-model-for-estimating-time-series-party-positions-from-d4f6ee98e1,A Scaling Model for Estimating Time-Series Party Positions from Texts,2007,Core,Classical Political NLP and Information Extraction,Political text as data and policy-position extraction,741,missing_download,,,0,False,download_missing
a-survey-on-large-language-model-based-social-agents-in-cab1a75c18,A Survey on Large Language Model-Based Social Agents in Game-Theoretic Scenarios,2024,Curated,"Foundations, Surveys, and Methods",Strategic reasoning and game-theoretic reviews,24,extracted,data/paper_cache/text/a-survey-on-large-language-model-based-social-agents-in-cab1a75c18.txt,pdf_pypdf,120000,True,
