curated_rank,curated_category,paperId,title,year,citationCount,seed_overlap_count,relevance_score,relation_summary,source_seed_titles,url,doi,arxiv,venue,authors,abstract
1,Forecasting and Decision-Making,e78188daf9a18840933f3acfc9b3ccfea3db7856,Wisdom of the silicon crowd: LLM ensemble prediction capabilities rival human crowd accuracy,2024,72,3,52.52,citation:1; reference:2,Approaching Human-Level Forecasting with Language Models | ForecastBench: A Dynamic Benchmark of AI Forecasting Capabilities | OpenEP: Open-Ended Future Event Prediction,https://www.semanticscholar.org/paper/e78188daf9a18840933f3acfc9b3ccfea3db7856,10.48550/arXiv.2402.19379,2402.19379,Science Advances,P. Schoenegger; Indre Tuminauskaite; P. S. Park; P. Tetlock,"Human forecasting accuracy improves through the “wisdom of the crowd” effect, in which aggregated predictions tend to outperform individual ones. Past research suggests that individual large language models (LLMs) tend to underperform compared to human crowd aggregates. We simulate a wisdom of the crowd effect with LLMs. Specifically, we use an ensemble of 12 LLMs to make probabilistic predictions about 31 binary questions, comparing them with those made by 925 human forecasters in a 3-month tournament. We show that the LLM crowd outperforms a no-information benchmark and is statistically indistinguishable from the human crowd. We also observe human-like biases, such as the acquiescence bias. In another study, we find that LLM predictions (of GPT-4 and Claude 2) improve when exposed to the median human prediction, increasing accuracy by 17 to 28%. However, simply averaging human and machine forecasts yields more accurate results. Our findings suggest that LLM predictions can rival the human crowd’s forecasting accuracy through simple aggregation."
2,Forecasting and Decision-Making,2a85c44afeeeb336c5eafcd4001ccb033d3d1f1c,Forecasting Future World Events with Neural Networks,2022,45,3,64.91,reference:3,Approaching Human-Level Forecasting with Language Models | ForecastBench: A Dynamic Benchmark of AI Forecasting Capabilities | Forecasting Future International Events: A Reliable Dataset for Text-Based Event Modeling / WORLDREP,https://www.semanticscholar.org/paper/2a85c44afeeeb336c5eafcd4001ccb033d3d1f1c,10.48550/arXiv.2206.15474,2206.15474,Neural Information Processing Systems,Andy Zou; Tristan Xiao; Ryan Jia; Joe Kwon; Mantas Mazeika; Richard Li; Dawn Song; J. Steinhardt; Owain Evans; Dan Hendrycks,"Forecasting future world events is a challenging but valuable task. Forecasts of climate, geopolitical conflict, pandemics and economic indicators help shape policy and decision making. In these domains, the judgment of expert humans contributes to the best forecasts. Given advances in language modeling, can these forecasts be automated? To this end, we introduce Autocast, a dataset containing thousands of forecasting questions and an accompanying news corpus. Questions are taken from forecasting tournaments, ensuring high quality, real-world importance, and diversity. The news corpus is organized by date, allowing us to precisely simulate the conditions under which humans made past forecasts (avoiding leakage from the future). Motivated by the difficulty of forecasting numbers across orders of magnitude (e.g. global cases of COVID-19 in 2022), we also curate IntervalQA, a dataset of numerical questions and metrics for calibration. We test language models on our forecasting task and find that performance is far below a human expert baseline. However, performance improves with increased model size and incorporation of relevant information from the news corpus. In sum, Autocast poses a novel challenge for large language models and improved performance could bring large practical benefits."
3,Forecasting and Decision-Making,5a23700c5198e44a05336f7a2e7a7d7d183ad625,Large Language Model Prediction Capabilities: Evidence from a Real-World Forecasting Tournament,2023,26,3,54.56,reference:3,Approaching Human-Level Forecasting with Language Models | ForecastBench: A Dynamic Benchmark of AI Forecasting Capabilities | OpenEP: Open-Ended Future Event Prediction,https://www.semanticscholar.org/paper/5a23700c5198e44a05336f7a2e7a7d7d183ad625,10.48550/arXiv.2310.13014,2310.13014,arXiv.org,P. Schoenegger; P. S. Park,"Accurately predicting the future would be an important milestone in the capabilities of artificial intelligence. However, research on the ability of large language models to provide probabilistic predictions about future events remains nascent. To empirically test this ability, we enrolled OpenAI's state-of-the-art large language model, GPT-4, in a three-month forecasting tournament hosted on the Metaculus platform. The tournament, running from July to October 2023, attracted 843 participants and covered diverse topics including Big Tech, U.S. politics, viral outbreaks, and the Ukraine conflict. Focusing on binary forecasts, we show that GPT-4's probabilistic forecasts are significantly less accurate than the median human-crowd forecasts. We find that GPT-4's forecasts did not significantly differ from the no-information forecasting strategy of assigning a 50% probability to every question. We explore a potential explanation, that GPT-4 might be predisposed to predict probabilities close to the midpoint of the scale, but our data do not support this hypothesis. Overall, we find that GPT-4 significantly underperforms in real-world predictive tasks compared to median human-crowd forecasts. A potential explanation for this underperformance is that in real-world forecasting tournaments, the true answers are genuinely unknown at the time of prediction; unlike in other benchmark tasks like professional exams or time series forecasting, where strong performance may at least partly be due to the answers being memorized from the training data. This makes real-world forecasting tournaments an ideal environment for testing the generalized reasoning and prediction capabilities of artificial intelligence going forward."
4,Forecasting and Decision-Making,51229961bb32b1233be87b77946bfebefaff1f96,Are LLMs Prescient? A Continuous Evaluation using Daily News as the Oracle,2024,11,3,54.6,citation:3,Approaching Human-Level Forecasting with Language Models | ForecastBench: A Dynamic Benchmark of AI Forecasting Capabilities | MIRAI: Evaluating LLM Agents for Event Forecasting,https://www.semanticscholar.org/paper/51229961bb32b1233be87b77946bfebefaff1f96,10.48550/arXiv.2411.08324,2411.08324,International Conference on Machine Learning,Hui Dai; R. Teehan; Mengye Ren,"Many existing evaluation benchmarks for Large Language Models (LLMs) quickly become outdated due to the emergence of new models and training data. These benchmarks also fall short in assessing how LLM performance changes over time, as they consist of a static set of questions without a temporal dimension. To address these limitations, we propose using future event prediction as a continuous evaluation method to assess LLMs'temporal generalization and forecasting abilities. Our benchmark, Daily Oracle, automatically generates question-answer (QA) pairs from daily news, challenging LLMs to predict""future""event outcomes. Our findings reveal that as pre-training data becomes outdated, LLM performance degrades over time. While Retrieval Augmented Generation (RAG) has the potential to enhance prediction accuracy, the performance degradation pattern persists, highlighting the need for continuous model updates. Code and data are available at https://agenticlearning.ai/daily-oracle."
5,"Geopolitics, Diplomacy, and Strategic Simulation",e89ed6bb1864558e3889f5f2fb8931643c633479,Human-level play in the game of Diplomacy by combining language models with strategic reasoning,2022,548,3,58.3,reference:3,Behavioral Differences Between Expert Humans and Language Models in Wargame Simulations / Human vs. Machine | Large language models empowered agent-based modeling and simulation: a survey and perspectives | Open-Ended Wargames with Large Language Models,https://www.semanticscholar.org/paper/e89ed6bb1864558e3889f5f2fb8931643c633479,10.1126/science.ade9097,,Science,A. Bakhtin; Noam Brown; Emily Dinan; Gabriele Farina; Colin Flaherty; Daniel Fried; A. Goff; Jonathan Gray; Hengyuan Hu; Athul Paul Jacob; Mojtaba Komeili; Karthik Konath; Minae Kwon; Adam Lerer; Mike Lewis; Alexander H. Miller; S. Mitts; Adithya Renduchintala; Stephen Roller; Dirk Rowe; Weiyan Shi; Joe Spisak; Alexander Wei; David J. Wu; Hugh Zhang; M.N. Zijlstra,"Despite much progress in training artificial intelligence (AI) systems to imitate human language, building agents that use language to communicate intentionally with humans in interactive environments remains a major challenge. We introduce Cicero, the first AI agent to achieve human-level performance in Diplomacy, a strategy game involving both cooperation and competition that emphasizes natural language negotiation and tactical coordination between seven players. Cicero integrates a language model with planning and reinforcement learning algorithms by inferring players’ beliefs and intentions from its conversations and generating dialogue in pursuit of its plans. Across 40 games of an anonymous online Diplomacy league, Cicero achieved more than double the average score of the human players and ranked in the top 10% of participants who played more than one game. Description AI masters Diplomacy The game Diplomacy has been a major challenge for artificial intelligence (AI). Unlike other competitive games that AI has recently mastered, such as chess, Go, and poker, Diplomacy cannot be solved purely through self-play; it requires the development of an agent to understand other players’ motivations and perspectives and to use natural language to negotiate complex shared plans. The Meta Fundamental AI Research Diplomacy Team (FAIR) et al. developed an agent that is able to play the full natural language form of the game and demonstrates performance well above the human average in an online Diplomacy league. The present work has far-reaching implications for the development of cooperative AI and language models for communication with people, even when interactions involve a mixture of aligned and competing interests. —YS Artificial intelligence demonstrates human-level performance in the strategic board game Diplomacy."
6,"Geopolitics, Diplomacy, and Strategic Simulation",3f98cf521222c65522200037c0eb95a17081b2dd,Playing repeated games with large language models,2023,243,1,49.34,reference:1,Large language models empowered agent-based modeling and simulation: a survey and perspectives,https://www.semanticscholar.org/paper/3f98cf521222c65522200037c0eb95a17081b2dd,10.1038/s41562-025-02172-y,2305.16867,Nature Human Behaviour,Elif Akata; L. Schulz; Julian Coda-Forno; Seong Joon Oh; M. Bethge; Eric Schulz,"Large language models (LLMs) are increasingly used in applications where they interact with humans and other agents. We propose to use behavioural game theory to study LLMs’ cooperation and coordination behaviour. Here we let different LLMs play finitely repeated 2 × 2 games with each other, with human-like strategies, and actual human players. Our results show that LLMs perform particularly well at self-interested games such as the iterated Prisoner’s Dilemma family. However, they behave suboptimally in games that require coordination, such as the Battle of the Sexes. We verify that these behavioural signatures are stable across robustness checks. We also show how GPT-4’s behaviour can be modulated by providing additional information about its opponent and by using a ‘social chain-of-thought’ strategy. This also leads to better scores and more successful coordination when interacting with human players. These results enrich our understanding of LLMs’ social behaviour and pave the way for a behavioural game theory for machines. Large language models perform well in self-interested games such as the iterated Prisoner’s Dilemma but struggle in games that require coordination. Social reasoning strategies can improve cooperative outcomes with both other models and human players."
7,"Geopolitics, Diplomacy, and Strategic Simulation",9ad3edeea4732cb44a26f39652a668d1a562b0cf,War and Peace (WarAgent): Large Language Model-based Multi-Agent Simulation of World Wars,2023,149,2,52.28,reference:2,Large Language Models in Politics and Democracy: A Comprehensive Survey | Large language models empowered agent-based modeling and simulation: a survey and perspectives,https://www.semanticscholar.org/paper/9ad3edeea4732cb44a26f39652a668d1a562b0cf,10.48550/arXiv.2311.17227,2311.17227,arXiv.org,Wenyue Hua; Lizhou Fan; Lingyao Li; Kai Mei; Jianchao Ji; Yingqiang Ge; Libby Hemphill; Yongfeng Zhang,"Can we avoid wars at the crossroads of history? This question has been pursued by individuals, scholars, policymakers, and organizations throughout human history. In this research, we attempt to answer the question based on the recent advances of Artificial Intelligence (AI) and Large Language Models (LLMs). We propose \textbf{WarAgent}, an LLM-powered multi-agent AI system, to simulate the participating countries, their decisions, and the consequences, in historical international conflicts, including the World War I (WWI), the World War II (WWII), and the Warring States Period (WSP) in Ancient China. By evaluating the simulation effectiveness, we examine the advancements and limitations of cutting-edge AI systems' abilities in studying complex collective human behaviors such as international conflicts under diverse settings. In these simulations, the emergent interactions among agents also offer a novel perspective for examining the triggers and conditions that lead to war. Our findings offer data-driven and AI-augmented insights that can redefine how we approach conflict resolution and peacekeeping strategies. The implications stretch beyond historical analysis, offering a blueprint for using AI to understand human history and possibly prevent future international conflicts. Code and data are available at \url{https://github.com/agiresearch/WarAgent}."
8,"Geopolitics, Diplomacy, and Strategic Simulation",e46db119b320df6ac4a5091e1561c54c5aece797,Strategic behavior of large language models and the role of game structure versus contextual framing,2024,57,1,58.02,citation:1,Escalation Risks from Language Models in Military and Diplomatic Decision-Making,https://www.semanticscholar.org/paper/e46db119b320df6ac4a5091e1561c54c5aece797,10.1038/s41598-024-69032-z,,Scientific Reports,Nunzio Lorè; Babak Heydari,"This paper investigates the strategic behavior of large language models (LLMs) across various game-theoretic settings, scrutinizing the interplay between game structure and contextual framing in decision-making. We focus our analysis on three advanced LLMs—GPT-3.5, GPT-4, and LLaMa-2—and how they navigate both the intrinsic aspects of different games and the nuances of their surrounding contexts. Our results highlight discernible patterns in each model’s strategic approach. GPT-3.5 shows significant sensitivity to context but lags in its capacity for abstract strategic decision making. Conversely, both GPT-4 and LLaMa-2 demonstrate a more balanced sensitivity to game structures and contexts, albeit with crucial differences. Specifically, GPT-4 prioritizes the internal mechanics of the game over its contextual backdrop but does so with only a coarse differentiation among game types. In contrast, LLaMa-2 reflects a more granular understanding of individual game structures, while also giving due weight to contextual elements. This suggests that LLaMa-2 is better equipped to navigate the subtleties of different strategic scenarios while also incorporating context into its decision-making, whereas GPT-4 adopts a more generalized, structure-centric strategy."
9,"Geopolitics, Diplomacy, and Strategic Simulation",bd802c99e2c2f5ead95507f252d6403f54077f18,On Large Language Models in National Security Applications,2024,31,3,62.73,citation:2; reference:1,Escalation Risks from Language Models in Military and Diplomatic Decision-Making | Large Language Models in Politics and Democracy: A Comprehensive Survey | Open-Ended Wargames with Large Language Models,https://www.semanticscholar.org/paper/bd802c99e2c2f5ead95507f252d6403f54077f18,10.1002/sta4.70057,2407.03453,Stat,William N. Caballero; Phillip R. Jenkins,"The overwhelming success of GPT‐4 in early 2023 highlighted the transformative potential of large language models (LLMs) across various sectors, including national security. This article explores the implications of LLM integration within national security contexts, analysing their potential to revolutionise information processing, decision‐making and operational efficiency. Whereas LLMs offer substantial benefits, such as automating tasks and enhancing data analysis, they also pose significant risks, including hallucinations, data privacy concerns, and vulnerability to adversarial attacks. Through their coupling with decision‐theoretic principles and Bayesian reasoning, LLMs can significantly improve decision‐making processes within national security organisations. Namely, LLMs can facilitate the transition from data to actionable decisions, enabling decision‐makers to quickly receive and distill available information with less manpower. Current applications within the US Department of Defense and beyond are explored, for example, the USAF's use of LLMs for wargaming and automatic summarisation, that illustrate their potential to streamline operations and support decision‐making. However, these applications necessitate rigorous safeguards to ensure accuracy and reliability. The broader implications of LLM integration extend to strategic planning, international relations and the broader geopolitical landscape, with adversarial nations leveraging LLMs for disinformation and cyber operations, emphasising the need for robust countermeasures. Despite exhibiting “sparks"" of artificial general intelligence, LLMs are best suited for supporting roles rather than leading strategic decisions. Their use in training and wargaming can provide valuable insights and personalised learning experiences for military personnel, thereby improving operational readiness."
10,"Geopolitics, Diplomacy, and Strategic Simulation",e6f29dbbebaa8ce2c2da9581781aa03a58b4ed28,Do Large Language Models Know Conflict? Investigating Parametric vs. Non-Parametric Knowledge of LLMs for Conflict Forecasting,2025,2,2,57.39,citation:2,A Comprehensive Evaluation of Large Language Models on Temporal Event Forecasting | MIRAI: Evaluating LLM Agents for Event Forecasting,https://www.semanticscholar.org/paper/e6f29dbbebaa8ce2c2da9581781aa03a58b4ed28,10.48550/arXiv.2505.09852,2505.09852,arXiv.org,Apollinaire Poli Nemkova; S. Lingareddy; Sagnik Ray Choudhury; Mark V. Albert,"Large Language Models (LLMs) have shown impressive performance across natural language tasks, but their ability to forecast violent conflict remains underexplored. We investigate whether LLMs possess meaningful parametric knowledge-encoded in their pretrained weights-to predict conflict escalation and fatalities without external data. This is critical for early warning systems, humanitarian planning, and policy-making. We compare this parametric knowledge with non-parametric capabilities, where LLMs access structured and unstructured context from conflict datasets (e.g., ACLED, GDELT) and recent news reports via Retrieval-Augmented Generation (RAG). Incorporating external information could enhance model performance by providing up-to-date context otherwise missing from pretrained weights. Our two-part evaluation framework spans 2020-2024 across conflict-prone regions in the Horn of Africa and the Middle East. In the parametric setting, LLMs predict conflict trends and fatalities relying only on pretrained knowledge. In the non-parametric setting, models receive summaries of recent conflict events, indicators, and geopolitical developments. We compare predicted conflict trend labels (e.g., Escalate, Stable Conflict, De-escalate, Peace) and fatalities against historical data. Our findings highlight the strengths and limitations of LLMs for conflict forecasting and the benefits of augmenting them with structured external knowledge."
