id,priority,category,title,year_or_timeframe,source_url,notes
survey-ready-001,Core,"Foundations, Surveys, and Methods",Validation is the central challenge for generative social simulation: a critical review of LLMs in agent-based modeling,2025,https://www.semanticscholar.org/paper/5cd29f769cced349fb7c5affb5c6d27fb387a69c,"Critique-prioritized seed for validation, calibration, construct validity, mechanism validity, and empirical grounding in LLM-based social simulation."
survey-ready-002,Core,"Forecasting, Geopolitical Risk, and Foresight",Pitfalls in Evaluating Language Model Forecasters,2025,https://www.semanticscholar.org/paper/aceb94676d003e84cdc29a9c72259c3d412c7e61,"Critique-prioritized seed for temporal leakage, retrospective forecasting, benchmark validity, and extrapolation risk in LLM forecasting."
survey-ready-003,Important,"Multi-Agent Social Simulation and Synthetic Societies",Before You Simulate: A Pre-Study Benchmark for Large Language Model Stability in Political Role-Playing Simulations,2026,https://www.semanticscholar.org/paper/5881e53178afcf627e0e8b0225b93be8934596dc,"Critique-prioritized seed for stability checks before political role-play or synthetic-population simulation."
survey-ready-004,Important,"Forecasting, Geopolitical Risk, and Foresight",Simulated Ignorance Fails: A Systematic Study of LLM Behaviors on Forecasting Problems Before Model Knowledge Cutoff,2026,https://www.semanticscholar.org/paper/9a08a05560778e664c3ae47108be0fc501385d63,"Critique-prioritized seed for knowledge-cutoff, temporal masking, and simulated-ignorance validity problems."
survey-ready-005,Important,"Politics, Democracy, Public Opinion, and Persuasion",Echoes of Power: Investigating Geopolitical Bias in US and China Large Language Models,2025,https://www.semanticscholar.org/paper/a0a77a0d66e213c6014aefb8f9a0705aed0da1f5,"Critique-prioritized seed for geopolitical bias, China/US model comparison, and non-Western political narratives."
survey-ready-006,Important,"Politics, Democracy, Public Opinion, and Persuasion",The Language You Ask In: Language-Conditioned Ideological Divergence in LLM Analysis of Contested Political Documents,2026,https://www.semanticscholar.org/paper/95852e9b07af846a01840bb385c91e21c6bfaf74,"Critique-prioritized seed for multilingual prompt-language effects in politically contested documents."
survey-ready-007,Important,"Politics, Democracy, Public Opinion, and Persuasion",Assessing the Political Fairness of Multilingual LLMs: A Case Study based on a 21-way Multiparallel EuroParl Dataset,2025,https://www.semanticscholar.org/paper/39ee3b79aa1e63fe327c7f59001077a8d2ad8bb2,"Critique-prioritized seed for multilingual political fairness, EuroParl translation bias, and party-representation effects."
survey-ready-008,Important,"Geopolitics, Diplomacy, National Security, and Wargaming",UNSC-Bench: Evaluating LLM Diplomatic Role-Playing Through UN Security Council Vote Prediction,2026,https://aclanthology.org/2026.mme-main.10.pdf,"Critique-prioritized seed for diplomatic role-play, UN Security Council voting, and institutional evaluation."
survey-ready-009,Core,"Geopolitics, Diplomacy, National Security, and Wargaming",Critical Foreign Policy Decisions Benchmark: Measuring Diplomatic Preferences in Large Language Models,2025,https://arxiv.org/abs/2503.06263,"Critique-prioritized seed for foreign-policy preferences, diplomatic bias, alliance behavior, and escalation preferences in LLMs."
survey-ready-010,Core,"Geopolitics, Diplomacy, National Security, and Wargaming",Benchmarking LLMs for Political Science: A United Nations Perspective,2025,https://arxiv.org/abs/2502.14122,"Critique-prioritized seed for UNBench, institutional diplomacy, representative voting, draft adoption, and UN decision-making."
survey-ready-011,Important,"Strategic Reasoning, Games, Negotiation, and Cooperation",SPIN-Bench: How Well Do LLMs Plan Strategically and Reason Socially?,2025,https://www.semanticscholar.org/paper/ec26efa475d105905d8553eedd141f7905967e5c,"Critique-prioritized seed for strategic planning, social reasoning, and multi-agent negotiation benchmark coverage."
survey-ready-012,Important,"Strategic Reasoning, Games, Negotiation, and Cooperation",Strategic behavior of large language models and the role of game structure versus contextual framing,2024,https://www.semanticscholar.org/paper/e46db119b320df6ac4a5091e1561c54c5aece797,"Critique-prioritized seed for strategic behavior, contextual framing, game structure, and behavioral validity."
