selected_rank,importance,theme,subtheme,selection_reason,paperId,title,year,citationCount,seed_overlap_count,relevance_score,relation_summary,source_seed_titles,query_ids,focus_areas,url,doi,arxiv,venue,authors,abstract
1,Important,"Foundations, Surveys, and Methods","Evaluation, validity, and contamination",Critique accepted as Important because it directly challenges the validity assumptions behind LLM social simulation.,b591727c39c8df8a7dc55b8e2c4ce032afc08644,AI Agents Alone Are Not (Yet) Sufficient for Social Simulation,2026,1,,,,,validity-001; validity-002,"Foundations, Surveys, and Methods; Multi-Agent Social Simulation and Synthetic Societies",https://www.semanticscholar.org/paper/b591727c39c8df8a7dc55b8e2c4ce032afc08644,,2603.00113,,Yiming Li; Dacheng Tao,"Recent advances in large language models (LLMs) have spurred growing interest in using LLM-integrated agents for social simulation, often under the implicit assumption that realistic population dynamics will emerge once role-specified agents are placed in a networked multi-agent setting. This position paper argues that LLM-based agents alone are not (yet) sufficient for social simulation. We attribute this over-optimism to a systematic mismatch between what current agent pipelines are typically optimized and validated to produce and what simulation-as-science requires. Concretely, role-playing plausibility does not imply faithful human behavioral validity; collective outcomes are frequently mediated by agent-environment co-dynamics rather than agent-agent messaging alone; and results can be dominated by interaction protocols, scheduling, and initial information priors. To make these underlying mechanisms explicit and auditable, we propose a unified formulation of AI agent-based social simulation as an environment-involved Markov game with explicit exposure and scheduling mechanisms, from which we derive concrete actions for design, evaluation, and interpretation."
2,Important,"Foundations, Surveys, and Methods","Evaluation, validity, and contamination",Critique accepted as Important because it offers boundary-setting and heterogeneity criteria for LLM social simulations.,345a35ad4020dee737cb905239af9234584fbd33,LLM-Based Social Simulations Require a Boundary,2025,11,1,39.4,citation:1,Strategic behavior of large language models and the role of game structure versus contextual framing,,,https://www.semanticscholar.org/paper/345a35ad4020dee737cb905239af9234584fbd33,10.48550/arXiv.2506.19806,2506.19806,arXiv.org,Zengqing Wu; Run Peng; Takayuki Ito; Chuan Xiao,"This position paper argues that LLM-based social simulations require clear boundaries to make meaningful contributions to social science. While Large Language Models (LLMs) offer promising capabilities for simulating human behavior, their tendency to produce homogeneous outputs, acting as an""average persona"", fundamentally limits their ability to capture the behavioral diversity essential for complex social dynamics. We examine why heterogeneity matters for social simulations and how current LLMs fall short, analyzing the relationship between mean alignment and variance in LLM-generated behaviors. Through a systematic review of representative studies, we find that validation practices often fail to match the heterogeneity requirements of research questions: while most papers include ground truth comparisons, fewer than half explicitly assess behavioral variance, and most that do report lower variance than human populations. We propose that researchers should: (1) match validation depth to the heterogeneity demands of their research questions, (2) explicitly report variance alongside mean alignment, and (3) constrain claims to collective-level qualitative patterns when variance is insufficient. Rather than dismissing LLM-based simulation, we advocate for a boundary-aware approach that ensures these methods contribute genuine insights to social science."
3,Curated,"Foundations, Surveys, and Methods",Social simulation and agent-based modeling reviews,"Position paper on LLM-integrated social simulation architectures, limitations, and validation strategies.",363636e14d23fefba385847824e0c7719de180c3,Integrating LLM in Agent-Based Social Simulation: Opportunities and Challenges,2025,7,,,,,validity-001; validity-002,"Foundations, Surveys, and Methods; Multi-Agent Social Simulation and Synthetic Societies",https://www.semanticscholar.org/paper/363636e14d23fefba385847824e0c7719de180c3,10.48550/arXiv.2507.19364,2507.19364,arXiv.org,P. Taillandier; Jean-Daniel Zucker; A. Grignard; B. Gaudou; N. Huynh; A. Drogoul,"This position paper examines the use of Large Language Models (LLMs) in social simulation, analyzing their potential and limitations from a computational social science perspective. We first review recent findings on LLMs'ability to replicate key aspects of human cognition, including Theory of Mind reasoning and social inference, while identifying persistent limitations such as cognitive biases, lack of grounded understanding, and behavioral inconsistencies. We then survey emerging applications of LLMs in multi-agent simulation frameworks, examining system architectures, scalability, and validation strategies. Projects such as Generative Agents (Smallville) and AgentSociety are analyzed with respect to their empirical grounding and methodological design. Particular attention is given to the challenges of behavioral fidelity, calibration, and reproducibility in large-scale LLM-driven simulations. Finally, we distinguish between contexts where LLM-based agents provide operational value-such as interactive simulations and serious games-and contexts where their use raises epistemic concerns, particularly in explanatory or predictive modeling. We argue that hybrid approaches integrating LLMs into established agent-based modeling platforms such as GAMA and NetLogo may offer a promising compromise between expressive flexibility and analytical transparency. Building on this analysis, we outline a conceptual research direction termed Hybrid Constitutional Architectures, which proposes a stratified integration of classical agent-based models (ABMs), small language models (SLMs), and LLMs within established platforms such as GAMA and NetLogo."
4,Curated,"Foundations, Surveys, and Methods",Social simulation and agent-based modeling reviews,Survey-style overview of generative agents in agent-based modeling with a validation focus.,93649b764b1d9f57b75a57561107e4884a7dda0b,"Generative Agents in Agent-Based Modeling: Overview, Validation, and Emerging Challenges",2025,9,,,,,validity-002,Multi-Agent Social Simulation and Synthetic Societies,https://www.semanticscholar.org/paper/93649b764b1d9f57b75a57561107e4884a7dda0b,10.1109/TAI.2025.3566362,,IEEE Transactions on Artificial Intelligence,Carlo Adornetto; A. Mora; Kai Hu; Leticia Izquierdo Garcia; Parfait Atchade-Adelomou; Gianluigi Greco; L. Pastor; Kent Larson,"The advent of generative agents (GAs) based on large language models (LLMs) has significantly influenced the evolution of agent-based modeling (ABM), offering new perspectives across various domains, including engineering and social sciences. This article provides an extensive overview of the integration of GAs into ABMs, emphasizing the advancements and emerging challenges in their validation. Traditional ABMs, characterized by their simplistic yet powerful approach to modeling complex systems, have been redefined with the introduction of GAs. This new generation of agents is often equipped with conversational capabilities. These agents, capable of simulating believable human behaviors and interactions, present unique opportunities and hurdles, especially in urban simulations and social dynamics. We explore the nuanced differences between traditional ABMs and ABMs populated by GAs—called GABMs. We delve into the state-of-the-art implementations of GAs, and review various validation methods. Through this comprehensive examination, we aim to shed light on the potential and limitations of GAs, advocating for the design of hybrid ABM-GABM approaches and systematic validation."
5,Curated,"Foundations, Surveys, and Methods","Evaluation, validity, and contamination",High-citation contamination and benchmark-validity paper retained as methodology support for political-strategic evaluation.,798feda076ad710df65d509a7884bd15937c8056,"Leak, Cheat, Repeat: Data Contamination and Evaluation Malpractices in Closed-Source LLMs",2024,307,1,46.64,reference:1,Simulated Ignorance Fails: A Systematic Study of LLM Behaviors on Forecasting Problems Before Model Knowledge Cutoff,,,https://www.semanticscholar.org/paper/798feda076ad710df65d509a7884bd15937c8056,10.48550/arXiv.2402.03927,2402.03927,Conference of the European Chapter of the Association for Computational Linguistics,Simone Balloccu; Patrícia Schmidtová; Mateusz Lango; Ondrej Dusek,"Natural Language Processing (NLP) research is increasingly focusing on the use of Large Language Models (LLMs), with some of the most popular ones being either fully or partially closed-source. The lack of access to model details, especially regarding training data, has repeatedly raised concerns about data contamination among researchers. Several attempts have been made to address this issue, but they are limited to anecdotal evidence and trial and error. Additionally, they overlook the problem of indirect data leaking, where modelsare iteratively improved by using data coming from users. In this work, we conduct the first systematic analysis of work using OpenAI’s GPT-3.5 and GPT-4, the most prominently used LLMs today, in the context of data contamination. By analysing 255 papers and considering OpenAI’s data usage policy, we extensively document the amount of data leaked to these models during the first year after the model’s release. We report that these models have been globally exposed to ∼4.7M samples from 263 benchmarks. At the same time, we document a number of evaluation malpractices emerging in the reviewed papers, such as unfair or missing baseline comparisons and reproducibility issues. We release our results as a collaborative project on https://leak-llm.github.io/, where other researchers can contribute to our efforts."
6,Watchlist,"Foundations, Surveys, and Methods",Political science and computational social science overviews,"Broad democracy, governance, and war essay; kept on the watchlist rather than promoted.",e714419610942d378b7d6bf28e0839d1b4be61e1,"The Consequences of Generative AI for Democracy, Governance and War",2023,23,1,42.3,reference:1,The Language You Ask In: Language-Conditioned Ideological Divergence in LLM Analysis of Contested Political Documents,,,https://www.semanticscholar.org/paper/e714419610942d378b7d6bf28e0839d1b4be61e1,10.1080/00396338.2023.2261260,,Survival: Global Politics and Strategy,Steven Feldstein,"Abstract The potential impact of generative AI across politics, governance and war is enormous, and is the subject of considerable speculation informed by few hard facts. Yet it is possible to identify some major challenges. They include threats to democracies by privately controlled models that gain tremendous power to shape discourse and affect democratic deliberation; enhanced surveillance and propaganda dissemination by authoritarian regimes; new capacities for criminal and terrorist actors to carry out cyber attacks and related disruptions; and transformed war planning and military operations reflecting the accelerated dehumanisation of lethal force. While new innovations historically require time to take root, generative AI is likely to be adopted swiftly. Stakeholders must formulate pragmatic approaches to manage oncoming risks."
7,Important,Classical Political NLP and Information Extraction,Political text as data and policy-position extraction,Critique accepted as Important because it gives validity guarantees for LLM-derived social-science labels and downstream inference.,04071b5817d84eacc5d56816c0158c1fbee0d286,Using Imperfect Surrogates for Downstream Inference: Design-based Supervised Learning for Social Science Applications of Large Language Models,2023,49,,,,,multilingual-001,"Politics, Democracy, Public Opinion, and Persuasion",https://www.semanticscholar.org/paper/04071b5817d84eacc5d56816c0158c1fbee0d286,10.52202/075280-3000,2306.04746,Neural Information Processing Systems,Naoki Egami; Musashi Jacobs-Harukawa; Brandon M Stewart; Hanying Wei,"In computational social science (CSS), researchers analyze documents to explain social and political phenomena. In most scenarios, CSS researchers first obtain labels for documents and then explain labels using interpretable regression analyses in the second step. One increasingly common way to annotate documents cheaply at scale is through large language models (LLMs). However, like other scalable ways of producing annotations, such surrogate labels are often imperfect and biased. We present a new algorithm for using imperfect annotation surrogates for downstream statistical analyses while guaranteeing statistical properties -- like asymptotic unbiasedness and proper uncertainty quantification -- which are fundamental to CSS research. We show that direct use of surrogate labels in downstream statistical analyses leads to substantial bias and invalid confidence intervals, even with high surrogate accuracy of 80-90%. To address this, we build on debiased machine learning to propose the design-based supervised learning (DSL) estimator. DSL employs a doubly-robust procedure to combine surrogate labels with a smaller number of high-quality, gold-standard labels. Our approach guarantees valid inference for downstream statistical analyses, even when surrogates are arbitrarily biased and without requiring stringent assumptions, by controlling the probability of sampling documents for gold-standard labeling. Both our theoretical analysis and experimental results show that DSL provides valid statistical inference while achieving root mean squared errors comparable to existing alternatives that focus only on prediction without inferential guarantees."
8,Curated,Classical Political NLP and Information Extraction,Political event data and conflict information extraction,Political-science information-extraction bridge paper using GPT for unstructured political data collection.,f387afbd458580b4b92123491247538b456f71f7,Applications of GPT in Political Science Research: Extracting Information from Unstructured Text,2025,9,,,,,multilingual-001,"Politics, Democracy, Public Opinion, and Persuasion",https://www.semanticscholar.org/paper/f387afbd458580b4b92123491247538b456f71f7,10.1017/S1049096525000046,,PS: Political Science & Politics,Kyuwon Lee; Simone Paci; Jeongmin Park; Hye Young You; Sylvan Zheng,"ABSTRACT This article explores the use of large language models (LLMs), specifically GPT, for enhancing information extraction from unstructured text in political science research. By automating the retrieval of explicit details from sources including historical documents, meeting minutes, news articles, and unstructured search results, GPT significantly reduces the time and resources required for data collection. The study highlights how GPT complements human research assistants, combining automated efficiency with human oversight to improve the reliability and depth of research. This integration not only makes comprehensive data collection more accessible; it also increases the overall research efficiency and scope of research. The article highlights GPT’s unique capabilities in information extraction and its potential to advance empirical research in the field. Additionally, we discuss ethical concerns related to student employment, privacy, bias, and environmental impact associated with the use of LLMs."
9,Important,"Politics, Democracy, Public Opinion, and Persuasion","Political ideology, representation, and bias",Critique accepted as Important because it evaluates reliability and consistency of LLM political worldviews across EU voting-advice instruments.,292d5013b1642eb7245f3d653695c4d31f4f3aa5,Beyond Prompt Brittleness: Evaluating the Reliability and Consistency of Political Worldviews in LLMs,2024,52,1,52.82,reference:1,Assessing the Political Fairness of Multilingual LLMs: A Case Study based on a 21-way Multiparallel EuroParl Dataset,,,https://www.semanticscholar.org/paper/292d5013b1642eb7245f3d653695c4d31f4f3aa5,10.1162/tacl_a_00710,2402.17649,Transactions of the Association for Computational Linguistics,Tanise Ceron; Neele Falk; Ana Bari'c; Dmitry Nikolaev; Sebastian Pad'o,"Abstract Due to the widespread use of large language models (LLMs), we need to understand whether they embed a specific “worldview” and what these views reflect. Recent studies report that, prompted with political questionnaires, LLMs show left-liberal leanings (Feng et al., 2023; Motoki et al., 2024). However, it is as yet unclear whether these leanings are reliable (robust to prompt variations) and whether the leaning is consistent across policies and political leaning. We propose a series of tests which assess the reliability and consistency of LLMs’ stances on political statements based on a dataset of voting-advice questionnaires collected from seven EU countries and annotated for policy issues. We study LLMs ranging in size from 7B to 70B parameters and find that their reliability increases with parameter count. Larger models show overall stronger alignment with left-leaning parties but differ among policy programs: They show a (left-wing) positive stance towards environment protection, social welfare state, and liberal society but also (right-wing) law and order, with no consistent preferences in the areas of foreign policy and migration."
10,Important,"Politics, Democracy, Public Opinion, and Persuasion","Political ideology, representation, and bias",Critique accepted as Important because it challenges artificial survey-style evaluations of LLM values and political opinions.,5bd44a34457d3f323eea4d961dd762003be3961d,Political Compass or Spinning Arrow? Towards More Meaningful Evaluations for Values and Opinions in Large Language Models,2024,155,1,45.17,reference:1,Assessing the Political Fairness of Multilingual LLMs: A Case Study based on a 21-way Multiparallel EuroParl Dataset,,,https://www.semanticscholar.org/paper/5bd44a34457d3f323eea4d961dd762003be3961d,10.48550/arXiv.2402.16786,2402.16786,Annual Meeting of the Association for Computational Linguistics,Paul Röttger; Valentin Hofmann; Valentina Pyatkin; M. Hinck; Hannah Rose Kirk; Hinrich Schutze; Dirk Hovy,"Much recent work seeks to evaluate values and opinions in large language models (LLMs) using multiple-choice surveys and questionnaires. Most of this work is motivated by concerns around real-world LLM applications. For example, politically-biased LLMs may subtly influence society when they are used by millions of people. Such real-world concerns, however, stand in stark contrast to the artificiality of current evaluations: real users do not typically ask LLMs survey questions. Motivated by this discrepancy, we challenge the prevailing constrained evaluation paradigm for values and opinions in LLMs and explore more realistic unconstrained evaluations. As a case study, we focus on the popular Political Compass Test (PCT). In a systematic review, we find that most prior work using the PCT forces models to comply with the PCT's multiple-choice format. We show that models give substantively different answers when not forced; that answers change depending on how models are forced; and that answers lack paraphrase robustness. Then, we demonstrate that models give different answers yet again in a more realistic open-ended answer setting. We distill these findings into recommendations and open challenges in evaluating values and opinions in LLMs."
11,Curated,"Politics, Democracy, Public Opinion, and Persuasion","Political ideology, representation, and bias",Fine-grained political-bias measurement paper retained as curated because it overlaps with existing bias coverage.,8f77307a394f006633c27cca56a345c0879eb67c,Measuring Political Bias in Large Language Models: What Is Said and How It Is Said,2024,112,1,44.47,reference:1,The Language You Ask In: Language-Conditioned Ideological Divergence in LLM Analysis of Contested Political Documents,,,https://www.semanticscholar.org/paper/8f77307a394f006633c27cca56a345c0879eb67c,10.48550/arXiv.2403.18932,2403.18932,Annual Meeting of the Association for Computational Linguistics,Yejin Bang; Delong Chen; Nayeon Lee; Pascale Fung,"We propose to measure political bias in LLMs by analyzing both the content and style of their generated content regarding political issues. Existing benchmarks and measures focus on gender and racial biases. However, political bias exists in LLMs and can lead to polarization and other harms in downstream applications. In order to provide transparency to users, we advocate that there should be fine-grained and explainable measures of political biases generated by LLMs. Our proposed measure looks at different political issues such as reproductive rights and climate change, at both the content (the substance of the generation) and the style (the lexical polarity) of such bias. We measured the political bias in eleven open-sourced LLMs and showed that our proposed framework is easily scalable to other topics and is explainable."
