selected_rank,importance,theme,subtheme,selection_reason,paperId,title,year,citationCount,seed_overlap_count,relevance_score,relation_summary,source_seed_titles,url,doi,arxiv,venue,authors,abstract
1,Important,"Foundations, Surveys, and Methods",Political science and computational social science overviews,Political-science methods overview surfaced from the Political-LLM citation neighborhood.,be8c344ed7728367a25b074bf98c9a7569d15f74,Intelligent Computing Social Modeling and Methodological Innovations in Political Science in the Era of Large Language Models,2024,19,1,49.71,citation:1,Political-LLM: Large Language Models in Political Science,https://www.semanticscholar.org/paper/be8c344ed7728367a25b074bf98c9a7569d15f74,10.1007/s11366-025-09917-6,2410.16301,Journal of Chinese Political Science,Zhenyu Wang; Yi Xu; Dequan Wang; Lingfeng Zhou; Yiqi Zhou,"The recent wave of artificial intelligence, epitomized by large language models (LLMs),has presented opportunities and challenges for methodological innovation in political science,sparking discussions on a potential paradigm shift in the social sciences. However, how can weunderstand the impact of LLMs on knowledge production and paradigm transformation in thesocial sciences from a comprehensive perspective that integrates technology and methodology? What are LLMs'specific applications and representative innovative methods in political scienceresearch? These questions, particularly from a practical methodological standpoint, remainunderexplored. This paper proposes the""Intelligent Computing Social Modeling""(ICSM) methodto address these issues by clarifying the critical mechanisms of LLMs. ICSM leverages thestrengths of LLMs in idea synthesis and action simulation, advancing intellectual exploration inpolitical science through""simulated social construction""and""simulation validation.""Bysimulating the U.S. presidential election, this study empirically demonstrates the operationalpathways and methodological advantages of ICSM. By integrating traditional social scienceparadigms, ICSM not only enhances the quantitative paradigm's capability to apply big data toassess the impact of factors but also provides qualitative paradigms with evidence for socialmechanism discovery at the individual level, offering a powerful tool that balances interpretabilityand predictability in social science research. The findings suggest that LLMs will drivemethodological innovation in political science through integration and improvement rather thandirect substitution."
2,Important,"Politics, Democracy, Public Opinion, and Persuasion","Political ideology, representation, and bias",Direct political-bias audit with nontrivial early citation signal.,2d635fa1b8af339e7029105fc5e0a64681d9b5e5,Large Means Left: Political Bias in Large Language Models Increases with Their Number of Parameters,2025,10,1,48.21,citation:1,Political-LLM: Large Language Models in Political Science,https://www.semanticscholar.org/paper/2d635fa1b8af339e7029105fc5e0a64681d9b5e5,10.48550/arXiv.2505.04393,2505.04393,arXiv.org,David Exler; Mark Schutera; M. Reischl; Luca Rettenberger,"With the increasing prevalence of artificial intelligence, careful evaluation of inherent biases needs to be conducted to form the basis for alleviating the effects these predispositions can have on users. Large language models (LLMs) are predominantly used by many as a primary source of information for various topics. LLMs frequently make factual errors, fabricate data (hallucinations), or present biases, exposing users to misinformation and influencing opinions. Educating users on their risks is key to responsible use, as bias, unlike hallucinations, cannot be caught through data verification. We quantify the political bias of popular LLMs in the context of the recent vote of the German Bundestag using the score produced by the Wahl-O-Mat. This metric measures the alignment between an individual's political views and the positions of German political parties. We compare the models' alignment scores to identify factors influencing their political preferences. Doing so, we discover a bias toward left-leaning parties, most dominant in larger LLMs. Also, we find that the language we use to communicate with the models affects their political views. Additionally, we analyze the influence of a model's origin and release date and compare the results to the outcome of the recent vote of the Bundestag. Our results imply that LLMs are prone to exhibiting political bias. Large corporations with the necessary means to develop LLMs, thus, knowingly or unknowingly, have a responsibility to contain these biases, as they can influence each voter's decision-making process and inform public opinion in general and at scale."
3,Curated,"Policymaking, Governance, and Institutional Decision Support",Policy persuasion and democratic deliberation,European Parliament consensus benchmark for policy deliberation and political compromise.,258d264d7fa1e9f35e16baa91ca602f99d36563d,PoliCon: Evaluating LLMs on Achieving Diverse Political Consensus Objectives,2025,2,1,47.39,citation:1,Political-LLM: Large Language Models in Political Science,https://www.semanticscholar.org/paper/258d264d7fa1e9f35e16baa91ca602f99d36563d,,2505.19558,,Zhaowei Zhang; Xiaobo Wang; M. Yi; Mengmeng Wang; Fengshuo Bai; Zilong Zheng; Yipeng Kang; Yaodong Yang,"Achieving political consensus is crucial yet challenging for the effective functioning of social governance. However, although frontier AI systems represented by large language models (LLMs) have developed rapidly in recent years, their capabilities in this scope are still understudied. In this paper, we introduce PoliCon, a novel benchmark constructed from 2,225 high-quality deliberation records of the European Parliament over 13 years, ranging from 2009 to 2022, to evaluate the ability of LLMs to draft consensus resolutions based on divergent party positions under varying collective decision-making contexts and political requirements. Specifically, PoliCon incorporates four factors to build each task environment for finding different political consensus: specific political issues, political goals, participating parties, and power structures based on seat distribution. We also developed an evaluation framework based on social choice theory for PoliCon, which simulates the real voting outcomes of different political parties to assess whether LLM-generated resolutions meet the requirements of the predetermined political consensus. Our experimental results demonstrate that even state-of-the-art models remain undersatisfied with complex tasks like passing resolutions by a two-thirds majority and addressing security issues, while uncovering their inherent partisan biases and revealing some behaviors LLMs show to achieve the consensus, such as prioritizing the stance of the dominant party instead of uniting smaller parties, which highlights PoliCon's promise as an effective platform for studying LLMs'ability to promote political consensus. The code and dataset are released at https://zowiezhang.github.io/projects/PoliCon."
4,Curated,"Politics, Democracy, Public Opinion, and Persuasion","Political ideology, representation, and bias",Geopolitical media-bias audit focused on conflict coverage.,b6908b838ad2d52233bc4b9898086ca2969d8d00,An evaluation of LLMs for political bias in Western media: Israel-Hamas and Ukraine-Russia wars,2026,0,1,44.8,citation:1,Political-LLM: Large Language Models in Political Science,https://www.semanticscholar.org/paper/b6908b838ad2d52233bc4b9898086ca2969d8d00,10.48550/arXiv.2601.06132,2601.06132,arXiv.org,Rohitash Chandra; Haoyang Chen; Yaqing Zhang; Jiacheng Chen; Yuting Wu,"Political bias in media plays a critical role in shaping public opinion, voter behaviour, and broader democratic discourse. Subjective opinions and political bias can be found in media sources, such as newspapers, depending on their funding mechanisms and alliances with political parties. Automating the detection of political biases in media content can limit biases in elections. The impact of large language models (LLMs) in politics and media studies is becoming prominent. In this study, we utilise LLMs to compare the left-wing, right-wing, and neutral political opinions expressed in the Guardian and BBC. We review newspaper reporting that includes significant events such as the Russia-Ukraine war and the Hamas-Israel conflict. We analyse the proportion for each opinion to find the bias under different LLMs, including BERT, Gemini, and DeepSeek. Our results show that after the outbreak of the wars, the political bias of Western media shifts towards the left-wing and each LLM gives a different result. DeepSeek consistently showed a stable Left-leaning tendency, while BERT and Gemini remained closer to the Centre. The BBC and The Guardian showed distinct reporting behaviours across the two conflicts. In the Russia-Ukraine war, both outlets maintained relatively stable positions; however, in the Israel-Hamas conflict, we identified larger political bias shifts, particularly in Guardian coverage, suggesting a more event-driven pattern of reporting bias. These variations suggest that LLMs are shaped not only by their training data and architecture, but also by underlying worldviews with associated political biases."
5,Curated,Multi-Agent Social Simulation and Synthetic Societies,Synthetic populations and human samples,Persona-generation audit in a polarized geopolitical context.,71207791ff7b1a4333eaa9b8b6653507fd47e807,Analysing LLM Persona Generation and Fairness Interpretation in Polarised Geopolitical Contexts,2026,0,1,44.8,citation:1,Political-LLM: Large Language Models in Political Science,https://www.semanticscholar.org/paper/71207791ff7b1a4333eaa9b8b6653507fd47e807,10.18653/v1/2026.eacl-srw.51,2603.22837,Proceedings of the 19th Conference of the European Chapter of the Association for Computational Linguistics (Volume 4: Student Research Workshop),Maida Aizaz; Quang Minh Nguyen,"Large language models (LLMs) are increasingly utilised for social simulation and persona generation, necessitating an understanding of how they represent geopolitical identities. In this paper, we analyse personas generated for Palestinian and Israeli identities by five popular LLMs across 640 experimental conditions, varying context (war vs non-war) and assigned roles. We observe significant distributional patterns in the generated attributes: Palestinian profiles in war contexts are frequently associated with lower socioeconomic status and survival-oriented roles, whereas Israeli profiles predominantly retain middle-class status and specialised professional attributes. When prompted with explicit instructions to avoid harmful assumptions, models exhibit diverse distributional changes, e.g., marked increases in non-binary gender inferences or a convergence toward generic occupational roles (e.g.,""student""), while the underlying socioeconomic distinctions often remain. Furthermore, analysis of reasoning traces reveals an interesting dynamics between model reasoning and generation: while rationales consistently mention fairness-related concepts, the final generated personas follow the aforementioned diverse distributional changes. These findings illustrate a picture of how models interpret geopolitical contexts, while suggesting that they process fairness and adjust in varied ways; there is no consistent, direct translation of fairness concepts into representative outcomes."
6,Curated,"Politics, Democracy, Public Opinion, and Persuasion","Public opinion, polling, and political annotation","Benchmark for survey-style human preference alignment, relevant to LLM public-opinion simulation.",1daa3bf319a6a63db26df66a6864480d5af99466,AlignSurvey: A Comprehensive Benchmark for Human Preferences Alignment in Social Surveys,2025,1,1,44.51,citation:1,Political-LLM: Large Language Models in Political Science,https://www.semanticscholar.org/paper/1daa3bf319a6a63db26df66a6864480d5af99466,10.48550/arXiv.2511.07871,2511.07871,AAAI Conference on Artificial Intelligence,Chenxi Lin; Weikang Yuan; Zhuoren Jiang; Biao Huang; Ruitao Zhang; Jianan Ge; Yueqian Xu; Jianxing Yu,"Understanding human attitudes, preferences, and behaviors through social surveys is essential for academic research and policymaking. Yet traditional surveys face persistent challenges, including fixed-question formats, high costs, limited adaptability, and difficulties ensuring cross-cultural equivalence. While recent studies explore large language models (LLMs) to simulate survey responses, most are limited to structured questions, overlook the entire survey process, and risks under-representing marginalized groups due to training data biases. We introduce AlignSurvey, the first benchmark that systematically replicates and evaluates the full social survey pipeline using LLMs. It defines four tasks aligned with key survey stages: social role modeling, semi-structured interview modeling, attitude stance modeling and survey response modeling. It also provides task-specific evaluation metrics to assess alignment fidelity, consistency, and fairness at both individual and group levels, with a focus on demographic diversity. To support AlignSurvey, we construct a multi-tiered dataset architecture: (i) the Social Foundation Corpus, a cross-national resource with 44K+ interview dialogues and 400K+ structured survey records; and (ii) a suite of Entire-Pipeline Survey Datasets, including the expert-annotated AlignSurvey-Expert (ASE) and two nationally representative surveys for cross-cultural evaluation. We release the SurveyLM family, obtained through two-stage fine-tuning of open-source LLMs, and offer reference models for evaluating domain-specific alignment. All datasets, models, and tools are available at github and huggingface to support transparent and socially responsible research."
7,Curated,"Politics, Democracy, Public Opinion, and Persuasion",Legislative and political-agent simulation,European Parliament vote platform for LLM political-bias and vote-prediction analysis.,305a4236ab10d66749ebf682e4a5e6798c42d0da,ParlAI Vote: A Web Platform for Analyzing Gender and Political Bias in Large Language Models,2025,0,1,44.0,citation:1,Political-LLM: Large Language Models in Political Science,https://www.semanticscholar.org/paper/305a4236ab10d66749ebf682e4a5e6798c42d0da,,2509.16264,,Wenjie Lin; Hange Liu; Xutao Mao; Yingying Zhuang; Jingwei Shi; Xudong Han; Tianyu Shi; Jinrui Yang,"We present ParlAI Vote, an interactive web platform for exploring European Parliament debates and votes, and for testing LLMs on vote prediction and bias analysis. This web system connects debate topics, speeches, and roll-call outcomes, and includes rich demographic data such as gender, age, country, and political group. Users can browse debates, inspect linked speeches, compare real voting outcomes with predictions from frontier LLMs, and view error breakdowns by demographic group. Visualizing the EuroParlVote benchmark and its core tasks of gender classification and vote prediction, ParlAI Vote highlights systematic performance bias in state-of-the-art LLMs. It unifies data, models, and visual analytics in a single interface, lowering the barrier for reproducing findings, auditing behavior, and running counterfactual scenarios. This web platform also shows model reasoning, helping users see why errors occur and what cues the models rely on. It supports research, education, and public engagement with legislative decision-making, while making clear both the strengths and the limitations of current LLMs in political analysis."
8,Important,"Policymaking, Governance, and Institutional Decision Support",Strategic and institutional decision support,Empirical human-LLM policy-study workflow paper with evidence on model influence over expert users.,4046475556d334a61612c63622a40676907c7b5d,"The LLM Effect: Are Humans Truly Using LLMs, or Are They Being Influenced By Them Instead?",2024,20,1,43.81,citation:1,Escalation Risks from Language Models in Military and Diplomatic Decision-Making,https://www.semanticscholar.org/paper/4046475556d334a61612c63622a40676907c7b5d,10.48550/arXiv.2410.04699,2410.04699,Conference on Empirical Methods in Natural Language Processing,Alexander S. Choi; Syeda Sabrina Akter; J. Singh; Antonios Anastasopoulos,"Large Language Models (LLMs) have shown capabilities close to human performance in various analytical tasks, leading researchers to use them for time and labor-intensive analyses. However, their capability to handle highly specialized and open-ended tasks in domains like policy studies remains in question. This paper investigates the efficiency and accuracy of LLMs in specialized tasks through a structured user study focusing on Human-LLM partnership. The study, conducted in two stages—Topic Discovery and Topic Assignment—integrates LLMs with expert annotators to observe the impact of LLM suggestions on what is usually human-only analysis. Results indicate that LLM-generated topic lists have significant overlap with human generated topic lists, with minor hiccups in missing document-specific topics. However, LLM suggestions may significantly improve task completion speed, but at the same time introduce anchoring bias, potentially affecting the depth and nuance of the analysis, raising a critical question about the trade-off between increased efficiency and the risk of biased analysis."
9,Watchlist,"AI Safety, Influence Operations, and Societal Risk",Influence operations and persuasion risk,"Borderline but directly about LLM social-media bots, conflict escalation, and de-escalation tactics.",a164f92960cefeff0e8cd9968bc716cdcc4a16f8,Ignore All Previous Instructions: Jailbreaking as a de-escalatory peace building practise to resist LLM social media bots,2026,0,1,40.8,citation:1,Escalation Risks from Language Models in Military and Diplomatic Decision-Making,https://www.semanticscholar.org/paper/a164f92960cefeff0e8cd9968bc716cdcc4a16f8,,2603.01942,,Huw Day; Adrianna Jezierska; Jessica Woodgate,"Large Language Models have intensified the scale and strategic manipulation of political discourse on social media, leading to conflict escalation. The existing literature largely focuses on platform-led moderation as a countermeasure. In this paper, we propose a user-centric view of""jailbreaking""as an emergent, non-violent de-escalation practice. Online users engage with suspected LLM-powered accounts to circumvent large language model safeguards, exposing automated behaviour and disrupting the circulation of misleading narratives."
10,Curated,"Geopolitics, Diplomacy, National Security, and Wargaming",Military decision-making and wargaming,Direct LLM defense decision-support system for battlespace management.,f2bd489f57933f641dd9dc2a112969a9baa618e2,Battlefield information and tactics engine (BITE): a multimodal large language model approach for battlespace management,2024,2,1,40.59,citation:1,Escalation Risks from Language Models in Military and Diplomatic Decision-Making,https://www.semanticscholar.org/paper/f2bd489f57933f641dd9dc2a112969a9baa618e2,10.1117/12.3012352,,Defense + Commercial Sensing,Brian J. Connolly,"Battlespace management requires rapid processing of large amounts of data to facilitate informed decision-making. Large Language Models (LLMs) have demonstrated near or above human performance on a wide range of cognitive tasks. Current LLMs are unreliable, have poor explainability, and are prone to bias and hallucinations. As such they are unsuitable for many defense applications, but their abilities can be studied with future, improved LLMs in mind. Specifically, LLM capabilities to synthesize defense-relevant data and make decisions in a combat environment have been largely unexplored. The battlefield information and tactics engine (BITE) uses LLMs as observers and decision-makers in a military environment. A multiplayer video game focusing on modern mechanized combat, Squad by Offworld Industries Ltd., is used as an operating environment due to its moderate realism levels and focus on audio communication between players. BITE is tasked with ingesting tactical data, providing summaries of the current situation, and giving order to a squad of human players. The present work aims to qualitatively assess the suitability of BITE, and LLMs in general, for use in battlespace management systems. Shortcomings are identified in the areas of spatial awareness, decision-making time, and reliability. However, BITE exhibits instances of competent leadership and demonstrates a generalized understanding of modern mechanized combat. While current LLMs are currently deeply unsuitable for combat environments, BITE and similar approaches show promise in wargaming and training applications."
