id,priority,theme,subtheme,title,year_or_timeframe,source_url,notes
strat-found-001,Core,Political Science and Strategic Judgment Foundations,"Deterrence, coercion, and nuclear strategy",Arms and Influence,1966,,Schelling foundation for coercion coercive diplomacy threats commitments and strategic bargaining.
strat-found-002,Core,Political Science and Strategic Judgment Foundations,"Deterrence, coercion, and nuclear strategy",The Strategy of Conflict,1960,,Schelling foundation for strategic interaction bargaining commitment threats and focal points.
strat-found-003,Core,Political Science and Strategic Judgment Foundations,"Deterrence, coercion, and nuclear strategy",The Delicate Balance of Terror,1958,,Classic nuclear deterrence and second-strike vulnerability argument.
strat-found-004,Core,Political Science and Strategic Judgment Foundations,"Deterrence, coercion, and nuclear strategy",The Meaning of the Nuclear Revolution: Statecraft and the Prospect of Armageddon,1989,,Classic strategic-studies treatment of nuclear revolution and statecraft.
strat-found-005,Core,Political Science and Strategic Judgment Foundations,"Deterrence, coercion, and nuclear strategy",The Evolution of Nuclear Strategy,1981,,Canonical history and theory of nuclear strategy.
strat-found-006,Core,Political Science and Strategic Judgment Foundations,"Deterrence, coercion, and nuclear strategy",The Nuclear Taboo: The United States and the Non-Use of Nuclear Weapons Since 1945,2007,,Foundation for norms constraints and nuclear non-use.
strat-found-007,Important,Political Science and Strategic Judgment Foundations,"Deterrence, coercion, and nuclear strategy",Nuclear Weapons and Coercive Diplomacy,2017,,Modern empirical foundation for nuclear coercion and crisis leverage.
strat-found-008,Important,Political Science and Strategic Judgment Foundations,"Deterrence, coercion, and nuclear strategy",The Spread of Nuclear Weapons: More May Be Better,1981,,Classic proliferation and deterrence debate seed.
strat-found-009,Core,Political Science and Strategic Judgment Foundations,"Bargaining, signaling, and war",Rationalist Explanations for War,1995,,Canonical bargaining-theory account of war through information incentives and commitment problems.
strat-found-010,Core,Political Science and Strategic Judgment Foundations,"Bargaining, signaling, and war",War as a Commitment Problem,2006,,Foundation for commitment-problem explanations of war and crisis bargaining.
strat-found-011,Core,Political Science and Strategic Judgment Foundations,"Bargaining, signaling, and war",The Inefficient Use of Power: Costly Conflict with Complete Information,2004,,Bargaining model showing inefficiency and conflict even with complete information.
strat-found-012,Core,Political Science and Strategic Judgment Foundations,"Bargaining, signaling, and war",Bargaining and Learning While Fighting,2003,,Influential model linking war duration battlefield learning and bargaining.
strat-found-013,Important,Political Science and Strategic Judgment Foundations,"Bargaining, signaling, and war",Exploring the Bargaining Model of War,2003,,Review and extension of bargaining model of war.
strat-found-014,Important,Political Science and Strategic Judgment Foundations,"Bargaining, signaling, and war",Domestic Political Audiences and the Escalation of International Disputes,1994,,Audience-cost foundation for crisis signaling and domestic constraints.
strat-found-015,Important,Political Science and Strategic Judgment Foundations,"Bargaining, signaling, and war",Democracy and Coercive Diplomacy,2001,,Foundation linking democratic institutions audience costs and coercive diplomacy.
strat-found-016,Important,Political Science and Strategic Judgment Foundations,"Bargaining, signaling, and war","A Bargaining Model of War and Peace: Anticipating the Onset, Duration, and Outcome of War",2002,,Formal bargaining model connecting war onset duration and settlement outcomes.
strat-found-017,Core,Political Science and Strategic Judgment Foundations,"Intelligence analysis and structured analytic techniques",Psychology of Intelligence Analysis,1999,,Classic intelligence-analysis treatment of cognitive bias and analytic judgment.
strat-found-018,Core,Political Science and Strategic Judgment Foundations,"Intelligence analysis and structured analytic techniques",Structured Analytic Techniques for Intelligence Analysis,2010,,Core structured analytic techniques reference for intelligence tradecraft.
strat-found-019,Core,Political Science and Strategic Judgment Foundations,"Intelligence analysis and structured analytic techniques",Pearl Harbor: Warning and Decision,1962,,Classic warning failure and intelligence decision-making study.
strat-found-020,Core,Political Science and Strategic Judgment Foundations,"Intelligence analysis and structured analytic techniques",Essence of Decision: Explaining the Cuban Missile Crisis,1971,,Canonical decision-making and bureaucratic-politics analysis of crisis behavior.
strat-found-021,Important,Political Science and Strategic Judgment Foundations,"Intelligence analysis and structured analytic techniques",Victims of Groupthink,1972,,Classic group decision-making failure foundation relevant to policy and crisis judgment.
strat-found-022,Important,Political Science and Strategic Judgment Foundations,"Intelligence analysis and structured analytic techniques",Analogies at War: Korea Munich Dien Bien Phu and the Vietnam Decisions of 1965,1992,,Classic study of analogical reasoning in foreign-policy decisions.
strat-found-023,Important,Political Science and Strategic Judgment Foundations,"Intelligence analysis and structured analytic techniques",Intelligence Analysis: A Target-Centric Approach,2003,,Influential intelligence-analysis methodology reference.
strat-found-024,Important,Political Science and Strategic Judgment Foundations,"Intelligence analysis and structured analytic techniques",Thinking in Time: The Uses of History for Decision-Makers,1986,,Decision-making foundation for historical analogy and statecraft.
