id,priority,theme,subtheme,title,year_or_timeframe,source_url,notes,resolved_paperId,resolved_title,resolved_year,citationCount,influentialCitationCount,venue,authors,doi,arxiv,semantic_scholar_url,publicationDate,publicationTypes,openAccessPdf,abstract,resolution_method,resolution_error
classical-001,Core,Classical Political NLP and Information Extraction,Political text as data and policy-position extraction,Text as Data: The Promise and Pitfalls of Automatic Content Analysis Methods for Political Texts,2013,https://www.semanticscholar.org/paper/b9921fb4d1448058642897797e77bdaf8f444404,Foundational political text-as-data survey.,b9921fb4d1448058642897797e77bdaf8f444404,Text as Data: The Promise and Pitfalls of Automatic Content Analysis Methods for Political Texts,2013,2987,189,Political Analysis,Justin Grimmer; Brandon M Stewart,10.1093/pan/mps028,,https://www.semanticscholar.org/paper/b9921fb4d1448058642897797e77bdaf8f444404,2013-07-01,Review,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/F7AAC8B2909441603FEB25C156448F20/S1047198700013401a.pdf/div-class-title-text-as-data-the-promise-and-pitfalls-of-automatic-content-analysis-methods-for-political-texts-div.pdf,,title_exact,
classical-002,Core,Classical Political NLP and Information Extraction,Political text as data and policy-position extraction,Computer-Assisted Text Analysis for Comparative Politics,2015,https://www.semanticscholar.org/paper/ca1469279ace2e341fd385c884129367e1b7dda7,Core comparative politics text-analysis methods paper.,ca1469279ace2e341fd385c884129367e1b7dda7,Computer-Assisted Text Analysis for Comparative Politics,2015,464,21,Political Analysis,Christopher Lucas; Richard Nielsen; Margaret E. Roberts; Brandon M Stewart; Alex Storer; D. Tingley,10.1093/pan/mpu019,,https://www.semanticscholar.org/paper/ca1469279ace2e341fd385c884129367e1b7dda7,2015-02-04,,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/CC8B2CF63A8CC36FE00A13F9839F92BB/S1047198700011736a.pdf/div-class-title-computer-assisted-text-analysis-for-comparative-politics-div.pdf,,title_exact,
classical-003,Core,Classical Political NLP and Information Extraction,Political text as data and policy-position extraction,A Method of Automated Nonparametric Content Analysis for Social Science,2010,https://www.semanticscholar.org/paper/f057500971a5466f9580002e495044fd3e64429d,Foundational automated content-analysis method.,f057500971a5466f9580002e495044fd3e64429d,A Method of Automated Nonparametric Content Analysis for Social Science,2010,815,56,,D. Hopkins; Gary King,10.1111/J.1540-5907.2009.00428.X,,https://www.semanticscholar.org/paper/f057500971a5466f9580002e495044fd3e64429d,,,http://gking.harvard.edu/files/words.pdf,,title_exact,
classical-004,Core,Classical Political NLP and Information Extraction,Political text as data and policy-position extraction,Extracting Policy Positions from Political Texts Using Words as Data,2003,https://www.semanticscholar.org/paper/7d9cc63dfbd34acf271e3a2c922ea1c07fb2f482,Wordscores and policy-position extraction classic.,7d9cc63dfbd34acf271e3a2c922ea1c07fb2f482,Extracting Policy Positions from Political Texts Using Words as Data,2003,1353,89,American Political Science Review,M. Laver; K. Benoit; John Garry,10.1017/S0003055403000698,,https://www.semanticscholar.org/paper/7d9cc63dfbd34acf271e3a2c922ea1c07fb2f482,2003-05-01,Review,http://www.kenbenoit.net/pdfs/WORDSCORESAPSR.pdf,,title_exact,
classical-005,Core,Classical Political NLP and Information Extraction,Political text as data and policy-position extraction,A Scaling Model for Estimating Time-Series Party Positions from Texts,2007,https://www.semanticscholar.org/paper/5109c519cd4442041a5d3915ca305eba6d68ee10,Wordfish-style text scaling for party positions.,5109c519cd4442041a5d3915ca305eba6d68ee10,A Scaling Model for Estimating Time-Series Party Positions from Texts,2007,741,61,,Jonathan B. Slapin; Sven-Oliver Proksch,10.1111/J.1540-5907.2008.00338.X,,https://www.semanticscholar.org/paper/5109c519cd4442041a5d3915ca305eba6d68ee10,2007-04-12,,http://www.kenbenoit.net/pdfs/SlapinProksch_AJPS_2008.pdf,,title_exact,
classical-006,Core,Classical Political NLP and Information Extraction,Political text as data and policy-position extraction,Fightin' Words: Lexical Feature Selection and Evaluation for Identifying the Content of Political Conflict,2008,https://www.semanticscholar.org/paper/ebc37575aa4e4afeb1dc94a18022cc0ebeb2fe09,Classic lexical feature-selection method for political conflict content.,ebc37575aa4e4afeb1dc94a18022cc0ebeb2fe09,Fightin' Words: Lexical Feature Selection and Evaluation for Identifying the Content of Political Conflict,2008,646,44,Political Analysis,B. Monroe; Michael Colaresi; K. Quinn,10.1093/pan/mpn018,,https://www.semanticscholar.org/paper/ebc37575aa4e4afeb1dc94a18022cc0ebeb2fe09,2008-09-21,,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/81B3703230D21620B81EB6E2266C7A66/S1047198700002291a.pdf/div-class-title-fightin-words-lexical-feature-selection-and-evaluation-for-identifying-the-content-of-political-conflict-div.pdf,,title_exact,
classical-007,Core,Classical Political NLP and Information Extraction,Political text as data and policy-position extraction,How to Analyze Political Attention with Minimal Assumptions and Costs,2010,https://www.semanticscholar.org/paper/43233894df92aba0267d182d1f0b27651d0935ee,Classic topic-model approach to political attention.,43233894df92aba0267d182d1f0b27651d0935ee,How to Analyze Political Attention with Minimal Assumptions and Costs,2010,703,66,,K. Quinn; B. Monroe; Michael Colaresi; Michael H. Crespin; Dragomir R. Radev,10.1111/J.1540-5907.2009.00427.X,,https://www.semanticscholar.org/paper/43233894df92aba0267d182d1f0b27651d0935ee,,,,,title_exact,
classical-008,Core,Classical Political NLP and Information Extraction,Political text as data and policy-position extraction,A Bayesian Hierarchical Topic Model for Political Texts: Measuring Expressed Agendas in Senate Press Releases,2010,https://www.semanticscholar.org/paper/b06056c20f4ed118e7db9f4e35e674570b2cf8f6,Classic agenda extraction from political text.,b06056c20f4ed118e7db9f4e35e674570b2cf8f6,A Bayesian Hierarchical Topic Model for Political Texts: Measuring Expressed Agendas in Senate Press Releases,2010,584,34,Political Analysis,Justin Grimmer,10.1093/pan/mpp034,,https://www.semanticscholar.org/paper/b06056c20f4ed118e7db9f4e35e674570b2cf8f6,2010-12-21,,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/74F30D05C220DB198F21FF5127EB7205/S1047198700012298a.pdf/div-class-title-a-bayesian-hierarchical-topic-model-for-political-texts-measuring-expressed-agendas-in-senate-press-releases-div.pdf,,title_exact,
classical-009,Core,Classical Political NLP and Information Extraction,Legislative speech and policy text classification,Measuring Political Positions from Legislative Speech,2016,https://www.semanticscholar.org/paper/78073f687117e15ca4786def603d1509d09c99bf,Legislative speech scaling.,78073f687117e15ca4786def603d1509d09c99bf,Measuring Political Positions from Legislative Speech,2016,155,9,Political Analysis,Benjamin E Lauderdale; Alexander Herzog,10.1093/pan/mpw017,,https://www.semanticscholar.org/paper/78073f687117e15ca4786def603d1509d09c99bf,2016-07-01,,http://eprints.lse.ac.uk/66498/7/Lauderdale_Measuring%20political.pdf,,title_exact,
classical-010,Core,Classical Political NLP and Information Extraction,Legislative speech and policy text classification,Get out the vote: Determining support or opposition from Congressional floor-debate transcripts,2006,https://www.semanticscholar.org/paper/dc832b298290e316d1218266f6f33de97c9b5679,Classic NLP stance/support extraction from congressional debate.,dc832b298290e316d1218266f6f33de97c9b5679,Get out the vote: Determining support or opposition from Congressional floor-debate transcripts,2006,648,49,Conference on Empirical Methods in Natural Language Processing,Matt Thomas; B. Pang; Lillian Lee,10.3115/1610075.1610122,cs/0607062,https://www.semanticscholar.org/paper/dc832b298290e316d1218266f6f33de97c9b5679,2006-07-12,JournalArticle; Conference,https://dl.acm.org/doi/pdf/10.5555/1610075.1610122,"We investigate whether one can determine from the transcripts of U.S. Congressional floor debates whether the speeches represent support of or opposition to proposed legislation. To address this problem, we exploit the fact that these speeches occur as part of a discussion; this allows us to use sources of information regarding relationships between discourse segments, such as whether a given utterance indicates agreement with the opinion expressed by another. We find that the incorporation of such information yields substantial improvements over classifying speeches in isolation.",title_exact,
