slug,title,year,importance,theme,subtheme,citationCount,status,download_url,file_path,file_type,bytes,download_reason,error,manual_path_hint,source_url,doi,arxiv
a-bargaining-model-of-war-and-peace-anticipating-the-onset-a936470458,"A Bargaining Model of War and Peace: Anticipating the Onset, Duration, and Outcome of War",2002,Important,Political Science and Strategic Judgment Foundations,"Bargaining, signaling, and war",340,manual_needed,,,,0,,semantic_scholar_lookup_failed: HTTP Error 429:,data/paper_cache/manual/a-bargaining-model-of-war-and-peace-anticipating-the-onset-a936470458.pdf,https://www.semanticscholar.org/paper/ddf87b9f14dd4ab89190b3a48d3ab163fb9dc091,10.2307/3088436,
a-bayesian-hierarchical-topic-model-for-political-texts-measuring-expressed-2d55e5bf35,A Bayesian Hierarchical Topic Model for Political Texts: Measuring Expressed Agendas in Senate Press Releases,2010,Core,Classical Political NLP and Information Extraction,Political text as data and policy-position extraction,584,manual_needed,,,,0,,semantic_scholar_lookup_failed: HTTP Error 429:,data/paper_cache/manual/a-bayesian-hierarchical-topic-model-for-political-texts-measuring-expressed-2d55e5bf35.pdf,https://www.semanticscholar.org/paper/b06056c20f4ed118e7db9f4e35e674570b2cf8f6,10.1093/pan/mpp034,
a-comprehensive-evaluation-of-large-language-models-on-temporal-event-13dca66083,A Comprehensive Evaluation of Large Language Models on Temporal Event Forecasting,2024,Important,"Forecasting, Geopolitical Risk, and Foresight",Forecasting performance and aggregation,12,downloaded,https://arxiv.org/pdf/2407.11638,data/paper_cache/downloads/a-comprehensive-evaluation-of-large-language-models-on-temporal-event-13dca66083.pdf,pdf,1037017,arxiv,,,https://arxiv.org/html/2407.11638v2,10.48550/arXiv.2407.11638,2407.11638
a-large-scale-simulation-on-large-language-models-for-decision-44178263b7,A Large-Scale Simulation on Large Language Models for Decision-Making in Political Science,2024,Curated,"Politics, Democracy, Public Opinion, and Persuasion",Legislative and political-agent simulation,7,downloaded,https://arxiv.org/pdf/2412.15291,data/paper_cache/downloads/a-large-scale-simulation-on-large-language-models-for-decision-44178263b7.pdf,pdf,1228641,arxiv,,,https://www.semanticscholar.org/paper/66d89814faca6ca8209cf23ca4ce64e91ab5d035,,2412.15291
a-method-of-automated-nonparametric-content-analysis-for-social-science-529cb5f537,A Method of Automated Nonparametric Content Analysis for Social Science,2010,Core,Classical Political NLP and Information Extraction,Political text as data and policy-position extraction,815,manual_needed,,,,0,,semantic_scholar_lookup_failed: HTTP Error 429:,data/paper_cache/manual/a-method-of-automated-nonparametric-content-analysis-for-social-science-529cb5f537.pdf,https://www.semanticscholar.org/paper/f057500971a5466f9580002e495044fd3e64429d,10.1111/J.1540-5907.2009.00428.X,
a-methodology-to-develop-agent-based-models-for-policy-support-28beb636e8,A Methodology to Develop Agent-Based Models for Policy Support Via Qualitative Inquiry,2023,Curated,"Policymaking, Governance, and Institutional Decision Support",Public-sector decision support and institutional workflow,18,manual_needed,,,,0,,semantic_scholar_lookup_failed: HTTP Error 429:,data/paper_cache/manual/a-methodology-to-develop-agent-based-models-for-policy-support-28beb636e8.pdf,https://www.semanticscholar.org/paper/001b11109c20e2cdf66f7c67e88bc5330491e510,10.18564/jasss.5014,
a-multi-dimensional-audit-of-politically-aligned-large-language-models-6482a4ba29,A Multi-Dimensional Audit of Politically Aligned Large Language Models,2026,Curated,"Politics, Democracy, Public Opinion, and Persuasion","Political ideology, representation, and bias",0,downloaded,https://arxiv.org/pdf/2604.24429,data/paper_cache/downloads/a-multi-dimensional-audit-of-politically-aligned-large-language-models-6482a4ba29.pdf,pdf,734108,arxiv,,,https://www.semanticscholar.org/paper/2612ab7c6481f5ae634ab11c34f36d56897ddc12,,2604.24429
a-public-dataset-tracking-social-media-discourse-about-the-2024-98ea04415b,A Public Dataset Tracking Social Media Discourse about the 2024 U.S. Presidential Election on Twitter/X,2024,Curated,"Politics, Democracy, Public Opinion, and Persuasion","Elections, voters, and campaign discourse",24,downloaded,https://arxiv.org/pdf/2411.00376,data/paper_cache/downloads/a-public-dataset-tracking-social-media-discourse-about-the-2024-98ea04415b.pdf,pdf,1948125,arxiv,,,https://www.semanticscholar.org/paper/30d9e520a2fea9651f198a4dadf0c8c0a2ff8b1f,10.48550/arXiv.2411.00376,2411.00376
a-scaling-model-for-estimating-time-series-party-positions-from-d4f6ee98e1,A Scaling Model for Estimating Time-Series Party Positions from Texts,2007,Core,Classical Political NLP and Information Extraction,Political text as data and policy-position extraction,741,manual_needed,,,,0,,semantic_scholar_lookup_failed: HTTP Error 429:,data/paper_cache/manual/a-scaling-model-for-estimating-time-series-party-positions-from-d4f6ee98e1.pdf,https://www.semanticscholar.org/paper/5109c519cd4442041a5d3915ca305eba6d68ee10,10.1111/J.1540-5907.2008.00338.X,
a-survey-on-large-language-model-based-social-agents-in-cab1a75c18,A Survey on Large Language Model-Based Social Agents in Game-Theoretic Scenarios,2024,Curated,"Foundations, Surveys, and Methods",Strategic reasoning and game-theoretic reviews,24,downloaded,https://arxiv.org/pdf/2412.03920,data/paper_cache/downloads/a-survey-on-large-language-model-based-social-agents-in-cab1a75c18.pdf,pdf,2416566,arxiv,,,https://www.semanticscholar.org/paper/30dcacbf0b7a93196e07c721be35274afdcb4aa4,10.48550/arXiv.2412.03920,2412.03920
a-turing-test-of-whether-ai-chatbots-are-behaviorally-similar-b21c96d020,A Turing test of whether AI chatbots are behaviorally similar to humans,2024,Watchlist,Peripheral and Borderline Materials,Generic negotiation and behavioral games,254,manual_needed,,,,0,,semantic_scholar_lookup_failed: HTTP Error 429:,data/paper_cache/manual/a-turing-test-of-whether-ai-chatbots-are-behaviorally-similar-b21c96d020.pdf,https://www.semanticscholar.org/paper/331fa9e381cd219a3961cd5ef7dda401e8751606,10.1073/pnas.2313925121,
adaptive-political-surveys-and-gpt-4-tackling-the-cold-start-e277e924f5,Adaptive political surveys and GPT-4: Tackling the cold start problem with simulated user interactions,2025,Curated,"Politics, Democracy, Public Opinion, and Persuasion","Public opinion, polling, and political annotation",4,downloaded,https://arxiv.org/pdf/2503.09311,data/paper_cache/downloads/adaptive-political-surveys-and-gpt-4-tackling-the-cold-start-e277e924f5.pdf,pdf,2173009,arxiv,,,https://www.semanticscholar.org/paper/1d1097d378555393b73b492995121ab880fff142,10.1371/journal.pone.0322690,2503.09311
advancing-decision-making-through-ai-human-collaboration-a-systematic-review-cb06db8dd4,Advancing Decision-Making through AI-Human Collaboration: A Systematic Review and Conceptual Framework,2026,Watchlist,Peripheral and Borderline Materials,Generic decision support and human-AI workflow,5,manual_needed,,,,0,,semantic_scholar_lookup_failed: HTTP Error 429:,data/paper_cache/manual/advancing-decision-making-through-ai-human-collaboration-a-systematic-review-cb06db8dd4.pdf,https://www.semanticscholar.org/paper/e9953ca2ec43f97a9d9f1799bd9a0d3a5e36e3a4,10.1007/s10726-026-09980-1,
advancing-event-forecasting-through-massive-training-of-large-language-models-3a205dd772,"Advancing Event Forecasting through Massive Training of Large Language Models: Challenges, Solutions, and Broader Impacts",2025,Curated,"Forecasting, Geopolitical Risk, and Foresight",Forecasting performance and aggregation,4,downloaded,https://arxiv.org/pdf/2507.19477,data/paper_cache/downloads/advancing-event-forecasting-through-massive-training-of-large-language-models-3a205dd772.pdf,pdf,652982,arxiv,,,https://www.semanticscholar.org/paper/aae0ff0d91cbbd131ed406eeb8a8f311f7b17f8e,10.48550/arXiv.2507.19477,2507.19477
advisers-and-aggregation-in-foreign-policy-decision-making-e040a477a8,Advisers and Aggregation in Foreign Policy Decision Making,2024,Important,Political Science and Strategic Judgment Foundations,"International politics, intelligence, and crisis judgment",16,manual_needed,,,,0,,semantic_scholar_lookup_failed: HTTP Error 429:,data/paper_cache/manual/advisers-and-aggregation-in-foreign-policy-decision-making-e040a477a8.pdf,https://www.semanticscholar.org/paper/63ebe0f54b97741fce6d056a5475ed6a855358b2,10.1017/S0020818323000280,
agent-based-modeling-as-organizational-and-public-policy-simulators-39c91d9e1a,Agent-based modeling as organizational and public policy simulators,2002,Curated,"Foundations, Surveys, and Methods",Social simulation and agent-based modeling reviews,181,manual_needed,,,,0,,semantic_scholar_lookup_failed: HTTP Error 429:,data/paper_cache/manual/agent-based-modeling-as-organizational-and-public-policy-simulators-39c91d9e1a.pdf,https://www.semanticscholar.org/paper/0aedf8c3a48d450462d6d1b4f204f4088e1f02f8,10.1073/PNAS.072079399,
agent-based-modelling-meets-generative-ai-in-social-network-simulations-2e2690ab9b,Agent-Based Modelling Meets Generative AI in Social Network Simulations,2024,Curated,Multi-Agent Social Simulation and Synthetic Societies,"Social networks, movements, and polarization",34,downloaded,https://arxiv.org/pdf/2411.16031,data/paper_cache/downloads/agent-based-modelling-meets-generative-ai-in-social-network-simulations-2e2690ab9b.pdf,pdf,1809931,arxiv,,,https://www.semanticscholar.org/paper/52d0ea706a1272a98c58fddfdf09ab9b1e159902,10.48550/arXiv.2411.16031,2411.16031
agentic-forecasting-using-sequential-bayesian-updating-of-linguistic-beliefs-2ad04dcb9c,Agentic Forecasting using Sequential Bayesian Updating of Linguistic Beliefs,2026,Curated,"Forecasting, Geopolitical Risk, and Foresight",Forecasting performance and aggregation,1,downloaded,https://arxiv.org/pdf/2604.18576,data/paper_cache/downloads/agentic-forecasting-using-sequential-bayesian-updating-of-linguistic-beliefs-2ad04dcb9c.pdf,pdf,4403310,arxiv,,,https://www.semanticscholar.org/paper/4f08618d4da746986a6346d328d1b243f9524363,,2604.18576
agentic-reasoning-for-social-event-extrapolation-integrating-knowledge-graphs-an-c2f50f747e,Agentic Reasoning for Social Event Extrapolation: Integrating Knowledge Graphs and Language Models,2025,Curated,"Forecasting, Geopolitical Risk, and Foresight",Geopolitical event prediction systems,1,manual_needed,,,,0,,semantic_scholar_lookup_failed: HTTP Error 429:,data/paper_cache/manual/agentic-reasoning-for-social-event-extrapolation-integrating-knowledge-graphs-an-c2f50f747e.pdf,https://www.semanticscholar.org/paper/08cb00d8291409bfc4616fdf19b1ef8a28694f10,10.1109/ACCESS.2025.3612015,
agentsociety-large-scale-simulation-of-llm-driven-generative-agents-advances-8c5323e680,AgentSociety: Large-Scale Simulation of LLM-Driven Generative Agents Advances Understanding of Human Behaviors and Society,2025,Curated,Multi-Agent Social Simulation and Synthetic Societies,Generative agents and social simulation platforms,142,downloaded,https://arxiv.org/pdf/2502.08691,data/paper_cache/downloads/agentsociety-large-scale-simulation-of-llm-driven-generative-agents-advances-8c5323e680.pdf,pdf,36228564,arxiv,,,https://arxiv.org/abs/2502.08691,10.48550/arXiv.2502.08691,2502.08691
ai-agents-alone-are-not-yet-sufficient-for-social-simulation-bcf6c13989,AI Agents Alone Are Not (Yet) Sufficient for Social Simulation,2026,Curated,"Foundations, Surveys, and Methods","Evaluation, validity, and contamination",1,downloaded,https://arxiv.org/pdf/2603.00113,data/paper_cache/downloads/ai-agents-alone-are-not-yet-sufficient-for-social-simulation-bcf6c13989.pdf,pdf,337611,arxiv,,,https://www.semanticscholar.org/paper/b591727c39c8df8a7dc55b8e2c4ce032afc08644,,2603.00113
