selected_rank,importance,theme,subtheme,selection_reason,paperId,title,year,citationCount,seed_overlap_count,relevance_score,relation_summary,relation,source_seed_titles,query_ids,focus_areas,url,doi,arxiv,venue,authors,abstract
1,Important,"AI Safety, Influence Operations, and Societal Risk",Influence operations and persuasion risk,Critique accepted as Important because it is a PNAS political microtargeting experiment with LLM-generated persuasion.,de9a0af5100600ff21a9ded6e42409e0de89de8a,Evaluating the persuasive influence of political microtargeting with large language models,2024,116,1,44.54,citation:1,,Generative Language Models and Automated Influence Operations: Emerging Threats and Potential Mitigations,,,https://www.semanticscholar.org/paper/de9a0af5100600ff21a9ded6e42409e0de89de8a,10.1073/pnas.2403116121,,Proceedings of the National Academy of Sciences of the United States of America,Kobi Hackenburg; Helen Margetts,"Significance Advances in large language models (LLMs) have raised concerns over scalable, personalized political persuasion. Here, we integrate user data into GPT-4 prompts in real-time, facilitating the live creation of messages tailored to persuade individual users on political issues. We then deploy this application at scale to test whether personalized, microtargeted messaging offers a persuasive advantage compared to nontargeted messaging. We find that while messages generated by GPT-4 were persuasive, in aggregate, the persuasive impact of microtargeted messages was not statistically different from that of nontargeted messages. These findings suggest—contrary to widespread speculation—that the influence of current LLMs may reside not in their ability to tailor messages to individuals but rather in the persuasiveness of their generic, nontargeted messages."
2,Important,"AI Safety, Influence Operations, and Societal Risk",Influence operations and persuasion risk,"Critique accepted as Important because it directly covers AI-enhanced influence operations, synthetic media, bots, and social engineering.",5eb988d1926b80963c382abe0cfb623cc018c308,Assessing the risks and opportunities posed by AI-enhanced influence operations on social media,2024,10,,,,,,influence-001,"AI Safety, Influence Operations, and Societal Risk",https://www.semanticscholar.org/paper/5eb988d1926b80963c382abe0cfb623cc018c308,10.1057/s41254-023-00322-5,,Place Branding and Public Diplomacy,Rolf Fredheim; J. Pamment,"Large language models (LLMs) like GPT-4 have the potential to dramatically change the landscape of influence operations. They can generate persuasive, tailored content at scale, making campaigns using falsified content, such as disinformation and fake accounts, easier to produce. Advances in self-hosted open-source models have meant that adversaries can evade content moderation and security checks built into large commercial models such as those commercialised by Anthropic, Google, and OpenAI. New multi-lingual models make it easier than ever for foreign adversaries to pose as local actors. This article examines the heightened threats posed by synthetic media, as well as the potential that these tools hold for creating effective countermeasures. It begins with assessing the challenges posed by a toxic combination of automated bots, human-controlled troll accounts, and more targeted social engineering operations. However, the second part of the article assesses the potential for these same tools to improve detection. Promising countermeasures include running internal generative models to bolster training data for internal classifiers, detecting statistical anomalies, identifying output from common prompts, and building specialised classifiers optimised for specific monitoring needs."
3,Important,"AI Safety, Influence Operations, and Societal Risk",Influence operations and persuasion risk,Critique accepted as Important because it studies automated agents inside state-sponsored information operations.,66d045db96c75b6162c28f47e7afdda323307926,Do Bots Do It Better? Analyzing the Effectiveness of Automated Agents in State-Sponsored Information Operations,2025,0,,,,,,influence-001,"AI Safety, Influence Operations, and Societal Risk",https://www.semanticscholar.org/paper/66d045db96c75b6162c28f47e7afdda323307926,10.1609/icwsm.v19i1.35888,,International Conference on Web and Social Media,Cole Polychronis; Marina Kogan,"State sponsored information operations, or SSIOs, are a growing problem across many of the information spaces we inhabit online. These instances of coordinated misinformation and propaganda have been perpetrated by over 80 state actors in the last decade, and have been used to exert influence on digital media consumption habits, discussions of contentious issues, and even national elections. Concern over the power that SSIOs wield is only growing as the proliferation of automated tools and services is making it easier than ever to launch large-scale manipulation campaigns. But what role do such automated agents play within the broader operations that they are deployed in? Are they even successful at making an impact in information spaces online? In this work, we address both of these questions through the use of a sequence-based clustering method and advanced linear modeling. Using these methods, we investigate the relationship between agent automation, role, and network characteristics and how much success those agent's achieve over the course of their lifetimes. We find that automated agents perform worse across every success metric compared to human agents, and that they play a smaller, supporting role to the primarily human SSIO workforce. What's more, we find that the extent to which agent's engage in amplifying- or producing-centric roles is by far the biggest determinant of how successful they will be, highlighting the importance of social-roles in the analysis of automated agents."
4,Important,"AI Safety, Influence Operations, and Societal Risk",Influence operations and persuasion risk,Critique accepted as Important as a high-citation empirical foundation for state influence operations and election manipulation.,d73777af16df99b7c8e8fe4afc7748d66aeb9346,Characterizing the 2016 Russian IRA influence campaign,2018,114,,,,,,influence-001,"AI Safety, Influence Operations, and Societal Risk",https://www.semanticscholar.org/paper/d73777af16df99b7c8e8fe4afc7748d66aeb9346,10.1007/s13278-019-0578-6,1812.01997,Social Network Analysis and Mining,Adam Badawy; Aseel Addawood; Kristina Lerman; Emilio Ferrara,"Until recently, social media were seen to promote democratic discourse on social and political issues. However, this powerful communication ecosystem has come under scrutiny for allowing hostile actors to exploit online discussions in an attempt to manipulate public opinion. A case in point is the ongoing U.S. Congress investigation of Russian interference in the 2016 U.S. election campaign, with Russia accused of, among other things, using trolls (malicious accounts created for the purpose of manipulation) and bots (automated accounts) to spread propaganda and politically biased information. In this study, we explore the effects of this manipulation campaign, taking a closer look at users who re-shared the posts produced on Twitter by the Russian troll accounts publicly disclosed by U.S. Congress investigation. We collected a dataset of 13 million election-related posts shared on Twitter in the year of 2016 by over a million distinct users. This dataset includes accounts associated with the identified Russian trolls as well as users sharing posts in the same time period on a variety of topics around the 2016 elections. We use label propagation to infer the users’ ideology based on the news sources they share. We are able to classify a large number of the users as liberal or conservative with precision and recall above 84%. Conservative users who retweet Russian trolls produced significantly more tweets than liberal ones, about 8 times as many in terms of tweets. Additionally, trolls’ position in the retweet network is stable overtime, unlike users who retweet them who form the core of the election-related retweet network by the end of 2016. Using state-of-the-art bot detection techniques, we estimate that about 5% and 11% of liberal and conservative users are bots, respectively. Text analysis on the content shared by trolls reveal that conservative trolls talk about refugees, terrorism, and Islam, while liberal trolls talk more about school shootings and the police. Although an ideologically broad swath of Twitter users were exposed to Russian trolls in the period leading up to the 2016 U.S. Presidential election, it is mainly conservatives who help amplify their message."
5,Curated,"AI Safety, Influence Operations, and Societal Risk",Influence operations and persuasion risk,LLM-enhanced information-operations framework; relevant but more conceptual than empirical.,78669b20325d4089040479803e677cd47203e393,ClausewitzGPT Framework: A New Frontier in Theoretical Large Language Model Enhanced Information Operations,2023,2,1,56.79,citation:1,,Generative Language Models and Automated Influence Operations: Emerging Threats and Potential Mitigations,,,https://www.semanticscholar.org/paper/78669b20325d4089040479803e677cd47203e393,10.48550/arXiv.2310.07099,2310.07099,arXiv.org,B. Kereopa-Yorke,"In a digital epoch where cyberspace is the emerging nexus of geopolitical contention, the melding of information operations and Large Language Models (LLMs) heralds a paradigm shift, replete with immense opportunities and intricate challenges. As tools like the Mistral 7B LLM (Mistral, 2023) democratise access to LLM capabilities (Jin et al., 2023), a vast spectrum of actors, from sovereign nations to rogue entities (Howard et al., 2023), find themselves equipped with potent narrative-shaping instruments (Goldstein et al., 2023). This paper puts forth a framework for navigating this brave new world in the""ClausewitzGPT""equation. This novel formulation not only seeks to quantify the risks inherent in machine-speed LLM-augmented operations but also underscores the vital role of autonomous AI agents (Wang, Xie, et al., 2023). These agents, embodying ethical considerations (Hendrycks et al., 2021), emerge as indispensable components (Wang, Ma, et al., 2023), ensuring that as we race forward, we do not lose sight of moral compasses and societal imperatives. Mathematically underpinned and inspired by the timeless tenets of Clausewitz's military strategy (Clausewitz, 1832), this thesis delves into the intricate dynamics of AI-augmented information operations. With references to recent findings and research (Department of State, 2023), it highlights the staggering year-on-year growth of AI information campaigns (Evgeny Pashentsev, 2023), stressing the urgency of our current juncture. The synthesis of Enlightenment thinking, and Clausewitz's principles provides a foundational lens, emphasising the imperative of clear strategic vision, ethical considerations, and holistic understanding in the face of rapid technological advancement."
6,Curated,"AI Safety, Influence Operations, and Societal Risk",Influence operations and persuasion risk,Broad LLM misinformation/disinformation survey retained only as curated context for influence operations.,e16de517467afaee836fe81db74622fe54bbb3e0,Navigating the Web of Disinformation and Misinformation: Large Language Models as Double-Edged Swords,2025,38,1,45.96,citation:1,,Generative Language Models and Automated Influence Operations: Emerging Threats and Potential Mitigations,,,https://www.semanticscholar.org/paper/e16de517467afaee836fe81db74622fe54bbb3e0,10.1109/ACCESS.2024.3406644,,IEEE Access,Siddhant Bikram Shah; Surendrabikram Thapa; Ashish Acharya; Kritesh Rauniyar; Sweta Poudel; S. Jain; Anum Masood; Usman Naseem,"This paper explores the dual role of Large Language Models (LLMs) in the context of online misinformation and disinformation. In today’s digital landscape, where the internet and social media facilitate the rapid dissemination of information, discerning between accurate content and falsified information presents a formidable challenge. Misinformation, often arising unintentionally, and disinformation, crafted deliberately, are at the forefront of this challenge. LLMs such as OpenAI’s GPT-4, equipped with advanced language generation abilities, present a double-edged sword in this scenario. While they hold promise in combating misinformation by fact-checking and detecting LLM-generated text, their ability to generate realistic, contextually relevant text also poses risks for creating and propagating misinformation. Further, LLMs are plagued with many problems such as biases, knowledge cutoffs, and hallucinations, which may further perpetuate misinformation and disinformation. The paper outlines historical developments in misinformation detection and how it affects social media consumption, especially among youth, and introduces LLMs and their applications in various domains. It then critically analyzes the potential of LLMs to generate and counter misinformation and disinformation in sensitive topics such as healthcare, COVID-19, and political agendas. Further, it discusses mitigation strategies, ethical considerations, and regulatory measures, summarizing previous methods and proposing future research direction toward leveraging the benefits of LLMs while minimizing misuse risks. The paper concludes by acknowledging LLMs as powerful tools with significant implications in both spreading and combating misinformation in the digital age."
7,Curated,"AI Safety, Influence Operations, and Societal Risk",Influence operations and persuasion risk,Election-focused generative-AI disinformation and troll-campaign paper.,2587fb9a1f3abc4d669e541acba1b3e86dabb577,Generative artificial intelligence in the electoral processes of 2024 in the world: disinformation campaigns and online trolls,2024,3,,,,,,influence-001; influence-002,"AI Safety, Influence Operations, and Societal Risk",https://www.semanticscholar.org/paper/2587fb9a1f3abc4d669e541acba1b3e86dabb577,10.33920/pol-01-2403-03,,Social'naja politika i social'noe partnerstvo (Social Policy and Social Partnership),E. Ustinovich,"The article conducts research and presents some conclusions about the role of generative artificial intelligence in electoral processes. Most of the election campaigns of the heads of state and parliament of the countries of the world involve the use of modern information and communication, digital technologies and artificial intelligence technologies. The use of artificial intelligence in an election campaign can help improve the efficiency and effectiveness of a campaign, but it can also lead to misinformation of the public. Today, destructive attempts to influence people, societies and entire states are no longer new challenges on the Internet, in connection with which outright lies, political propaganda, incitement to hatred, manipulative technologies are firmly rooted in the Internet space and the latest technologies are actively used for this. The use of bots, or automated social media accounts, has greatly facilitated the dissemination of deliberately false information, as well as false rumors and other types of misinformation. However, the bots used earlier in the elections often produced poorly constructed, grammatically incorrect sentences. Now that the creation of large language models (artificial intelligence systems that create text) is becoming more accessible to more people, some researchers fear that automated social media accounts will soon become much more convincing. Disinformation campaigns and online trolls will increasingly use generative AI to spread false information about elections. Thus, new technologies can cause some harm to the social security of society."
8,Curated,"AI Safety, Influence Operations, and Societal Risk",Influence operations and persuasion risk,Political propaganda and AI-generated meme/influence-campaign analysis.,b91c2e373c95b8b81c711fce3a4ff4161b4a0af4,AI-Slop and Political Propaganda: The Role of AI-Generated Content in Memes and Influence Campaigns,2025,1,,,,,,influence-002,"AI Safety, Influence Operations, and Societal Risk",https://www.semanticscholar.org/paper/b91c2e373c95b8b81c711fce3a4ff4161b4a0af4,10.56177/eon.6.3.2025.art.1,,Workshop on Evaluation of Ontology-based Tools,Eduard-Claudiu Gross; Alicia J M Colson,"This paper examines the phenomenon of “AI-slop” – a term denoting the mass proliferation of low-quality, AI-generated content – and its role in contemporary digital culture and political propaganda. We trace the conceptual emergence of AI-slop and analyze its epistemic, aesthetic, and socio-political implications, focusing particularly on memes as carriers of ideology. Through a media-theoretical and historical lens, we compare memes with political cartoons, highlighting how both serve as vehicles for persuasion, but noting memes’ capacity for rapid diffusion, anonymity, and heightened polarizing effects. Using the 2024 -25 Romanian elections as a case study, we show how candidates strategically deployed AI-generated memes and crude visuals to cultivate authenticity, amplify nationalist narratives, and bypass traditional media scrutiny. We argue that AI-slop not only undermines knowledge infrastructures but also reconfigures political communication, blurring the boundaries between entertainment, misinformation, and propaganda. Ultimately, AI-slop represents a critical frontier for digital literacy, democratic resilience, and information integrity."
9,Curated,"AI Safety, Influence Operations, and Societal Risk",Influence operations and persuasion risk,State-sponsored troll detection paper relevant to LLM-era influence-operation monitoring.,4802bfb162be70873689bd1c3a04a542ea01a8f3,Exposing influence campaigns in the age of LLMs: a behavioral-based AI approach to detecting state-sponsored trolls,2022,27,,,,,,influence-001,"AI Safety, Influence Operations, and Societal Risk",https://www.semanticscholar.org/paper/4802bfb162be70873689bd1c3a04a542ea01a8f3,10.1140/epjds/s13688-023-00423-4,2210.08786,EPJ Data Science,Fatima Ezzeddine; Luca Luceri; Omran Ayoub; Ihab Sbeity; Gianluca Nogara; Emilio Ferrara; Silvia Giordano,"The detection of state-sponsored trolls operating in influence campaigns on social media is a critical and unsolved challenge for the research community, which has significant implications beyond the online realm. To address this challenge, we propose a new AI-based solution that identifies troll accounts solely through behavioral cues associated with their sequences of sharing activity, encompassing both their actions and the feedback they receive from others. Our approach does not incorporate any textual content shared and consists of two steps: First, we leverage an LSTM-based classifier to determine whether account sequences belong to a state-sponsored troll or an organic, legitimate user. Second, we employ the classified sequences to calculate a metric named the “Troll Score”, quantifying the degree to which an account exhibits troll-like behavior. To assess the effectiveness of our method, we examine its performance in the context of the 2016 Russian interference campaign during the U.S. Presidential election. Our experiments yield compelling results, demonstrating that our approach can identify account sequences with an AUC close to 99% and accurately differentiate between Russian trolls and organic users with an AUC of 91%. Notably, our behavioral-based approach holds a significant advantage in the ever-evolving landscape, where textual and linguistic properties can be easily mimicked by Large Language Models (LLMs): In contrast to existing language-based techniques, it relies on more challenging-to-replicate behavioral cues, ensuring greater resilience in identifying influence campaigns, especially given the potential increase in the usage of LLMs for generating inauthentic content. Finally, we assessed the generalizability of our solution to various entities driving different information operations and found promising results that will guide future research."
10,Curated,"AI Safety, Influence Operations, and Societal Risk",Influence operations and persuasion risk,Foreign-influence operations context for the LLM-enabled influence-ops literature.,8a572fda937248597c6b643dcdaff4eae6cdf702,Recent Trends in Online Foreign Influence Efforts,2019,31,,,,,,influence-003,"AI Safety, Influence Operations, and Societal Risk",https://www.semanticscholar.org/paper/8a572fda937248597c6b643dcdaff4eae6cdf702,,,,Diego A Martin; Jacob N. Shapiro; M. Nedashkovskaya,
