selected_rank,cluster,recommendation,theme,subtheme,selection_reason,paperId,title,year,citationCount,seed_overlap_count,relevance_score,relation_summary,source_seed_titles,url,doi,arxiv,venue,authors,abstract
1,foundation-text,strong_candidate,Classical Political NLP and Information Extraction,Political text as data and policy-position extraction,Direct LLM-era successor to Text as Data for political text analysis best practices.,d0416928f4f8ecc7adc81d4072ae22911a863664,How to train your stochastic parrot: large language models for political texts,2025,57,1,48.82,citation:1,Text as Data: The Promise and Pitfalls of Automatic Content Analysis Methods for Political Texts,https://www.semanticscholar.org/paper/d0416928f4f8ecc7adc81d4072ae22911a863664,10.1017/psrm.2024.64,,Political Science Research and Methods,J. Ornstein; Elise N. Blasingame; Jake S. Truscott,"We demonstrate how few-shot prompts to large language models (LLMs) can be effectively applied to a wide range of text-as-data tasks in political science—including sentiment analysis, document scaling, and topic modeling. In a series of pre-registered analyses, this approach outperforms conventional supervised learning methods without the need for extensive data pre-processing or large sets of labeled training data. Performance is comparable to expert and crowd-coding methods at a fraction of the cost. We propose a set of best practices for adapting these models to social science measurement tasks, and develop an open-source software package for researchers."
2,foundation-text,strong_candidate,"Politics, Democracy, Public Opinion, and Persuasion","Public opinion, polling, and political annotation",High-citation political annotation benchmark comparing LLMs with expert and crowd coding.,6354f2639d07bf8d5b08a4dcaef4c5db5fe19fdb,ChatGPT-4 Outperforms Experts and Crowd Workers in Annotating Political Twitter Messages with Zero-Shot Learning,2023,206,1,48.98,citation:1,Text as Data: The Promise and Pitfalls of Automatic Content Analysis Methods for Political Texts,https://www.semanticscholar.org/paper/6354f2639d07bf8d5b08a4dcaef4c5db5fe19fdb,10.48550/arXiv.2304.06588,2304.06588,arXiv.org,Petter Törnberg,"This paper assesses the accuracy, reliability and bias of the Large Language Model (LLM) ChatGPT-4 on the text analysis task of classifying the political affiliation of a Twitter poster based on the content of a tweet. The LLM is compared to manual annotation by both expert classifiers and crowd workers, generally considered the gold standard for such tasks. We use Twitter messages from United States politicians during the 2020 election, providing a ground truth against which to measure accuracy. The paper finds that ChatGPT-4 has achieves higher accuracy, higher reliability, and equal or lower bias than the human classifiers. The LLM is able to correctly annotate messages that require reasoning on the basis of contextual knowledge, and inferences around the author's intentions - traditionally seen as uniquely human abilities. These findings suggest that LLM will have substantial impact on the use of textual data in the social sciences, by enabling interpretive research at a scale."
3,foundation-text,strong_candidate,Classical Political NLP and Information Extraction,Political text as data and policy-position extraction,Direct bridge from classical ideological scaling to LLM-based social-science measurement.,f1847c5693f7dac9ba89b3e0571ee27cfca720dc,Measurement in the Age of LLMs: An Application to Ideological Scaling,2023,15,1,39.42,citation:1,Text as Data: The Promise and Pitfalls of Automatic Content Analysis Methods for Political Texts,https://www.semanticscholar.org/paper/f1847c5693f7dac9ba89b3e0571ee27cfca720dc,10.48550/arXiv.2312.09203,2312.09203,arXiv.org,S. O’hagan; Aaron Schein,"Much of social science is centered around terms like ``ideology'' or ``power'', which generally elude precise definition, and whose contextual meanings are trapped in surrounding language. This paper explores the use of large language models (LLMs) to flexibly navigate the conceptual clutter inherent to social scientific measurement tasks. We rely on LLMs' remarkable linguistic fluency to elicit ideological scales of both legislators and text, which accord closely to established methods and our own judgement. A key aspect of our approach is that we elicit such scores directly, instructing the LLM to furnish numeric scores itself. This approach affords a great deal of flexibility, which we showcase through a variety of different case studies. Our results suggest that LLMs can be used to characterize highly subtle and diffuse manifestations of political ideology in text."
4,foundation-text,strong_candidate,Classical Political NLP and Information Extraction,Political text as data and policy-position extraction,Measurement-validity paper for scalar social-science constructs using LLMs.,26730e1800a33de13aa8ce01f1400b4818e9de42,Measuring Scalar Constructs in Social Science with LLMs,2025,8,1,44.77,citation:1,Text as Data: The Promise and Pitfalls of Automatic Content Analysis Methods for Political Texts,https://www.semanticscholar.org/paper/26730e1800a33de13aa8ce01f1400b4818e9de42,10.48550/arXiv.2509.03116,2509.03116,Conference on Empirical Methods in Natural Language Processing,Hauke Licht; Rupak Sarkar; Patrick Y. Wu; Pranav Goel; Niklas Stoehr; Elliott Ash; A. Hoyle,"Many constructs that characterize language, like its complexity or emotionality, have a naturally continuous semantic structure; a public speech is not just""simple""or""complex,""but exists on a continuum between extremes. Although large language models (LLMs) are an attractive tool for measuring scalar constructs, their idiosyncratic treatment of numerical outputs raises questions of how to best apply them. We address these questions with a comprehensive evaluation of LLM-based approaches to scalar construct measurement in social science. Using multiple datasets sourced from the political science literature, we evaluate four approaches: unweighted direct pointwise scoring, aggregation of pairwise comparisons, token-probability-weighted pointwise scoring, and finetuning. Our study finds that pairwise comparisons made by LLMs produce better measurements than simply prompting the LLM to directly output the scores, which suffers from bunching around arbitrary numbers. However, taking the weighted mean over the token probability of scores further improves the measurements over the two previous approaches. Finally, finetuning smaller models with as few as 1,000 training pairs can match or exceed the performance of prompted LLMs."
5,foundation-text,strong_candidate,Classical Political NLP and Information Extraction,Political text as data and policy-position extraction,Political text-analysis method using synthetic LLM data to reduce annotation burden.,1a3099125dd700a65dbe6c1c2cc4067e12d5171a,Synthetically generated text for supervised text analysis,2023,16,1,44.55,citation:1,Text as Data: The Promise and Pitfalls of Automatic Content Analysis Methods for Political Texts,https://www.semanticscholar.org/paper/1a3099125dd700a65dbe6c1c2cc4067e12d5171a,10.1017/pan.2024.31,2303.16028,Political Analysis,Andrew Halterman,"Large language models are a powerful tool for conducting text analysis in political science, but using them to annotate text has several drawbacks, including high cost, limited reproducibility, and poor explainability. Traditional supervised text classifiers are fast and reproducible, but require expensive hand annotation, which is especially difficult for rare classes. This article proposes using LLMs to generate synthetic training data for training smaller, traditional supervised text models. Synthetic data can augment limited hand annotated data or be used on its own to train a classifier with good performance and greatly reduced cost. I provide a conceptual overview of text generation, guidance on when researchers should prefer different techniques for generating synthetic text, a discussion of ethics, a simple technique for improving the quality of synthetic text, and an illustration of its limitations. I demonstrate the usefulness of synthetic training through three validations: synthetic news articles describing police responses to communal violence in India for training an event detection system, a multilingual corpus of synthetic populist manifesto statements for training a sentence-level populism classifier, and generating synthetic tweets describing the fighting in Ukraine to improve a named entity system."
6,foundation-text,strong_candidate,Classical Political NLP and Information Extraction,Political event data and conflict information extraction,Direct validation paper for machine-assisted coding of rare political events.,a92f37aa991a60147f51ffdd24e86bd6c011370c,Coding with the machines: machine-assisted coding of rare event data,2024,5,1,29.09,citation:1,Text as Data: The Promise and Pitfalls of Automatic Content Analysis Methods for Political Texts,https://www.semanticscholar.org/paper/a92f37aa991a60147f51ffdd24e86bd6c011370c,10.1093/pnasnexus/pgae165,,PNAS Nexus,H. Overos; R. Hlatky; Oja Pathak; Harriet Goers; Jordan Gouws-Dewar; Katy Smith; Keith Padraic Chew; J. Birnir; Amy H. Liu,"Abstract While machine coding of data has dramatically advanced in recent years, the literature raises significant concerns about validation of LLM classification showing, for example, that reliability varies greatly by prompt and temperature tuning, across subject areas and tasks—especially in “zero-shot” applications. This paper contributes to the discussion of validation in several different ways. To test the relative performance of supervised and semi-supervised algorithms when coding political data, we compare three models’ performances to each other over multiple iterations for each model and to trained expert coding of data. We also examine changes in performance resulting from prompt engineering and pre-processing of source data. To ameliorate concerns regarding LLM’s pre-training on test data, we assess performance by updating an existing dataset beyond what is publicly available. Overall, we find that only GPT-4 approaches trained expert coders when coding contexts familiar to human coders and codes more consistently across contexts. We conclude by discussing some benefits and drawbacks of machine coding moving forward."
7,ir-event-data,strong_candidate,Classical Political NLP and Information Extraction,Political event data and conflict information extraction,Domain-specific language model for political conflict and violence extraction tasks.,9b05db2352c046b3b29bd9bf258cda8895d96d31,ConfliBERT: A Pre-trained Language Model for Political Conflict and Violence,2022,42,1,28.77,citation:1,Conflict and Mediation Event Observations (CAMEO): A New Event Data Framework for the Analysis of Foreign Policy Interactions,https://www.semanticscholar.org/paper/9b05db2352c046b3b29bd9bf258cda8895d96d31,10.18653/v1/2022.naacl-main.400,,North American Chapter of the Association for Computational Linguistics,Yibo Hu; Mohammad Hosseini; Erick Skorupa Parolin; Javier Osorio; Latif Khan; Patrick T. Brandt; Vito J. D'Orazio,"Analyzing conflicts and political violence around the world is a persistent challenge in the political science and policy communities due in large part to the vast volumes of specialized text needed to monitor conflict and violence on a global scale. To help advance research in political science, we introduce ConfliBERT, a domain-specific pre-trained language model for conflict and political violence. We first gather a large domain-specific text corpus for language modeling from various sources. We then build ConfliBERT using two approaches: pre-training from scratch and continual pre-training. To evaluate ConfliBERT, we collect 12 datasets and implement 18 tasks to assess the models’ practical application in conflict research. Finally, we evaluate several versions of ConfliBERT in multiple experiments. Results consistently show that ConfliBERT outperforms BERT when analyzing political violence and conflict."
8,ir-event-data,foundation_or_methods_candidate,Classical Political NLP and Information Extraction,Political event data and conflict information extraction,"Survey of conflict and unrest event datasets, useful as event-data foundation map.",e2f0fca4113a62ff2cfdc8901265f89af6bf4516,Socio-political Events of Conflict and Unrest: A Survey of Available Datasets,2024,7,1,21.72,citation:1,Conflict and Mediation Event Observations (CAMEO): A New Event Data Framework for the Analysis of Foreign Policy Interactions,https://www.semanticscholar.org/paper/e2f0fca4113a62ff2cfdc8901265f89af6bf4516,10.18653/v1/2024.case-1.5,,CASE,Helene Olsen; Étienne Simon; Erik Velldal; Lilja Øvrelid,"There is a large and growing body of literature on datasets created to facilitate the study of socio-political events of conflict and unrest. However, the datasets, and the approaches taken to create them, vary a lot depending on the type of research they are intended to support. For example, while scholars from natural language processing (NLP) tend to focus on annotating specific spans of text indicating various components of an event, scholars from the disciplines of political science and conflict studies tend to focus on creating databases that code an abstract but structured representation of the event, less tied to a specific source text.The survey presented in this paper aims to map out the current landscape of available event datasets within the domain of social and political conflict and unrest – both from the NLP and political science communities – offering a unified view of the work done across different disciplines."
9,ir-event-data,strong_candidate,Classical Political NLP and Information Extraction,Political event data and conflict information extraction,High-citation model for inferring multilateral relations from political event counts.,4ddb48f5e50ecf3595a0ef2517d36d077f968e25,Bayesian Poisson Tensor Factorization for Inferring Multilateral Relations from Sparse Dyadic Event Counts,2015,112,1,19.27,citation:1,Conflict and Mediation Event Observations (CAMEO): A New Event Data Framework for the Analysis of Foreign Policy Interactions,https://www.semanticscholar.org/paper/4ddb48f5e50ecf3595a0ef2517d36d077f968e25,10.1145/2783258.2783414,1506.03493,Knowledge Discovery and Data Mining,Aaron Schein; J. Paisley; D. Blei; Hanna M. Wallach,"We present a Bayesian tensor factorization model for inferring latent group structures from dynamic pairwise interaction patterns. For decades, political scientists have collected and analyzed records of the form ""country i took action a toward country j at time t"" - known as dyadic events - in order to form and test theories of international relations. We represent these event data as a tensor of counts and develop Bayesian Poisson tensor factorization to infer a low-dimensional, interpretable representation of their salient patterns. We demonstrate that our model's predictive performance is better than that of standard non-negative tensor factorization methods. We also provide a comparison of our variational updates to their maximum likelihood counterparts. In doing so, we identify a better way to form point estimates of the latent factors than that typically used in Bayesian Poisson matrix factorization. Finally, we showcase our model as an exploratory analysis tool for political scientists. We show that the inferred latent factor matrices capture interpretable multilateral relations that both conform to and inform our knowledge of international a airs."
10,ir-event-data,strong_candidate,"Forecasting, Geopolitical Risk, and Foresight",Geopolitical event prediction systems,Civil-unrest forecasting system using multi-source social and news data.,02099cbba1256232aa1a26fa88be9796db514846,Multi-Source Models for Civil Unrest Forecasting,2016,27,1,27.24,citation:1,Conflict and Mediation Event Observations (CAMEO): A New Event Data Framework for the Analysis of Foreign Policy Interactions,https://www.semanticscholar.org/paper/02099cbba1256232aa1a26fa88be9796db514846,10.1007/s13278-016-0355-8,,Social Network Analysis and Mining,Gizem Korkmaz; Jose Cadena; C. Kuhlman; A. Marathe; A. Vullikanti; Naren Ramakrishnan,"Civil unrest events (protests, strikes, and “occupy” events) range from small, nonviolent protests that address specific issues to events that turn into large-scale riots. Detecting and forecasting these events is of key interest to social scientists and policy makers because they can lead to significant societal and cultural changes. We forecast civil unrest events in six countries in Latin America on a daily basis, from November 2012 through August 2014, using multiple data sources that capture social, political and economic contexts within which civil unrest occurs. The models contain predictors extracted from social media sites (Twitter and blogs) and news sources, in addition to volume of requests to Tor, a widely used anonymity network. Two political event databases and country-specific exchange rates are also used. Our forecasting models are evaluated using a Gold Standard Report, which is compiled by an independent group of social scientists and subject matter experts. We use logistic regression models with Lasso to select a sparse feature set from our diverse datasets. The experimental results, measured by F1-scores, are in the range 0.68–0.95, and demonstrate the efficacy of using a multi-source approach for predicting civil unrest. Case studies illustrate the insights into unrest events that are obtained with our method. The ablation study demonstrates the relative value of data sources for prediction. We find that social media and news are more informative than other data sources, including the political event databases, and enhance the prediction performance. However, social media increases the variation in the performance metrics."
