awesome_section,id,priority,category,title,year_or_timeframe,paper_type_or_source,source_url,notes
Politics and Political Science,1,Core,Survey and foundations,Political-LLM: Large Language Models in Political Science,2024,arXiv preprint,https://arxiv.org/abs/2412.06864,Good entry point for a political science oriented literature review.
Politics and Political Science,2,Core,Survey and foundations,Large Language Models in Politics and Democracy: A Comprehensive Survey,2024,arXiv preprint,https://arxiv.org/abs/2412.04498,"Useful for framing governance, democratic process, transparency, accountability, and political communication."
Politics and Political Science,3,Core,Survey and foundations,Can Large Language Models Transform Computational Social Science?,2024,Computational Linguistics / Association for Computational Linguistics,https://aclanthology.org/2024.cl-1.8/,Important methodological baseline; distinguishes classification performance from simulation and research-assistance value.
Politics and Political Science,4,Important,Survey and foundations,Large language models and political science,2023,Frontiers in Political Science,https://www.frontiersin.org/journals/political-science/articles/10.3389/fpos.2023.1257092/full,Early framing paper; useful historically even if newer surveys are broader.
Politics and Political Science,5,Core,Survey and foundations,Large language models empowered agent-based modeling and simulation: a survey and perspectives,2024,Nature Humanities and Social Sciences Communications,https://www.nature.com/articles/s41599-024-03611-3,Best general bridge from language models to agent-based modeling and simulation.
"Geopolitics, Diplomacy, and Strategic Simulation",6,Core,"Strategic, diplomatic, and military simulation",Escalation Risks from Language Models in Military and Diplomatic Decision-Making,2024,arXiv preprint,https://arxiv.org/abs/2401.03408,Essential safety and evaluation paper for high-risk strategic decision support.
"Geopolitics, Diplomacy, and Strategic Simulation",7,Core,"Strategic, diplomatic, and military simulation",Behavioral Differences Between Expert Humans and Language Models in Wargame Simulations / Human vs. Machine,2024,arXiv preprint,https://arxiv.org/html/2403.03407v4,Directly addresses whether language model role play resembles expert strategic behavior.
"Geopolitics, Diplomacy, and Strategic Simulation",8,Important,"Strategic, diplomatic, and military simulation",Open-Ended Wargames with Large Language Models,2024,arXiv preprint,https://arxiv.org/html/2404.11446v1,Useful engineering reference for building interactive strategic simulation environments.
"Geopolitics, Diplomacy, and Strategic Simulation",9,Important,"Strategic, diplomatic, and military simulation",Simulating Influence Dynamics with LLM Agents,2025,arXiv preprint,https://arxiv.org/html/2503.08709v1,"Relevant for information operations, strategic influence, and institutional response simulation."
"Geopolitics, Diplomacy, and Strategic Simulation",10,Important,"Strategic, diplomatic, and military simulation","LLMs as Strategic Actors: Behavioral Alignment, Risk Calibration, and Argumentation Framing in Geopolitical Simulations",2026,arXiv preprint,https://arxiv.org/abs/2603.02128,Emerging work directly focused on large language models as strategic actors.
"Geopolitics, Diplomacy, and Strategic Simulation",11,Core,"Strategic, diplomatic, and military simulation",Critical Foreign Policy Decisions Benchmark: Measuring Diplomatic Preferences in Large Language Models,2025,arXiv preprint,https://arxiv.org/abs/2503.06263,Important benchmark for turning foreign policy preferences into measurable model behavior.
"Geopolitics, Diplomacy, and Strategic Simulation",12,Core,"Strategic, diplomatic, and military simulation",Benchmarking LLMs for Political Science: A United Nations Perspective / United Nations Benchmark,2025,arXiv preprint,https://arxiv.org/abs/2502.14122,Useful for diplomatic-process modeling and international-organization decision simulation.
"Geopolitics, Diplomacy, and Strategic Simulation",13,Core,"Strategic, diplomatic, and military simulation",UNSC-Bench: Evaluating LLM Diplomatic Role-Playing Through UN Security Council Vote Prediction,2026,Association for Computational Linguistics paper,https://aclanthology.org/2026.mme-main.10.pdf,Strong fit for testing whether diplomatic role conditioning improves prediction.
"Geopolitics, Diplomacy, and Strategic Simulation",14,Optional / Engineering,"Strategic, diplomatic, and military simulation",LLM-based wargame scenario generation with domain ontology,2025 or 2026,Simulation journal article,https://journals.sagepub.com/doi/10.1177/00375497251415245,More useful for system construction than for theory.
