id,priority,theme,subtheme,title,year_or_timeframe,source_url,notes
classical-001,Core,Classical Political NLP and Information Extraction,Political text as data and policy-position extraction,Text as Data: The Promise and Pitfalls of Automatic Content Analysis Methods for Political Texts,2013,https://www.semanticscholar.org/paper/b9921fb4d1448058642897797e77bdaf8f444404,Foundational political text-as-data survey.
classical-002,Core,Classical Political NLP and Information Extraction,Political text as data and policy-position extraction,Computer-Assisted Text Analysis for Comparative Politics,2015,https://www.semanticscholar.org/paper/ca1469279ace2e341fd385c884129367e1b7dda7,Core comparative politics text-analysis methods paper.
classical-003,Core,Classical Political NLP and Information Extraction,Political text as data and policy-position extraction,A Method of Automated Nonparametric Content Analysis for Social Science,2010,https://www.semanticscholar.org/paper/f057500971a5466f9580002e495044fd3e64429d,Foundational automated content-analysis method.
classical-004,Core,Classical Political NLP and Information Extraction,Political text as data and policy-position extraction,Extracting Policy Positions from Political Texts Using Words as Data,2003,https://www.semanticscholar.org/paper/7d9cc63dfbd34acf271e3a2c922ea1c07fb2f482,Wordscores and policy-position extraction classic.
classical-005,Core,Classical Political NLP and Information Extraction,Political text as data and policy-position extraction,A Scaling Model for Estimating Time-Series Party Positions from Texts,2007,https://www.semanticscholar.org/paper/5109c519cd4442041a5d3915ca305eba6d68ee10,Wordfish-style text scaling for party positions.
classical-006,Core,Classical Political NLP and Information Extraction,Political text as data and policy-position extraction,Fightin' Words: Lexical Feature Selection and Evaluation for Identifying the Content of Political Conflict,2008,https://www.semanticscholar.org/paper/ebc37575aa4e4afeb1dc94a18022cc0ebeb2fe09,Classic lexical feature-selection method for political conflict content.
classical-007,Core,Classical Political NLP and Information Extraction,Political text as data and policy-position extraction,How to Analyze Political Attention with Minimal Assumptions and Costs,2010,https://www.semanticscholar.org/paper/43233894df92aba0267d182d1f0b27651d0935ee,Classic topic-model approach to political attention.
classical-008,Core,Classical Political NLP and Information Extraction,Political text as data and policy-position extraction,A Bayesian Hierarchical Topic Model for Political Texts: Measuring Expressed Agendas in Senate Press Releases,2010,https://www.semanticscholar.org/paper/b06056c20f4ed118e7db9f4e35e674570b2cf8f6,Classic agenda extraction from political text.
classical-009,Core,Classical Political NLP and Information Extraction,Legislative speech and policy text classification,Measuring Political Positions from Legislative Speech,2016,https://www.semanticscholar.org/paper/78073f687117e15ca4786def603d1509d09c99bf,Legislative speech scaling.
classical-010,Core,Classical Political NLP and Information Extraction,Legislative speech and policy text classification,Get out the vote: Determining support or opposition from Congressional floor-debate transcripts,2006,https://www.semanticscholar.org/paper/dc832b298290e316d1218266f6f33de97c9b5679,Classic NLP stance/support extraction from congressional debate.
classical-011,Core,Classical Political NLP and Information Extraction,Legislative speech and policy text classification,Predicting Legislative Roll Calls from Text,2011,https://www.semanticscholar.org/paper/62e14dec73970514a5e3f81b059d63b34e9ad37c,Text-to-vote prediction and ideal-point topic modeling.
classical-012,Core,Classical Political NLP and Information Extraction,Legislative speech and policy text classification,Textual Predictors of Bill Survival in Congressional Committees,2012,https://www.semanticscholar.org/paper/36da409e56a1a47691bd880fa73954a4aeae41b3,Legislative text prediction.
classical-013,Important,Classical Political NLP and Information Extraction,Legislative speech and policy text classification,The Media Frames Corpus: Annotations of Frames Across Issues,2015,https://www.semanticscholar.org/paper/92408cc19033cc4af29accef3793014ab79355c2,Frame annotation and extraction resource for policy/political discourse.
classical-014,Core,Classical Political NLP and Information Extraction,Political event data and conflict information extraction,An Automated Information Extraction Tool for International Conflict Data with Performance as Good as Human Coders: A Rare Events Evaluation Design,2003,https://www.semanticscholar.org/paper/195ba4e60c5840de438aa5b22bd99aca33339ffd,Foundational automated IE for international conflict event data.
classical-015,Core,Classical Political NLP and Information Extraction,Political event data and conflict information extraction,Political Science: KEDS-A Program for the Machine Coding of Event Data,1994,https://www.semanticscholar.org/paper/f2a0ce8d7316814628853ec135d465e25dd89279,KEDS machine-coding system for event data.
classical-016,Core,Classical Political NLP and Information Extraction,Political event data and conflict information extraction,Automated Coding of International Event Data Using Sparse Parsing Techniques,2000,https://www.semanticscholar.org/paper/f9dc1de1dea55eef0bfdea0231e95045dd7e64b3,Sparse parsing approach for international event coding.
classical-017,Core,Classical Political NLP and Information Extraction,Political event data and conflict information extraction,Integrated Data for Events Analysis (IDEA): An Event Typology for Automated Events Data Development,2003,https://www.semanticscholar.org/paper/e2ea7868124efba5283ee98f3d0db5ebb296cc86,Event ontology/typology for automated event-data development.
classical-018,Core,Classical Political NLP and Information Extraction,Political event data and conflict information extraction,Conflict and Mediation Event Observations (CAMEO): A New Event Data Framework for the Analysis of Foreign Policy Interactions,2002,https://www.semanticscholar.org/paper/775d7f7262ffb42972e5b87a245bc4b63c20396d,CAMEO event-data framework.
classical-019,Important,Classical Political NLP and Information Extraction,Political event data and conflict information extraction,The CAMEO (Conflict and Mediation Event Observations) Actor Coding Framework,2008,https://www.semanticscholar.org/paper/dd9b3253977b889490c5baf33502230b6939fa6b,CAMEO actor coding framework.
classical-020,Core,Classical Political NLP and Information Extraction,Political event data and conflict information extraction,"GDELT: Global Data on Events, Location and Tone, 1979-2012",2013,https://data.gdeltproject.org/documentation/ISA.2013.GDELT.pdf,GDELT event database paper; not reliably indexed in Semantic Scholar search.
classical-021,Important,Classical Political NLP and Information Extraction,Political event data and conflict information extraction,"Automated Production of High-Volume, Near-Real-Time Political Event Data",2011,https://www.semanticscholar.org/paper/22317c1fb2e0339771cb6f263e58c31ea421054c,High-volume near-real-time political event data.
classical-022,Important,Classical Political NLP and Information Extraction,Political event data and conflict information extraction,Automated Coding of Political Event Data,2013,https://www.semanticscholar.org/paper/f572d3ae9579b94dd7576ea16ff879ee357c54d9,Overview of automated political event coding.
classical-023,Important,Classical Political NLP and Information Extraction,Political event data and conflict information extraction,"Precedents, Progress, and Prospects in Political Event Data",2012,https://www.semanticscholar.org/paper/86b1d0c06965266939a167ebe135bfda62234d0d,Review/history of political event data.
classical-024,Important,Classical Political NLP and Information Extraction,Political event data and conflict information extraction,"Three's a Charm?: Open Event Data Coding with EL:DIABLO, PETRARCH, and the Open Event Data Alliance.",2014,https://www.semanticscholar.org/paper/ebec268b3097a364f04c9630521ca2c16a3bdfb2,Open event-data coding systems and PETRARCH.
classical-025,Core,Classical Political NLP and Information Extraction,Political event data and conflict information extraction,Learning to Extract International Relations from Political Context,2013,https://www.semanticscholar.org/paper/de0c0563ee36f3485b5547482cf2b9296107d716,ACL paper directly on extracting international relations from text.
classical-026,Important,Classical Political NLP and Information Extraction,Political event data and conflict information extraction,Automatic Extraction of Events from Open Source Text for Predictive Forecasting,2013,https://www.semanticscholar.org/paper/323d03d202b9fea2696cbfa86ef86a29bea10b50,ICEWS-style automatic event extraction for forecasting.
classical-027,Important,Classical Political NLP and Information Extraction,Political event data and conflict information extraction,Improving the selection of news reports for event coding using ensemble classification,2015,https://www.semanticscholar.org/paper/b1dc323fcad19c28240906b989afc02f7d2849d4,News-report selection for event coding.
classical-028,Important,Classical Political NLP and Information Extraction,Political event data and conflict information extraction,"Creating a Real-Time, Reproducible Event Dataset",2016,https://www.semanticscholar.org/paper/680ef0b7b3e0a415a29ca28e4bb40dad220ad69e,Real-time reproducible event-data pipeline.
classical-029,Important,Classical Political NLP and Information Extraction,Political event data and conflict information extraction,Political Event Coding as Text-to-Text Sequence Generation,2022,https://www.semanticscholar.org/paper/f4666ec25c7af298ed359c0eca05295b908bab59,Modern neural bridge from classical event coding to sequence generation.
classical-030,Important,Classical Political NLP and Information Extraction,Political event data and conflict information extraction,Creating Custom Event Data Without Dictionaries: A Bag-of-Tricks,2023,https://arxiv.org/abs/2304.01331,Modern bridge from dictionary event coding toward custom/LLM-assisted event data.
