id,priority,theme,subtheme,title,year_or_timeframe,source_url,notes,resolved_paperId,resolved_title,resolved_year,citationCount,influentialCitationCount,venue,authors,doi,arxiv,semantic_scholar_url,publicationDate,publicationTypes,openAccessPdf,abstract,resolution_method,resolution_error
fog-rel-001,Core,"Geopolitics, Diplomacy, National Security, and Wargaming",Military decision-making and wargaming,"Red Lines and Grey Zones in the Fog of War: Benchmarking Legal Risk, Moral Harm, and Regional Bias in Large Language Model Military Decision-Making",2025,https://www.semanticscholar.org/paper/6a690b749ac5eaafc0918b452c8cec5cff72c723,Direct benchmark for LLM military decision-making under fog-of-war conditions.,6a690b749ac5eaafc0918b452c8cec5cff72c723,"Red Lines and Grey Zones in the Fog of War: Benchmarking Legal Risk, Moral Harm, and Regional Bias in Large Language Model Military Decision-Making",2025,1,0,arXiv.org,Toby Drinkall,10.48550/arXiv.2510.03514,2510.03514,https://www.semanticscholar.org/paper/6a690b749ac5eaafc0918b452c8cec5cff72c723,2025-10-03,JournalArticle,,"As military organisations consider integrating large language models (LLMs) into command and control (C2) systems for planning and decision support, understanding their behavioural tendencies is critical. This study develops a benchmarking framework for evaluating aspects of legal and moral risk in targeting behaviour by comparing LLMs acting as agents in multi-turn simulated conflict. We introduce four metrics grounded in International Humanitarian Law (IHL) and military doctrine: Civilian Target Rate (CTR) and Dual-use Target Rate (DTR) assess compliance with legal targeting principles, while Mean and Max Simulated Non-combatant Casualty Value (SNCV) quantify tolerance for civilian harm. We evaluate three frontier models, GPT-4o, Gemini-2.5, and LLaMA-3.1, through 90 multi-agent, multi-turn crisis simulations across three geographic regions. Our findings reveal that off-the-shelf LLMs exhibit concerning and unpredictable targeting behaviour in simulated conflict environments. All models violated the IHL principle of distinction by targeting civilian objects, with breach rates ranging from 16.7% to 66.7%. Harm tolerance escalated through crisis simulations with MeanSNCV increasing from 16.5 in early turns to 27.7 in late turns. Significant inter-model variation emerged: LLaMA-3.1 selected an average of 3.47 civilian strikes per simulation with MeanSNCV of 28.4, while Gemini-2.5 selected 0.90 civilian strikes with MeanSNCV of 17.6. These differences indicate that model selection for deployment constitutes a choice about acceptable legal and moral risk profiles in military operations. This work seeks to provide a proof-of-concept of potential behavioural risks that could emerge from the use of LLMs in Decision Support Systems (AI DSS) as well as a reproducible benchmarking framework with interpretable metrics for standardising pre-deployment testing.",title_exact,
fog-rel-002,Core,"Geopolitics, Diplomacy, National Security, and Wargaming",Military decision-making and wargaming,WARBENCH: A Comprehensive Benchmark for Evaluating LLMs in Military Decision-Making,2026,https://www.semanticscholar.org/paper/0f12312d9802499773ef7adfa506937263c4f523,Military decision-making benchmark with explicit fog-of-war and IHL stress tests.,0f12312d9802499773ef7adfa506937263c4f523,WARBENCH: A Comprehensive Benchmark for Evaluating LLMs in Military Decision-Making,2026,0,0,,Zongjie Li; Chaozheng Wang; Yuchong Xie; Pingchuan Ma; Shuai Wang,,2603.21280,https://www.semanticscholar.org/paper/0f12312d9802499773ef7adfa506937263c4f523,2026-03-22,,,"Large Language Models are increasingly being considered for deployment in safety-critical military applications. However, current benchmarks suffer from structural blindspots that systematically overestimate model capabilities in real-world tactical scenarios. Existing frameworks typically ignore strict legal constraints based on International Humanitarian Law (IHL), omit edge computing limitations, lack robustness testing for fog of war, and inadequately evaluate explicit reasoning. To address these vulnerabilities, we present WARBENCH, a comprehensive evaluation framework establishing a foundational tactical baseline alongside four distinct stress testing dimensions. Through a large scale empirical evaluation of nine leading models on 136 high-fidelity historical scenarios, we reveal severe structural flaws. First, baseline tactical reasoning systematically collapses under complex terrain and high force asymmetry. Second, while state of the art closed source models maintain functional compliance, edge-optimized small models expose extreme operational risks with legal violation rates approaching 70 percent. Furthermore, models experience catastrophic performance degradation under 4-bit quantization and systematic information loss. Conversely, explicit reasoning mechanisms serve as highly effective structural safeguards against inadvertent violations. Ultimately, these findings demonstrate that current models remain fundamentally unready for autonomous deployment in high stakes tactical environments.",title_exact,
fog-rel-003,Important,"Geopolitics, Diplomacy, National Security, and Wargaming",Military decision-making and wargaming,ARMOR 2025: A Military-Aligned Benchmark for Evaluating Large Language Model Safety Beyond Civilian Contexts,2026,https://www.semanticscholar.org/paper/893c4cf88cd76f31a267cca45ad6b30846e31ec3,Military-aligned LLM safety benchmark beyond civilian safety settings.,893c4cf88cd76f31a267cca45ad6b30846e31ec3,ARMOR 2025: A Military-Aligned Benchmark for Evaluating Large Language Model Safety Beyond Civilian Contexts,2026,0,0,,Sydney Johns; Heng Jin; Chaoyu Zhang; Y. T. Hou; W. Lou,,2605.00245,https://www.semanticscholar.org/paper/893c4cf88cd76f31a267cca45ad6b30846e31ec3,2026-04-30,,,"Large language models (LLMs) are now being explored for defense applications that require reliable and legally compliant decision support. They also hold significant potential to enhance decision making, coordination, and operational efficiency in military contexts. These uses demand evaluation methods that reflect the doctrinal standards that guide real military operations. Existing safety benchmarks focus on general social risks and do not test whether models follow the legal and ethical rules that govern real military operations. To address this gap, we introduce ARMOR 2025, a military aligned safety benchmark grounded in three core military doctrines the Law of War, the Rules of Engagement, and the Joint Ethics Regulation. We extract doctrinal text from these sources and generate multiple choice questions that preserve the intended meaning of each rule. The benchmark is organized through a taxonomy informed by the Observe Orient Decide Act (OODA) decision making framework. This structure enables systematic testing of accuracy and refusal across military relevant decision types. This benchmark features a structured 12-category taxonomy, 519 doctrinally grounded prompts, and rigorous evaluation procedures applied to 21 commercial LLMs. Evaluation results reveal critical gaps in safety alignment for military applications.",title_exact,
fog-rel-004,Important,"Geopolitics, Diplomacy, National Security, and Wargaming",Military decision-making and wargaming,The Prompt War: How AI Decides on a Military Intervention,2025,https://www.semanticscholar.org/paper/5711422371477106fcb16ce63599a75a45477711,Direct study of LLM support for military intervention decisions.,5711422371477106fcb16ce63599a75a45477711,The Prompt War: How AI Decides on a Military Intervention,2025,4,0,arXiv.org,Maxim Chupilkin,10.48550/arXiv.2507.06277,2507.06277,https://www.semanticscholar.org/paper/5711422371477106fcb16ce63599a75a45477711,2025-07-08,JournalArticle,,"Which factors determine AI's propensity to support military intervention? While the use of AI in high-stakes decision-making is growing exponentially, we still lack systematic analysis of the key drivers embedded in these models. This paper conducts a conjoint experiment in which large language models (LLMs) from leading providers (OpenAI, Anthropic, Google) are asked to decide on military intervention across 128 vignettes, with each vignette run 10 times. This design enables a systematic assessment of AI decision-making in military contexts. The results are remarkably consistent across models: all models place substantial weight on the probability of success and domestic support, prioritizing these factors over civilian casualties, economic shock, or international sanctions. The paper then tests whether LLMs are sensitive to context by introducing different motivations for intervention. The scoring is indeed context-dependent; however, probability of victory remains the most important factor in all scenarios. Finally, the paper evaluates numerical sensitivity and finds that models display some responsiveness to the scale of civilian casualties but no detectable sensitivity to the size of the economic shock.",title_exact,
fog-rel-005,Core,"Geopolitics, Diplomacy, National Security, and Wargaming","Conflict, escalation, and geopolitical simulation",AI Arms and Influence: Frontier Models Exhibit Sophisticated Reasoning in Simulated Nuclear Crises,2026,https://www.semanticscholar.org/paper/61159eaad2619f56621105de3670b54da562e340,Direct nuclear-crisis simulation study of frontier model strategic reasoning and signaling.,61159eaad2619f56621105de3670b54da562e340,AI Arms and Influence: Frontier Models Exhibit Sophisticated Reasoning in Simulated Nuclear Crises,2026,4,0,arXiv.org,K. Payne,10.48550/arXiv.2602.14740,2602.14740,https://www.semanticscholar.org/paper/61159eaad2619f56621105de3670b54da562e340,2026-02-16,JournalArticle,,"Today's leading AI models engage in sophisticated behaviour when placed in strategic competition. They spontaneously attempt deception, signaling intentions they do not intend to follow; they demonstrate rich theory of mind, reasoning about adversary beliefs and anticipating their actions; and they exhibit credible metacognitive self-awareness, assessing their own strategic abilities before deciding how to act. Here we present findings from a crisis simulation in which three frontier large language models (GPT-5.2, Claude Sonnet 4, Gemini 3 Flash) play opposing leaders in a nuclear crisis. Our simulation has direct application for national security professionals, but also, via its insights into AI reasoning under uncertainty, has applications far beyond international crisis decision-making. Our findings both validate and challenge central tenets of strategic theory. We find support for Schelling's ideas about commitment, Kahn's escalation framework, and Jervis's work on misperception, inter alia. Yet we also find that the nuclear taboo is no impediment to nuclear escalation by our models; that strategic nuclear attack, while rare, does occur; that threats more often provoke counter-escalation than compliance; that high mutual credibility accelerated rather than deterred conflict; and that no model ever chose accommodation or withdrawal even when under acute pressure, only reduced levels of violence. We argue that AI simulation represents a powerful tool for strategic analysis, but only if properly calibrated against known patterns of human reasoning. Understanding how frontier models do and do not imitate human strategic logic is essential preparation for a world in which AI increasingly shapes strategic outcomes.",title_exact,
fog-rel-006,Core,"Forecasting, Geopolitical Risk, and Foresight",Geopolitical event prediction systems,ThinkTank-ME: A Multi-Expert Framework for Middle East Event Forecasting,2026,https://www.semanticscholar.org/paper/a29b9d962c17189d7f122b02e5ed217499e19e5b,Direct Middle East geopolitical event forecasting framework cited by the fog-of-war paper.,a29b9d962c17189d7f122b02e5ed217499e19e5b,ThinkTank-ME: A Multi-Expert Framework for Middle East Event Forecasting,2026,2,0,Proceedings of the ACM Web Conference 2026,Haoxuan Li; He Chang; Yunshan Ma; Yi Bin; Yang Yang; See-Kiong Ng; Tat-Seng Chua,10.1145/3774904.3792905,2601.17065,https://www.semanticscholar.org/paper/a29b9d962c17189d7f122b02e5ed217499e19e5b,2026-01-22,Book; JournalArticle; Conference,,"Event forecasting is inherently influenced by multifaceted considerations, including international relations, regional historical dynamics, and cultural contexts. However, existing LLM-based approaches employ single-model architectures that generate predictions along a singular explicit trajectory, constraining their ability to capture diverse geopolitical nuances across complex regional contexts. To address this limitation, we introduce ThinkTank-ME, a novel Think Tank framework for Middle East event forecasting that emulates collaborative expert analysis in real-world strategic decision-making. To facilitate expert specialization and rigorous evaluation, we construct POLECAT-FOR-ME, a Middle East–focused event forecasting benchmark. Experimental results demonstrate the superiority of multi-expert collaboration in handling complex temporal geopolitical forecasting tasks. The code is available at https://github.com/LuminosityX/ThinkTank-ME.",title_exact,
fog-rel-007,Important,"Forecasting, Geopolitical Risk, and Foresight",Forecasting performance and aggregation,Pitfalls in Evaluating Language Model Forecasters,2025,https://www.semanticscholar.org/paper/aceb94676d003e84cdc29a9c72259c3d412c7e61,Directly addresses temporal leakage and external validity risks in LLM forecasting evaluation.,aceb94676d003e84cdc29a9c72259c3d412c7e61,Pitfalls in Evaluating Language Model Forecasters,2025,12,4,arXiv.org,Daniel Paleka; Shashwat Goel; Jonas Geiping; F. Tramèr,10.48550/arXiv.2506.00723,2506.00723,https://www.semanticscholar.org/paper/aceb94676d003e84cdc29a9c72259c3d412c7e61,2025-05-31,JournalArticle,,"Large language models (LLMs) have recently been applied to forecasting tasks, with some works claiming these systems match or exceed human performance. In this paper, we argue that, as a community, we should be careful about such conclusions as evaluating LLM forecasters presents unique challenges. We identify two broad categories of issues: (1) difficulty in trusting evaluation results due to many forms of temporal leakage, and (2) difficulty in extrapolating from evaluation performance to real-world forecasting. Through systematic analysis and concrete examples from prior work, we demonstrate how evaluation flaws can raise concerns about current and future performance claims. We argue that more rigorous evaluation methodologies are needed to confidently assess the forecasting abilities of LLMs.",title_exact,
fog-rel-008,Important,"Forecasting, Geopolitical Risk, and Foresight",Forecasting performance and aggregation,Simulated Ignorance Fails: A Systematic Study of LLM Behaviors on Forecasting Problems Before Model Knowledge Cutoff,2026,https://www.semanticscholar.org/paper/9a08a05560778e664c3ae47108be0fc501385d63,Directly relevant to the fog-of-war paper's cutoff and hindsight-bias design.,9a08a05560778e664c3ae47108be0fc501385d63,Simulated Ignorance Fails: A Systematic Study of LLM Behaviors on Forecasting Problems Before Model Knowledge Cutoff,2026,3,0,arXiv.org,Zehan Li; YuXuan Wang; Ali El Lahib; Ying-Jieh Xia; Xinyue Pi,10.48550/arXiv.2601.13717,2601.13717,https://www.semanticscholar.org/paper/9a08a05560778e664c3ae47108be0fc501385d63,2026-01-20,JournalArticle,,"Evaluating LLM forecasting capabilities is constrained by a fundamental tension: prospective evaluation offers methodological rigor but prohibitive latency, while retrospective forecasting (RF) -- evaluating on already-resolved events -- faces rapidly shrinking clean evaluation data as SOTA models possess increasingly recent knowledge cutoffs. Simulated Ignorance (SI), prompting models to suppress pre-cutoff knowledge, has emerged as a potential solution. We provide the first systematic test of whether SI can approximate True Ignorance (TI). Across 477 competition-level questions and 9 models, we find that SI fails systematically: (1) cutoff instructions leave a 52% performance gap between SI and TI; (2) chain-of-thought reasoning fails to suppress prior knowledge, even when reasoning traces contain no explicit post-cutoff references; (3) reasoning-optimized models exhibit worse SI fidelity despite superior reasoning trace quality. These findings demonstrate that prompts cannot reliably""rewind""model knowledge. We conclude that RF on pre-cutoff events is methodologically flawed; we recommend against using SI-based retrospective setups to benchmark forecasting capabilities.",title_exact,
fog-rel-009,Important,"Forecasting, Geopolitical Risk, and Foresight",Forecasting performance and aggregation,Do Language Models Update their Forecasts with New Information?,2025,https://www.semanticscholar.org/paper/eb24c93d4efa0d9fb6c7823ae0adf61a6d025208,Directly studies whether LLM forecasts update as new information arrives during unfolding events.,eb24c93d4efa0d9fb6c7823ae0adf61a6d025208,Do Language Models Update their Forecasts with New Information?,2025,0,0,,Moy Yuan; Zifeng Ding; Andreas Vlachos,,2509.23936,https://www.semanticscholar.org/paper/eb24c93d4efa0d9fb6c7823ae0adf61a6d025208,2025-09-28,,,"Prior work has largely treated forecasting as a static task, failing to consider how forecasts and the confidence in them should evolve as new evidence emerges. To address this gap, we introduce EvolveCast, a framework for evaluating whether large language models revise their forecasts appropriately in response to new information. In particular, EvolveCast assesses whether LLMs update their forecasts when presented with information released after their training cutoff. We use human forecasters as a comparative reference to assess forecast updates and confidence calibration under new information. While LLMs demonstrate some responsiveness to new information, their updates are often inconsistent or overly conservative. We further find that both verbalized and logits-based confidence estimates remain far from the human reference standard. Across settings with a variety of LLMs, models tend to be conservative in updating their forecasts. These findings suggest that current approaches (e.g., RAG-based methods) for updating model knowledge are insufficient for probabilistic reasoning; models treat new information as retrieval context rather than evidence that shifts posterior probability. EvolveCast thus underscores the need for more robust mechanisms to incorporate external knowledge into belief dynamics.",title_exact,
fog-rel-010,Important,"Forecasting, Geopolitical Risk, and Foresight",Forecasting benchmarks and datasets,The Future Outcome Reasoning and Confidence Assessment Benchmark,2025,https://www.semanticscholar.org/paper/453baf82f811e32aa005a57e807415857d7b4685,Forecasting benchmark focused on future outcome reasoning and confidence calibration.,453baf82f811e32aa005a57e807415857d7b4685,The Future Outcome Reasoning and Confidence Assessment Benchmark,2025,5,0,arXiv.org,Moy Yuan; Zifeng Ding; Andreas Vlachos,10.48550/arXiv.2502.19676,2502.19676,https://www.semanticscholar.org/paper/453baf82f811e32aa005a57e807415857d7b4685,2025-02-27,JournalArticle,,"Forecasting is an important task in many domains, such as technology and economics. However existing forecasting benchmarks largely lack comprehensive confidence assessment, focus on limited question types, and often consist of artificial questions that do not align with real-world human forecasting needs. To address these gaps, we introduce FOReCAst (Future Outcome Reasoning and Confidence Assessment), a benchmark that evaluates models' ability to make predictions and their confidence in them. FOReCAst spans diverse forecasting scenarios involving Boolean questions, timeframe prediction, and quantity estimation, enabling a comprehensive evaluation of both prediction accuracy and confidence calibration for real-world applications.",title_exact,
