seed_file,seed_id,seed_priority,seed_category,seed_title,seed_short_name,seed_source_url,seed_notes,resolved_paperId,resolved_title,match_status,year,citationCount,referenceCount,venue,publicationTypes,authors,doi,arxiv,url,abstract
llm_finance_papers.csv,1,P0,Survey,Large Language Models in Finance: A Survey,LLMs in Finance Survey,https://arxiv.org/abs/2311.10723,"Covers prompting, fine-tuning, custom financial LLMs, and institutional adoption considerations.",5432b77bfb1dced97c5b1fc684b0fa7d0d84c424,Large Language Models in Finance: A Survey,exact,2023,425,64,International Conference on AI in Finance,JournalArticle; Book; Review,Yinheng Li; Shaofei Wang; Han Ding; Hang Chen,10.1145/3604237.3626869,2311.10723,https://www.semanticscholar.org/paper/5432b77bfb1dced97c5b1fc684b0fa7d0d84c424,"Recent advances in large language models (LLMs) have opened new possibilities for artificial intelligence applications in finance. In this paper, we provide a practical survey focused on two key aspects of utilizing LLMs for financial tasks: existing solutions and guidance for adoption. First, we review current approaches employing LLMs in finance, including leveraging pretrained models via zero-shot or few-shot learning, fine-tuning on domain-specific data, and training custom LLMs from scratch. We summarize key models and evaluate their performance improvements on financial natural language processing tasks. Second, we propose a decision framework to guide financial professionals in selecting the appropriate LLM solution based on their use case constraints around data, compute, and performance needs. The framework provides a pathway from lightweight experimentation to heavy investment in customized LLMs. Lastly, we discuss limitations and challenges around leveraging LLMs in financial applications. Overall, this survey aims to synthesize the state-of-the-art and provide a roadmap for responsibly applying LLMs to advance financial AI."
llm_finance_papers.csv,2,P0,Survey,A Survey of Large Language Models in Finance: FinLLMs,FinLLMs Survey,https://arxiv.org/abs/2402.02315,"Covers hallucination, privacy, efficiency, financial NLP tasks, and financial-domain models.",,,not_found,,,,,,,,,,
llm_finance_papers.csv,3,P0,Survey,"A Survey of Large Language Models for Financial Applications: Progress, Prospects and Challenges",Financial Applications Survey,https://arxiv.org/abs/2406.11903,Useful for broad application taxonomy and resource collection.,8663871588271b4f20645fefcc7d25d9bd1547cf,"A Survey of Large Language Models for Financial Applications: Progress, Prospects and Challenges",exact,2024,145,307,arXiv.org,JournalArticle; Review,Yuqi Nie; Yaxuan Kong; Xiaowen Dong; John M. Mulvey; H. Poor; Qingsong Wen; Stefan Zohren,10.48550/arXiv.2406.11903,2406.11903,https://www.semanticscholar.org/paper/8663871588271b4f20645fefcc7d25d9bd1547cf,"Recent advances in large language models (LLMs) have unlocked novel opportunities for machine learning applications in the financial domain. These models have demonstrated remarkable capabilities in understanding context, processing vast amounts of data, and generating human-preferred contents. In this survey, we explore the application of LLMs on various financial tasks, focusing on their potential to transform traditional practices and drive innovation. We provide a discussion of the progress and advantages of LLMs in financial contexts, analyzing their advanced technologies as well as prospective capabilities in contextual understanding, transfer learning flexibility, complex emotion detection, etc. We then highlight this survey for categorizing the existing literature into key application areas, including linguistic tasks, sentiment analysis, financial time series, financial reasoning, agent-based modeling, and other applications. For each application area, we delve into specific methodologies, such as textual analysis, knowledge-based analysis, forecasting, data augmentation, planning, decision support, and simulations. Furthermore, a comprehensive collection of datasets, model assets, and useful codes associated with mainstream applications are presented as resources for the researchers and practitioners. Finally, we outline the challenges and opportunities for future research, particularly emphasizing a number of distinctive aspects in this field. We hope our work can help facilitate the adoption and further development of LLMs in the financial sector."
llm_finance_papers.csv,4,P1,Survey / Investment Decision,The New Quant: A Survey of Large Language Models in Stock Return Prediction and Investment Decision-Making,The New Quant,https://arxiv.org/html/2510.05533v1,Good second-level survey after general financial LLM surveys.,,,not_found,,,,,,,,,,
llm_finance_papers.csv,5,P1,Survey / Trading Agent,Large Language Model Agent in Financial Trading: A Survey,LLM Trading Agent Survey,https://arxiv.org/abs/2408.06361,Especially relevant for agentic trading systems.,6abfd5d2f175760f596ea56ee62b856bbb5beb9b,Large Language Model Agent in Financial Trading: A Survey,exact,2024,66,57,arXiv.org,JournalArticle; Review,Han Ding; Yinheng Li; Junhao Wang; Hang Chen,10.48550/arXiv.2408.06361,2408.06361,https://www.semanticscholar.org/paper/6abfd5d2f175760f596ea56ee62b856bbb5beb9b,"Trading is a highly competitive task that requires a combination of strategy, knowledge, and psychological fortitude. With the recent success of large language models(LLMs), it is appealing to apply the emerging intelligence of LLM agents in this competitive arena and understanding if they can outperform professional traders. In this survey, we provide a comprehensive review of the current research on using LLMs as agents in financial trading. We summarize the common architecture used in the agent, the data inputs, and the performance of LLM trading agents in backtesting as well as the challenges presented in these research. This survey aims to provide insights into the current state of LLM-based financial trading agents and outline future research directions in this field."
llm_finance_papers.csv,6,P1,Survey / Quantitative Investment,From Deep Learning to Large Language Models: A Survey of Artificial Intelligence in Quantitative Investment,AI in Quant Investment Survey,https://arxiv.org/html/2503.21422v1,"Bridges deep learning, alpha strategy, and LLM-based investing.",,,not_found,,,,,,,,,,
llm_finance_papers.csv,7,P2,Survey,"Bridging Language Models and Financial Analysis: A Survey of Datasets, Models, and Applications",Bridging LMs and Financial Analysis,https://arxiv.org/html/2503.22693,"Useful for synthesis across data, models, and applications.",6a2518184428f1e5c70507ec6403d95e31d89f9d,SHADES: Towards a Multilingual Assessment of Stereotypes in Large Language Models,low_confidence_top_result,2025,16,72,North American Chapter of the Association for Computational Linguistics,JournalArticle; Conference,Margaret Mitchell; Hamdan Hamid Al-Ali; Giuseppe Attanasio; Ioana Baldini; Miruna Clinciu; Jordan Clive; Pieter Delobelle; Manan Dey; Kaustubh D. Dhole; Timm Dill; Amirbek Djanibekov; Tair Djanibekov; Jad Doughman; Ritam Dutt; Jessica Zosa Forde; Jay Gala; Avijit Ghosh; Sil Hamilton; Carolin Holtermann; Jerry Huang; Lucie-Aimée Kaffee; Janavi Kasera; Tanmay Laud; Anne Lauscher; Roberto Luis López; Jonibek Mansurov; Maraim Masoud; Sagnik Mukherjee; Nurdaulet Mukhituly; Nikita Nangia; Shangrui Nie; Anaelia Ovalle; Giada Pistilli; Esther Ploeger; Jeremy Qin; Dragomir R. Radev; Vipul Raheja; Beatrice Savoldi; S. Sharma; Xudong Shen; Karolina Stańczak; Arjun Subramonian; Kaiser Sun; Eliza Szczechla; T. Torrent; D. Tunuguntla; Emilio Villa-Cueva; Marcelo Viridiano; Oskar van der Wal; Adina Yakefu; Kayo Yin; Mike Zhang; S. Zink; A. Névéol; Zeerak Talat; Grammarly; Fondazione Bruno; Kessler; Google; Jesse Dodge; Maarten Sap; Ana Marasovi´c; William Agnew; Gabriel Ilharco; Dirk Groeneveld; Matt Gardner; Kar¨en Fort; L. A. Alemany; Luciana Benotti; Julien Bezançon; Claudia Borg; Marthese Borg; Yongjian Chen; Fanny Ducel; Yoann Dupont; Guido Ivetta; Zhijian Li; Margot Mieskes; M. Naguib; Yuyan Qian; Matteo Radaelli; Wolfgang S. Schmeisser-Nieto; E. Schulz; Thiziri Saci; Sarah Saidi; Javier Torroba Marchante; Shilin Xie; Sergio E. Zanotto; Deep Ganguli; Liane Lovitt; John Kernion; Amanda Askell; Yuntao Bai; Saurav Kadavath; Benjamin Mann; Ethan Perez; Nicholas Schiefer; Kamal Ndousse; Andy Jones; Sam Bowman; Anna Chen; Tom Con-erly; Nova Dassarma; Dawn Drain; Nelson Elhage Sheer; Stanislav Fort; Zac Hatfield-Dodds; T. Henighan; Danny Hernandez; Tristan Hume; Josh Jacobson; Scott Johnston; Shauna Kravec; Catherine Olsson; Sam Ringer; Eli Tran-Johnson; Dario Amodei; Tom Brown; Nicholas Joseph; Sam McCandlish; Chris Olah; Jared Kaplan; Aaron Grattafiori; Abhimanyu Dubey; Abhinav Jauhri; Abhinav Pandey; Abhishek Kadian; Ahmad Al-Dahle; Aiesha Letman; Akhil Mathur; Alan Schel-ten; Alex Vaughan; Amy Yang; Angela Fan; Anirudh Goyal; A. Hartshorn; Aobo Yang; A. Mitra; A. Sravankumar; A. Korenev; Arthur Hinsvark; Arun Rao; Aston Zhang; Aurelien Ro-driguez; Austen Gregerson; Ava Spataru; Baptiste Rozière; B. Biron; Binh Tang; Bobbie Chern; Charlotte Caucheteux; Chaya Nayak; Chloe Bi; Chris Marra; Chris McConnell; Christian Keller; C. Touret; Chunyang Wu; C. Wong; Cristian Canton Ferrer; Cyrus Nikolaidis; Damien Al-lonsius; D. Song; D. Pintz; D. Livshits; Danny Wyatt; David Esiobu; Dhruv Choudhary; Dhruv Mahajan; Diego Garcia-Olano; Diego Perino; Dieuwke Hupkes; Egor Lakomkin; Ehab A. AlBadawy; E. Lobanova; Emily Dinan; E. Smith; Filip Radenovic; Francisco Guzmán; Frank Zhang; Gabriel Synnaeve; Gabrielle Lee; G. Lewis; Govind Thattai; G. Nail; Grégoire Mi-alon; Guan Pang; Guillem Cucurell; Hailey Nguyen; Han-nah Korevaar; Hu Xu; Hugo Touvron; Imanol Arrieta Zarov; I. Ibarra; Is-han Kloumann; Ivan Misra; Jack Evtimov; Jade Zhang; Copet Jaewon; Jan Lee; Jan Geffert; Jason Vranes; Park Jay; Jeet Mahadeokar; Jelmer Shah; van der Linde Jennifer; J. Billock; Jenya Hong; Jeremy Lee; Jianfeng Fu; J. Chi; Jiawen Huang; Jie Liu; Jie Wang; Joanna Yu; Joe Bitton; Jongsoo Spisak; Park Joseph; Joshua Rocca; J. Johnstun; Jun-teng Saxe; Kalyan Vasuden Jia; Karthik Alwala; Prasad Kartikeya; Kate Upasani; Ke Plawiak; Kenneth Li; Kevin Heafield; Khalid Stone; Krithika El-Arini; Iyer Kshitiz; Kuenley Malik; Kunal Chiu; K. Bhalla; Lauren Lakhotia; Lauren Rantala-Yeary; L. van der Maaten; Liang Chen; Liz Tan; Jenkins Louis; L. Martin; Lubo Madaan; Lukas Malo; Lukas Blecher; Lukas Landzaat; Madeline de Oliveira; Mahesh Muzzi; Mannat Pasupuleti; Manohar Singh; Marcin Paluri; Mara Kardas; Mathew Tsimpoukelli; Mathieu Oldham; Maya Rita; Melanie Pavlova; Mike Kam-badur; Min Lewis; Mitesh Kumar Si; Singh Mona; Naman Hassan; N. Goyal; Niko-lay Torabi; Niko-lay Bashlykov; Niladri Bogoychev; Chatterji Ning; Olivier Zhang; Onur Duchenne; Patrick Çelebi; Pengchuan Alrassy; Pengwei Zhang; P. Li; Peter Weng; Prajjwal Bhargava; P. Dubal; Punit Praveen Krishnan; S. Koura; Puxin Xu; Q. He; Qingxiao Dong; R. Srinivasan; R. Ganapathy; Ramon Calderer; Ricardo Silveira Cabral; Robert Stojnic; R. Raileanu; R. Maheswari; Rohit Girdhar; Rohit Patel; Romain Sauvestre; Ron-nie Polidoro; Roshan Sumbaly; Ross Taylor; Ruan Silva; R. Hou; Rui Wang; S. Hosseini; Sa-hana Chennabasappa; Sanjay Singh; Sean Bell; Seo-hyun Sonia Kim; Sergey Edunov; Shaoliang Nie; Sharan Narang; S. Raparthy; Sheng Shen; Shengye Wan; Shruti Bhosale; Shun Zhang; Simon Van-denhende; Soumya Batra; Spencer Whitman; Sten Sootla; S. Collot; Suchin Gururangan; S. Borodinsky; Tamar Herman; T. Fowler; Tarek Sheasha; Thomas Georgiou; Thomas Scialom; Tobias Speckbacher; Todor Mihaylov; Tong Xiao; Ujjwal Karn; Vedanuj Goswami; Vibhor Gupta; Vignesh Ramanathan; Viktor Kerkez; Vincent Gonguet; Virginie Do; Vish Vogeti; Vítor Albiero; Vladan Petro-vic; Weiwei Chu; Wenhan Xiong; Wenyin Fu; Yasmine Gaur; Y. Babaei; Wen Yiwen; Yuchen Song; Yue Zhang; Yuning Li; Mao Zacharie Delpierre; Zheng Coudert; Zheng Yan; Zoe Chen; Aaditya Papakipos; Aayushi Singh; Abha Sri-vastava; A. Jain; A. Kelsey; S. Adithya; Adolfo Gangidi; Ahuva Victoria; G. Ajay; A. Menon; Alex Sharma; Alex Boesenberg; Allie Baevski; Amanda Feinstein; Amit Kallet; Amos San-gani; Anam Teo; Andrei Yunus; An-drei Lupu; Andrew Alvarado; A. Caples; Andrew Gu; Andrew Ho; Andrew Poulton; A. Ryan; Annie Dong; Annie Franco; Anuj Goyal; Apara-jita Saraf; Arkabandhu Chowdhury; Ashley Gabriel; Ashwin Bharambe; Assaf Eisenman; Azadeh Yaz-dan; Beau James; Ben Maurer; B. Leonhardi; Bernie Huang; Beth Loyd; Beto de Paola; Bhargavi Paranjape; Bing Liu; Bo Wu; B. Ni; Braden Han-cock; Bram Wasti; Brandon Spence; B. Stojkovic; Brian Gamido; Britt Montalvo; Carl Parker; Carly Burton; Catalina Mejia; Ce Liu; Changhan Wang; Changkyu Kim; Chao Zhou; Chester Hu; Ching-Hsiang Chu; Chris Cai; Chris Tindal; Christoph Fe-ichtenhofer; Cynthia Gao; Damon Civin; D. Beaty; Elaine Montgomery; Eleonora Presani; Emily Hahn; Emily Wood; Eric-Tuan Le; Erik Brinkman; E. Arcaute; Evan Dunbar; Evan Smothers; Fei Sun; F. Kreuk; Feng Tian; Filippos Kokkinos; Firat Ozgenel; Francesco Caggioni; Frank J. Kanayet; Frank Seide; Gabriela Medina Florez; Gabriella Schwarz; Gada Badeer; Georgia Swee; Gil Halpern; Grant Herman; Grigory Sizov; Guangyi; Guna Zhang; Hakan Lakshminarayanan; Hamid Inan; Han Shojanaz-eri; Han Zou; Hanwen Wang; Haroun Zha; Harrison Habeeb; Helen Rudolph; H. Suk; Hunter As-pegren; Hongyuan Goldman; I. Zhan; Igor Damlaj; Igor Molybog; Ilias Tufanov; Leontiadis; J. Chan; Jenny Zhen; J. Reizenstein; J. Teboul; J. Zhong; Jian Jin; Jingyi Yang; Joe Cummings; J. Carvill; Jon Shepard; Jonathan Mc-Phie; J. Torres; Josh Ginsburg; Junjie Wang; Kai Wu; Kam Hou; Karan Saxena; Kartikay Khan-delwal; Katayoun Zand; Kathy Matosich; K. Veeraraghavan; Kelly Michelena; Keqian Li; K. Jagadeesh; Kun Huang; Kunal Chawla; Kyle Huang; Lailin Chen; Lavender A Lakshya Garg; Leandro Silva; Lee Bell; Lei Zhang; Liangpeng Guo; Licheng Yu; Liron Moshkovich; Luca Wehrst-edt; Madian Khabsa; Manav Avalani; M. Bhatt; Martynas Mankus; Matan Hasson; M. Lennie; Matthias Reso; M. Groshev; M. Naumov; Maya Lathi; Meghan Keneally,10.18653/v1/2025.naacl-long.600,,https://www.semanticscholar.org/paper/6a2518184428f1e5c70507ec6403d95e31d89f9d,"Large Language Models (LLMs), the bedrock of many “artificial intelligence” (AI) applications, are known to reproduce social biases present in their training data. Yet resources to measure and control this issue are limited. Research identifying and mitigating stereotype biases have primarily been concentrated around English, lagging the rapid advancement of LLMs in multilingual settings. To help further advance the ability to address stereotype bias in AI systems, we introduce a new multi-lingual dataset: SHADES . 1 Designed for examining culturally-specific stereotypes that may be learned by LLMs, SHADES includes over 300 stereotypes from 37 regions, translated across 16 languages and annotated with multiple features to aid multilingual stereotype analysis. All statements in all languages are paired with templates, to serve as a resource for unlimited"
llm_finance_papers.csv,8,P0,Financial LLM / Domain Pretraining,BloombergGPT: A Large Language Model for Finance,BloombergGPT,https://arxiv.org/abs/2303.17564,50B-parameter model trained on financial and general-purpose corpora.,83edcfbb206ddad38a971d605da09390604248ea,BloombergGPT: A Large Language Model for Finance,exact,2023,1294,138,arXiv.org,JournalArticle,Shijie Wu; Ozan Irsoy; Steven Lu; Vadim Dabravolski; Mark Dredze; Sebastian Gehrmann; P. Kambadur; David Stuart Rosenberg; Gideon Mann,,2303.17564,https://www.semanticscholar.org/paper/83edcfbb206ddad38a971d605da09390604248ea,"The use of NLP in the realm of financial technology is broad and complex, with applications ranging from sentiment analysis and named entity recognition to question answering. Large Language Models (LLMs) have been shown to be effective on a variety of tasks; however, no LLM specialized for the financial domain has been reported in literature. In this work, we present BloombergGPT, a 50 billion parameter language model that is trained on a wide range of financial data. We construct a 363 billion token dataset based on Bloomberg's extensive data sources, perhaps the largest domain-specific dataset yet, augmented with 345 billion tokens from general purpose datasets. We validate BloombergGPT on standard LLM benchmarks, open financial benchmarks, and a suite of internal benchmarks that most accurately reflect our intended usage. Our mixed dataset training leads to a model that outperforms existing models on financial tasks by significant margins without sacrificing performance on general LLM benchmarks. Additionally, we explain our modeling choices, training process, and evaluation methodology. We release Training Chronicles (Appendix C) detailing our experience in training BloombergGPT."
llm_finance_papers.csv,9,P0,Financial LLM / Open Source,FinGPT: Open-Source Financial Large Language Models,FinGPT,https://arxiv.org/abs/2306.06031,Emphasizes data-centric pipelines and Low-Rank Adaptation fine-tuning.,5dea206e2a36e672f197252bdd27d156d058f48c,FinGPT: Open-Source Financial Large Language Models,exact,2023,380,30,Social Science Research Network,JournalArticle,Hongyang Yang; Xiao-Yang Liu; Chris Wang,10.48550/arXiv.2306.06031,2306.06031,https://www.semanticscholar.org/paper/5dea206e2a36e672f197252bdd27d156d058f48c,"Large language models (LLMs) have shown the potential of revolutionizing natural language processing tasks in diverse domains, sparking great interest in finance. Accessing high-quality financial data is the first challenge for financial LLMs (FinLLMs). While proprietary models like BloombergGPT have taken advantage of their unique data accumulation, such privileged access calls for an open-source alternative to democratize Internet-scale financial data. In this paper, we present an open-source large language model, FinGPT, for the finance sector. Unlike proprietary models, FinGPT takes a data-centric approach, providing researchers and practitioners with accessible and transparent resources to develop their FinLLMs. We highlight the importance of an automatic data curation pipeline and the lightweight low-rank adaptation technique in building FinGPT. Furthermore, we showcase several potential applications as stepping stones for users, such as robo-advising, algorithmic trading, and low-code development. Through collaborative efforts within the open-source AI4Finance community, FinGPT aims to stimulate innovation, democratize FinLLMs, and unlock new opportunities in open finance. Two associated code repos are https://github.com/AI4Finance-Foundation/FinGPT and https://github.com/AI4Finance-Foundation/FinNLP"
llm_finance_papers.csv,10,P0,Financial LLM / Benchmark,"PIXIU: A Large Language Model, Instruction Data and Evaluation Benchmark for Finance",PIXIU / FinMA,https://arxiv.org/abs/2306.05443,Important open-source financial LLM ecosystem paper.,109929be7890ef982fb3b6be0d78609cfab1ea13,"PIXIU: A Large Language Model, Instruction Data and Evaluation Benchmark for Finance",exact,2023,268,50,arXiv.org,JournalArticle,Qianqian Xie; Weiguang Han; Xiao Zhang; Yanzhao Lai; Min Peng; Alejandro Lopez-Lira; Jimin Huang,10.48550/arXiv.2306.05443,2306.05443,https://www.semanticscholar.org/paper/109929be7890ef982fb3b6be0d78609cfab1ea13,"Although large language models (LLMs) has shown great performance on natural language processing (NLP) in the financial domain, there are no publicly available financial tailtored LLMs, instruction tuning datasets, and evaluation benchmarks, which is critical for continually pushing forward the open-source development of financial artificial intelligence (AI). This paper introduces PIXIU, a comprehensive framework including the first financial LLM based on fine-tuning LLaMA with instruction data, the first instruction data with 136K data samples to support the fine-tuning, and an evaluation benchmark with 5 tasks and 9 datasets. We first construct the large-scale multi-task instruction data considering a variety of financial tasks, financial document types, and financial data modalities. We then propose a financial LLM called FinMA by fine-tuning LLaMA with the constructed dataset to be able to follow instructions for various financial tasks. To support the evaluation of financial LLMs, we propose a standardized benchmark that covers a set of critical financial tasks, including five financial NLP tasks and one financial prediction task. With this benchmark, we conduct a detailed analysis of FinMA and several existing LLMs, uncovering their strengths and weaknesses in handling critical financial tasks. The model, datasets, benchmark, and experimental results are open-sourced to facilitate future research in financial AI."
