selected_rank,importance,theme,subtheme,selection_reason,paperId,title,year,citationCount,seed_overlap_count,relevance_score,relation_summary,source_seed_titles,query_ids,focus_areas,url,doi,arxiv,venue,authors,abstract
1,Important,"Policymaking, Governance, and Institutional Decision Support",Policy translation and policy brief generation,Critique accepted as Important because it directly tests AI-generated briefing notes with senior public-service evaluators.,22b39e38e2fd52591ca23904b474eb19dc17b610,"The End of the Policy Analyst? Testing the Capability of Artificial Intelligence to Generate Plausible, Persuasive, and Useful Policy Analysis",2023,27,,,,,workflow-001; workflow-002,"Policymaking, Governance, and Institutional Decision Support",https://www.semanticscholar.org/paper/22b39e38e2fd52591ca23904b474eb19dc17b610,10.1145/3604570,,Digit. Gov. Res. Pract.,Mehrdad Safaei; J. Longo,"Policy advising in government centers on the analysis of public problems and the developing of recommendations for dealing with them. In carrying out this work, policy analysts consult a variety of sources and work to synthesize that body of evidence into useful decision support documents commonly called briefing notes. Advances in natural language processing (NLP) have led to the continuing development of tools that can undertake a similar task. Given a brief prompt, a large language model (LLM) can synthesize information in content databases. This article documents the findings from an experiment that tested whether contemporary NLP technology is capable of producing public policy relevant briefing notes that expert evaluators judge to be useful. The research involved two stages. First, briefing notes were created using three models: NLP generated; human generated; and NLP generated/human edited. Next, two panels of retired senior public servants (with only one panel informed of the use of NLP in the experiment) were asked to judge the briefing notes using a heuristic evaluation rubric. The findings indicate that contemporary NLP tools were not able to, on their own, generate useful policy briefings. However, the feedback from the expert evaluators indicates that automatically generated briefing notes might serve as a useful supplement to the work of human policy analysts. And the speed with which the capabilities of NLP tools are developing, supplemented with access to a larger corpus of previously prepared policy briefings and other policy-relevant material, suggests that the quality of automatically generated briefings may improve significantly in the coming years. The article concludes with reflections on what such improvements might mean for the future practice of policy analysis."
2,Important,"Policymaking, Governance, and Institutional Decision Support",Public-sector decision support and institutional workflow,Critique accepted as Important public-sector evidence on automation bias and selective adherence to algorithmic advice.,6ad001313456f0bd4ddf7acde97cfe6911da0e7f,"Human-AI Interactions in Public Sector Decision-Making:""Automation Bias""and""Selective Adherence""to Algorithmic Advice",2021,256,,,,,workflow-004,"Policymaking, Governance, and Institutional Decision Support",https://www.semanticscholar.org/paper/6ad001313456f0bd4ddf7acde97cfe6911da0e7f,10.1093/jopart/muac007,2103.02381,,Saar Alon-Barkat; M. Busuioc,"Artificial intelligence algorithms are increasingly adopted as decisional aides by public bodies, with the promise of overcoming biases of human decision-makers. At the same time, they may introduce new biases in the human–algorithm interaction. Drawing on psychology and public administration literatures, we investigate two key biases: overreliance on algorithmic advice even in the face of “warning signals” from other sources ( automation bias ), and selective adoption of algorithmic advice when this corresponds to stereotypes ( selective adherence ). We assess these via three experimental studies conducted in the Netherlands: In study 1 ( N = 605), we test automation bias by exploring participants’ adherence to an algorithmic prediction compared to an equivalent human-expert prediction. We do not find evidence for automation bias. In study 2 ( N = 904), we replicate these findings, and also test selective adherence . We find a stronger propensity for adherence when the advice is aligned with group stereotypes, with no significant differences between algorithmic and human-expert advice. In study 3 ( N = 1,345), we replicate our design with a sample of civil servants. This study was conducted shortly after a major scandal involving public authorities’ reliance on an algorithm with discriminatory outcomes (the “childcare benefits scandal”). The scandal is itself illustrative of our theory and patterns diagnosed empirically in our experiment, yet in our study 3, while supporting our prior findings as to automation bias, we do not find patterns of selective adherence. We suggest this is driven by bureaucrats’ enhanced awareness of discrimination and algorithmic biases in the aftermath of the scandal. We discuss the implications of our findings for public sector decision making in the age of automation. Overall, our study speaks to potential negative effects of automation of the administrative state for already vulnerable and disadvantaged citizens."
3,Curated,"Foundations, Surveys, and Methods","Evaluation, validity, and contamination","Broad LLM-assisted decision-making review retained as curated support for human-LLM decision design, not promoted because it is generic.",550676250271276becf5a400f072241daf734f4f,Determinants of LLM-assisted Decision-Making,2024,108,,,,,workflow-002,"Policymaking, Governance, and Institutional Decision Support",https://www.semanticscholar.org/paper/550676250271276becf5a400f072241daf734f4f,10.48550/arXiv.2402.17385,2402.17385,arXiv.org,E. Eigner; Thorsten Händler,"Decision-making is a fundamental capability in everyday life. Large Language Models (LLMs) provide multifaceted support in enhancing human decision-making processes. However, understanding the influencing factors of LLM-assisted decision-making is crucial for enabling individuals to utilize LLM-provided advantages and minimize associated risks in order to make more informed and better decisions. This study presents the results of a comprehensive literature analysis, providing a structural overview and detailed analysis of determinants impacting decision-making with LLM support. In particular, we explore the effects of technological aspects of LLMs, including transparency and prompt engineering, psychological factors such as emotions and decision-making styles, as well as decision-specific determinants such as task difficulty and accountability. In addition, the impact of the determinants on the decision-making process is illustrated via multiple application scenarios. Drawing from our analysis, we develop a dependency framework that systematizes possible interactions in terms of reciprocal interdependencies between these determinants. Our research reveals that, due to the multifaceted interactions with various determinants, factors such as trust in or reliance on LLMs, the user's mental model, and the characteristics of information processing are identified as significant aspects influencing LLM-assisted decision-making processes. Our findings can be seen as crucial for improving decision quality in human-AI collaboration, empowering both users and organizations, and designing more effective LLM interfaces. Additionally, our work provides a foundation for future empirical investigations on the determinants of decision-making assisted by LLMs."
4,Important,"Policymaking, Governance, and Institutional Decision Support",Public-sector decision support and institutional workflow,Critique accepted as Important because it studies policy-useful LLM simulation through emergency-preparedness engagement.,c65e057b8d3d1fbf3d1b5e67a5fa9de9d739c10e,What Makes LLM Agent Simulations Useful for Policy? Insights From an Iterative Design Engagement in Emergency Preparedness,2025,8,1,32.77,reference:1,WhatIf: Interactive Exploration of LLM-Powered Social Simulations for Policy Reasoning,,,https://www.semanticscholar.org/paper/c65e057b8d3d1fbf3d1b5e67a5fa9de9d739c10e,10.48550/arXiv.2509.21868,,arXiv.org,Yuxuan Li; Sauvik Das; Hirokazu Shirado,
5,Curated,"Policymaking, Governance, and Institutional Decision Support",Public-sector decision support and institutional workflow,Public-sector policing decision-support paper retained as curated HCI and stakeholder evidence.,34ff3baeb735ccf2e8df86572c421ca43e67c696,Are We Asking the Right Questions?: Designing for Community Stakeholders’ Interactions with AI in Policing,2024,27,1,26.44,reference:1,"The LLM Effect: Are Humans Truly Using LLMs, or Are They Being Influenced By Them Instead?",,,https://www.semanticscholar.org/paper/34ff3baeb735ccf2e8df86572c421ca43e67c696,10.1145/3613904.3642738,2402.05348,International Conference on Human Factors in Computing Systems,Md. Romael Haque; Devansh Saxena; Katy Weathington; Joseph Chudzik; Shion Guha,"Research into recidivism risk prediction in the criminal justice system has garnered significant attention from HCI, critical algorithm studies, and the emerging field of human-AI decision-making. This study focuses on algorithmic crime mapping, a prevalent yet underexplored form of algorithmic decision support (ADS) in this context. We conducted experiments and follow-up interviews with 60 participants, including community members, technical experts, and law enforcement agents (LEAs), to explore how lived experiences, technical knowledge, and domain expertise shape interactions with the ADS, impacting human-AI decision-making. Surprisingly, we found that domain experts (LEAs) often exhibited anchoring bias, readily accepting and engaging with the first crime map presented to them. Conversely, community members and technical experts were more inclined to engage with the tool, adjust controls, and generate different maps. Our findings highlight that all three stakeholders were able to provide critical feedback regarding AI design and use - community members questioned the core motivation of the tool, technical experts drew attention to the elastic nature of data science practice, and LEAs suggested redesign pathways such that the tool could complement their domain expertise."
6,Curated,"Foundations, Surveys, and Methods",Social simulation and agent-based modeling reviews,Classic public-policy and organizational simulation background retained as curated foundation material.,0aedf8c3a48d450462d6d1b4f204f4088e1f02f8,Agent-based modeling as organizational and public policy simulators,2002,181,1,26.3,reference:1,WhatIf: Interactive Exploration of LLM-Powered Social Simulations for Policy Reasoning,,,https://www.semanticscholar.org/paper/0aedf8c3a48d450462d6d1b4f204f4088e1f02f8,10.1073/PNAS.072079399,,Proceedings of the National Academy of Sciences of the United States of America,R. Lempert,
7,Curated,Political Science and Strategic Judgment Foundations,Policy analysis and decision-making under deep uncertainty,Deep-uncertainty decision-making foundation for policy workflows and LLM-supported planning.,82ad55fe8d7e7c9b66575e048fbad1767f09b2bb,Decision Making under Deep Uncertainty: From Theory to Practice,2019,295,1,24.36,reference:1,WhatIf: Interactive Exploration of LLM-Powered Social Simulations for Policy Reasoning,,,https://www.semanticscholar.org/paper/82ad55fe8d7e7c9b66575e048fbad1767f09b2bb,,,,V. Marchau; W. Walker; P. Bloemen; S. Popper,
8,Curated,"Policymaking, Governance, and Institutional Decision Support",Public-sector decision support and institutional workflow,Policy-support ABM methodology retained as background for policy-facing simulation design.,001b11109c20e2cdf66f7c67e88bc5330491e510,A Methodology to Develop Agent-Based Models for Policy Support Via Qualitative Inquiry,2023,18,1,23.79,reference:1,WhatIf: Interactive Exploration of LLM-Powered Social Simulations for Policy Reasoning,,,https://www.semanticscholar.org/paper/001b11109c20e2cdf66f7c67e88bc5330491e510,10.18564/jasss.5014,,Journal of Artificial Societies and Social Simulation,V. Nespeca; T. Comes; F. Brazier,": Qualitativeresearchisapowerfulmeanstocapturehumaninteractionsandbehavior. Althoughthere are different methodologies to develop models based on qualitative research, a methodology is missing that enables to strike a balance between the comparability across cases provided by methodologies that rely on a common and context-independent framework and the flexibility to study any policy problem provided by methodologies that focus on capturing a case study without relying on a common framework. Additionally, a rigorous methodology is missing that enables the development of both theoretical and empirical models for supporting policy formulation and evaluation with respect to a specific policy problem. In this article, the authors propose a methodology targeting these gaps for ABMs in two stages. First, a novel conceptual framework centered on a particular policy problem is developed based on existing theories and qualitative insights from one or more case studies. Second, empirical or theoretical ABMs are developed based on the conceptual framework and generic models. This methodology is illustrated by an example application for disaster information management in Jakarta, resulting in an empirical descriptive agent-based model."
9,Important,"Policymaking, Governance, and Institutional Decision Support",Policy translation and policy brief generation,Critique accepted as Important because it directly compares conversational AI and human expertise in briefing-note writing.,883be2ffec2fcb09f0854af0386a98196efc587c,Automating public policy: a comparative study of conversational artificial intelligence models and human expertise in crafting briefing notes,2024,2,,,,,workflow-004,"Policymaking, Governance, and Institutional Decision Support",https://www.semanticscholar.org/paper/883be2ffec2fcb09f0854af0386a98196efc587c,10.1007/s00146-024-02103-x,,Ai & Society,Stany Nzobonimpa; Jean-François Savard; Isabelle Caron; J. Lawarée,
10,Curated,"Policymaking, Governance, and Institutional Decision Support",Public-sector decision support and institutional workflow,Institutional-theory framework for LLM policy analysis and intervention design; relevant but framework-heavy.,a308f7b920098e579d19bcb16802e42729a45156,An Institutional Theory Framework for Leveraging Large Language Models for Policy Analysis and Intervention Design,2025,6,,,,,workflow-002,"Policymaking, Governance, and Institutional Decision Support",https://www.semanticscholar.org/paper/a308f7b920098e579d19bcb16802e42729a45156,10.3390/fi17030096,,Future Internet,J. Curtò; I. D. Zarzà; Leandro Sebastián Fervier; Victoria Sanagustín-Fons; C. Calafate,"This study proposes a comprehensive framework for integrating data-driven approaches into policy analysis and intervention strategies. The methodology is structured around five critical components: data collection, historical analysis, policy impact assessment, predictive modeling, and intervention design. Leveraging data-driven approaches capabilities, the line of work enables advanced multilingual data processing, advanced statistics in population trends, evaluation of policy outcomes, and the development of evidence-based interventions. A key focus is on the theoretical integration of social order mechanisms, including communication modes as institutional structures, token optimization as an efficiency mechanism, and institutional memory adaptation. A mixed methods approach was used that included sophisticated visualization techniques and use cases in the hospitality sector, in global food security, and in educational development. The framework demonstrates its capacity to inform government and industry policies by leveraging statistics, visualization, and AI-driven decision support. We introduce the concept of “institutional intelligence”—the synergistic integration of human expertise, AI capabilities, and institutional theory—to create adaptive yet stable policy-making systems. This research highlights the transformative potential of data-driven approaches combined with large language models in supporting sustainable and inclusive policy-making processes."
