selected_rank,importance,theme,subtheme,selection_reason,paperId,title,year,citationCount,seed_overlap_count,relevance_score,relation_summary,source_seed_titles,query_ids,focus_areas,url,doi,arxiv,venue,authors,abstract
1,Important,"Forecasting, Geopolitical Risk, and Foresight",Forecasting performance and aggregation,Critique accepted as Important because it is a strong human-plus-LLM forecasting experiment with nontrivial citation signal.,38472e4242e0aa632ed594c3b0ed9c0bd6429c41,AI-Augmented Predictions: LLM Assistants Improve Human Forecasting Accuracy,2024,43,1,43.42,reference:1,ForecastBench: A Dynamic Benchmark of AI Forecasting Capabilities,,,https://www.semanticscholar.org/paper/38472e4242e0aa632ed594c3b0ed9c0bd6429c41,10.1145/3707649,2402.07862,ACM Trans. Interact. Intell. Syst.,P. Schoenegger; P. S. Park; Ezra Karger; Sean Trott; P. Tetlock,"Large language models (LLMs) match and sometimes exceed human performance in many domains. This study explores the potential of LLMs to augment human judgment in a forecasting task. We evaluate the effect on human forecasters of two LLM assistants: one designed to provide high-quality (“superforecasting”) advice, and the other designed to be overconfident and base-rate neglecting, thus providing noisy forecasting advice. We compare participants using these assistants to a control group that received a less advanced model that did not provide numerical predictions or engage in explicit discussion of predictions. Participants (N \(=\) 991) answered a set of six forecasting questions and had the option to consult their assigned LLM assistant throughout. Our preregistered analyses show that interacting with each of our frontier LLM assistants significantly enhances prediction accuracy by between 24% and 28% compared to the control group. Exploratory analyses showed a pronounced outlier effect in one forecasting item, without which we find that the superforecasting assistant increased accuracy by 41%, compared with 29% for the noisy assistant. We further examine whether LLM forecasting augmentation disproportionately benefits less skilled forecasters, degrades the wisdom-of-the-crowd by reducing prediction diversity, or varies in effectiveness with question difficulty. Our data do not consistently support these hypotheses. Our results suggest that access to a frontier LLM assistant, even a noisy one, can be a helpful decision aid in cognitively demanding tasks compared to a less powerful model that does not provide specific forecasting advice. However, the effects of outliers suggest that further research into the robustness of this pattern is needed."
2,Important,"Forecasting, Geopolitical Risk, and Foresight",Geopolitical event prediction systems,Critique accepted as Important because it is an ICLR world-event prediction paper tied to text-based forecasting.,e0605eaba26fee093d972cc667770912c8d2eec9,AutoCast++: Enhancing World Event Prediction with Zero-shot Ranking-based Context Retrieval,2023,15,1,39.42,reference:1,ForecastBench: A Dynamic Benchmark of AI Forecasting Capabilities,,,https://www.semanticscholar.org/paper/e0605eaba26fee093d972cc667770912c8d2eec9,10.48550/arXiv.2310.01880,2310.01880,International Conference on Learning Representations,Qi Yan; Raihan Seraj; Jiawei He; Li Meng; Tristan Sylvain,"Machine-based prediction of real-world events is garnering attention due to its potential for informed decision-making. Whereas traditional forecasting predominantly hinges on structured data like time-series, recent breakthroughs in language models enable predictions using unstructured text. In particular, (Zou et al., 2022) unveils AutoCast, a new benchmark that employs news articles for answering forecasting queries. Nevertheless, existing methods still trail behind human performance. The cornerstone of accurate forecasting, we argue, lies in identifying a concise, yet rich subset of news snippets from a vast corpus. With this motivation, we introduce AutoCast++, a zero-shot ranking-based context retrieval system, tailored to sift through expansive news document collections for event forecasting. Our approach first re-ranks articles based on zero-shot question-passage relevance, honing in on semantically pertinent news. Following this, the chosen articles are subjected to zero-shot summarization to attain succinct context. Leveraging a pre-trained language model, we conduct both the relevance evaluation and article summarization without needing domain-specific training. Notably, recent articles can sometimes be at odds with preceding ones due to new facts or unanticipated incidents, leading to fluctuating temporal dynamics. To tackle this, our re-ranking mechanism gives preference to more recent articles, and we further regularize the multi-passage representation learning to align with human forecaster responses made on different dates. Empirical results underscore marked improvements across multiple metrics, improving the performance for multiple-choice questions (MCQ) by 48% and true/false (TF) questions by up to 8%. Code is available at https://github.com/BorealisAI/Autocast-plus-plus."
3,Curated,"Forecasting, Geopolitical Risk, and Foresight",Forecasting benchmarks and datasets,Benchmark infrastructure for generating and resolving diverse real-world forecasting questions.,4a4f53d54e1b284592c3a97c2a1648b834b36231,Automating Forecasting Question Generation and Resolution for AI Evaluation,2026,1,1,43.31,citation:1,ForecastBench: A Dynamic Benchmark of AI Forecasting Capabilities,,,https://www.semanticscholar.org/paper/4a4f53d54e1b284592c3a97c2a1648b834b36231,10.48550/arXiv.2601.22444,2601.22444,arXiv.org,Nikos I. Bosse; Peter Mühlbacher; Jack Wildman; Lawrence Phillips; Dan Schwarz,"Forecasting future events is highly valuable in decision-making and is a robust measure of general intelligence. As forecasting is probabilistic, developing and evaluating AI forecasters requires generating large numbers of diverse and difficult questions, and accurately resolving them. Previous efforts to automate this laborious work relied on recurring data sources (e.g., weather, stocks), limiting diversity and utility. In this work, we present a system for generating and resolving high-quality forecasting questions automatically and at scale using LLM-powered web research agents. We use this system to generate 1499 diverse, real-world forecasting questions, and to resolve them several months later. We estimate that our system produces verifiable, unambiguous questions approximately 96% of the time, exceeding the rate of Metaculus, a leading human-curated forecasting platform. We also find that our system resolves questions at approximately 95% accuracy. We verify that forecasting agents powered by more intelligent LLMs perform better on these questions (Brier score of 0.134 for Gemini 3 Pro, 0.149 for GPT-5, and 0.179 for Gemini 2.5 Flash). Finally, we demonstrate how our system can be leveraged to directly improve forecasting, by evaluating a question decomposition strategy on a generated question set, yielding a significant improvement in Brier scores (0.132 vs. 0.141)."
4,Curated,"Forecasting, Geopolitical Risk, and Foresight",Forecasting benchmarks and datasets,Future-event forecasting benchmark that screens whether questions are inferable from supporting evidence.,dfdbe546389eade0e4b161363d7c71385beaa48a,PROPHET: An Inferable Future Forecasting Benchmark with Causal Intervened Likelihood Estimation,2025,5,1,39.89,citation:1,ForecastBench: A Dynamic Benchmark of AI Forecasting Capabilities,,,https://www.semanticscholar.org/paper/dfdbe546389eade0e4b161363d7c71385beaa48a,10.48550/arXiv.2504.01509,2504.01509,arXiv.org,Zhengwei Tao; Zhi Jin; Bincheng Li; Xiaoying Bai; Haiyan Zhao; Chengfeng Dou; Xiancai Chen; Jia Li; Linyu Li; Chongyang Tao,"Predicting future events based on news on the Web stands as one of the ultimate aspirations of artificial intelligence. Recent advances in large language model (LLM)-based systems have shown remarkable potential in forecasting future events, thereby garnering significant interest in the research community. Currently, several benchmarks have been established to evaluate the forecasting capabilities by formalizing the event prediction as a retrieval-augmented generation (RAG)-and-reasoning task. In these benchmarks, each prediction question is answered with relevant retrieved news articles downloaded from the Web. However, because there is no consideration of whether the questions can be supported by valid or sufficient supporting rationales, some of the questions in these benchmarks may be inherently noninferable. To address this issue, we introduce a new benchmark, PROPHET, which comprises inferable forecasting questions paired with relevant news for retrieval. To ensure the inferability of the benchmark, we propose Causal Intervened Likelihood (CIL), a statistical measure that assesses inferability through causal inference. In constructing this benchmark, we first collected recent trend forecasting questions, and then filtered the data using CIL resulting in an inferable benchmark for future forecasting. Through extensive experiments, we first demonstrate the validity of CIL and in-depth investigations into future forecasting with the aid of CIL. Subsequently, we evaluate several representative prediction methods on PROPHET. The overall results draws valuable insights for task of future directions."
5,Curated,"Forecasting, Geopolitical Risk, and Foresight",Forecasting performance and aggregation,Open-ended forecasting system trained and tested on global event questions with leakage controls.,91fd88896184dfb2d7aabcdd27f4a13f809832d2,Scaling Open-Ended Reasoning to Predict the Future,2025,6,1,38.23,citation:1,ForecastBench: A Dynamic Benchmark of AI Forecasting Capabilities,,,https://www.semanticscholar.org/paper/91fd88896184dfb2d7aabcdd27f4a13f809832d2,10.48550/arXiv.2512.25070,2512.25070,arXiv.org,Nikhil Chandak; Shashwat Goel; Ameya Prabhu; Moritz Hardt; Jonas Geiping,"High-stakes decision making involves reasoning under uncertainty about the future. In this work, we train language models to make predictions on open-ended forecasting questions. To scale up training data, we synthesize novel forecasting questions from global events reported in daily news, using a fully automated, careful curation recipe. We train the Qwen3 thinking models on our dataset, OpenForesight. To prevent leakage of future information during training and evaluation, we use an offline news corpus, both for data generation and retrieval in our forecasting system. Guided by a small validation set, we show the benefits of retrieval, and an improved reward function for reinforcement learning (RL). Once we obtain our final forecasting system, we perform held-out testing between May to August 2025. Our specialized model, OpenForecaster 8B, matches much larger proprietary models, with our training improving the accuracy, calibration, and consistency of predictions. We find calibration improvements from forecasting training generalize across popular benchmarks. We open-source all our models, code, and data to make research on language model forecasting broadly accessible."
6,Curated,"Forecasting, Geopolitical Risk, and Foresight",Forecasting benchmarks and datasets,Live forecasting arena for evaluating predictive intelligence in LLMs.,70c1ab60e9c8411426846cdad6a5258d1f816cbf,LLM-as-a-Prophet: Understanding Predictive Intelligence with Prophet Arena,2025,9,1,41.0,citation:1,ForecastBench: A Dynamic Benchmark of AI Forecasting Capabilities,,,https://www.semanticscholar.org/paper/70c1ab60e9c8411426846cdad6a5258d1f816cbf,10.48550/arXiv.2510.17638,2510.17638,arXiv.org,Qin Yang; Simon Mahns; Sida Li; Anri Gu; Jibang Wu; Haifeng Xu,"Forecasting is not only a fundamental intellectual pursuit but also is of significant importance to societal systems such as finance and economics. With the rapid advances of large language models (LLMs) trained on Internet-scale data, it raises the promise of employing LLMs to forecast real-world future events, an emerging paradigm we call""LLM-as-a-Prophet"". This paper systematically investigates such predictive intelligence of LLMs. To this end, we build Prophet Arena, a general evaluation benchmark that continuously collects live forecasting tasks and decomposes each task into distinct pipeline stages, in order to support our controlled and large-scale experimentation. Our comprehensive evaluation reveals that many LLMs already exhibit impressive forecasting capabilities, reflected in, e.g., their small calibration errors, consistent prediction confidence and promising market returns. However, we also uncover key bottlenecks towards achieving superior predictive intelligence via LLM-as-a-Prophet, such as LLMs'inaccurate event recalls, misunderstanding of data sources and slower information aggregation compared to markets when resolution nears."
7,Curated,"Forecasting, Geopolitical Risk, and Foresight",Forecasting performance and aggregation,ForecastBench-based comparison of LLM and human aggregate forecasting behavior.,6c82a21f4e814d2650a6aaf34a5a7576df874327,Crowdsourced versus large language models forecasting: evidence for the accuracy–correlation effect,2026,1,1,38.31,citation:1,ForecastBench: A Dynamic Benchmark of AI Forecasting Capabilities,,,https://www.semanticscholar.org/paper/6c82a21f4e814d2650a6aaf34a5a7576df874327,10.1098/rstb.2024.0456,,Philosophical Transactions B,Younes Jeddi; José I. Segovia-Martín; Emile Servan-Schreiber,"Over the past quarter century, crowdsourced forecasting has largely outperformed individual forecasters. Today, large language models (LLMs), aggregating human knowledge at scale, constitute a new form of collective intelligence (CI). A central question is how LLM predictive accuracy associates with human–AI correlation, and whether this relationship exceeds what would be expected if both merely track the same underlying truth. We investigate this through the accuracy–correlation effect (ACE), which posits that as algorithmic systems improve, they increasingly correlate with human predictions, potentially diminishing human value in hybrid ensembles. Using 76 model × prompt forecast sets from 16 LLMs on 580 resolved ForecastBench questions, we computed LLM accuracy and correlations with two human aggregates (superforecasters, general public), separately for databases (n = 526) and prediction markets (n = 54) questions. Linear mixed-effects models show a robust positive association between LLM accuracy and human–AI correlation that substantially exceeds independent-errors predictions. Correlations were lower for superforecasters than for the general public, and weaker for markets than for data questions. These results support ACE while indicating that increasing correlation reflects more than improved signal tracking alone, suggesting that simultaneous increases in accuracy and correlation may reduce optimal human weights in data-rich settings, while human judgement retains critical value in contextual reasoning scenarios. This article is part of the theme issue ‘The evolution of collective intelligence’."
8,Watchlist,"Forecasting, Geopolitical Risk, and Foresight",Forecasting performance and aggregation,Recent open-ended event-forecasting method kept for monitoring until citation and benchmark signal improves.,865afb1a343d72fc9f617e3679256a09934df9e1,Scattered Hypothesis Generation for Open-Ended Event Forecasting,2026,0,1,33.8,citation:1,ForecastBench: A Dynamic Benchmark of AI Forecasting Capabilities,,,https://www.semanticscholar.org/paper/865afb1a343d72fc9f617e3679256a09934df9e1,,2604.15788,,He Chang; Zhulin Tao; Lifang Yang; Xianglin Huang; Yunshan Ma,"Despite the importance of open-ended event forecasting for risk management, current LLM-based methods predominantly target only the most probable outcomes, neglecting the intrinsic uncertainty of real-world events. To bridge this gap, we advance open-ended event forecasting from pinpoint forecasting to scatter forecasting by introducing the proxy task of hypothesis generation. This paradigm aims to generate an inclusive and diverse set of hypotheses that broadly cover the space of plausible future events. To this end, we propose SCATTER, a reinforcement learning framework that jointly optimizes inclusiveness and diversity of the hypothesis. Specifically, we design a novel hybrid reward that consists of three components: 1) a validity reward that measures semantic alignment with observed events, 2) an intra-group diversity reward to encourage variation within sampled responses, and 3) an inter-group diversity reward to promote exploration across distinct modes. By integrating the validity-gated score into the overall objective, we confine the exploration of wildly diversified outcomes to contextually plausible futures, preventing the mode collapse issue. Experiments on two real-world benchmark datasets, i.e., OpenForecast and OpenEP, demonstrate that SCATTER significantly outperforms strong baselines. Our code is available at https://github.com/Sambac1/SCATTER."
9,Watchlist,"Forecasting, Geopolitical Risk, and Foresight",Forecasting benchmarks and datasets,Recent reproducible forecasting benchmark framework with explicit knowledge-cutoff controls.,ee0a3d33b5c2cc4f630dd4457aa9a175d5688f7a,OracleProto: A Reproducible Framework for Benchmarking LLM Native Forecasting via Knowledge Cutoff and Temporal Masking,2026,0,1,46.8,citation:1,ForecastBench: A Dynamic Benchmark of AI Forecasting Capabilities,,,https://www.semanticscholar.org/paper/ee0a3d33b5c2cc4f630dd4457aa9a175d5688f7a,,2605.03762,,Yiding Ma; Chengyu Ruan; Kaibo Huang; Zhongliang Yang; Linna Zhou,"Large language models are moving from static text generators toward real-world decision-support systems, where forecasting is a composite capability that links information gathering, evidence integration, situational judgment, and action-oriented decision making. This capability is in broad demand across finance, policy, industry, and scientific research, yet its evaluation remains difficult: live benchmarks evaluate forecasts before answers exist, making them the cleanest way to measure forecasting ability, but they expire once events resolve; retrospective benchmarks are reproducible, but they cannot reliably distinguish genuine forecasting from facts a model may have already learned during pretraining. Prompting models to""pretend not to know""cannot replace a genuine knowledge boundary. We propose OracleProto, a reproducible framework for evaluating LLM native forecasting capability. OracleProto reconstructs resolved events into time-bounded forecasting samples by combining model-cutoff-aligned sample admission, tool-level temporal masking, content-level leakage detection, discrete answer normalization, and hierarchical scoring. Instantiated on a FutureX-Past-derived dataset with six contemporary LLMs, OracleProto distinguishes forecasting quality, sampling stability, and cost efficiency under controlled information boundaries, while reducing residual leakage to the $1\%$ level, an order of magnitude below tool-only temporal filtering. OracleProto turns LLM forecasting from one-off evaluation into an auditable, reusable, and trainable dataset-level capability, providing a unified interface for fair cross-model comparison and a controlled signal source for downstream SFT and RL. Code and data are available at https://github.com/MaYiding/OracleProto and https://huggingface.co/datasets/MaYiding/OracleProto."
10,Watchlist,"Forecasting, Geopolitical Risk, and Foresight",Forecasting benchmarks and datasets,Prediction-market evaluation framework retained as a watchlist item because it is relevant but may drift toward generic market forecasting.,a3846e88d8f7aa7d19b1ec6b7d90b5fac704b007,TruthTensor: Evaluating LLMs through Human Imitation on Prediction Market under Drift and Holistic Reasoning,2026,1,1,54.31,citation:1,ForecastBench: A Dynamic Benchmark of AI Forecasting Capabilities,,,https://www.semanticscholar.org/paper/a3846e88d8f7aa7d19b1ec6b7d90b5fac704b007,10.48550/arXiv.2601.13545,2601.13545,arXiv.org,Shirin Shahabi; S. Graham; Haruna Isah,"Evaluating language models and AI agents remains fundamentally challenging because static benchmarks fail to capture real-world uncertainty, distribution shift, and the gap between isolated task accuracy and human-aligned decision-making under evolving conditions. This paper introduces TruthTensor, a novel, reproducible evaluation paradigm that measures reasoning models not only as prediction engines but as human-imitation systems operating in socially-grounded, high-entropy environments. Building on forward-looking, contamination-free tasks, our framework anchors evaluation to live prediction markets and combines probabilistic scoring to provide a holistic view of model behavior. TruthTensor complements traditional correctness metrics with drift-centric diagnostics and explicit robustness checks for reproducibility. It specify human vs. automated evaluation roles, annotation protocols, and statistical testing procedures to ensure interpretability and replicability of results. In experiments across 500+ real markets (political, economic, cultural, technological), TruthTensor demonstrates that models with similar forecast accuracy can diverge markedly in calibration, drift, and risk-sensitivity, underscoring the need to evaluate models along multiple axes (accuracy, calibration, narrative stability, cost, and resource efficiency). TruthTensor therefore operationalizes modern evaluation best practices, clear hypothesis framing, careful metric selection, transparent compute/cost reporting, human-in-the-loop validation, and open, versioned evaluation contracts, to produce defensible assessments of LLMs in real-world decision contexts. We publicly released TruthTensor at https://truthtensor.com."
