seed_file,id,priority,category,title,short_name,year_or_timeframe,paper_type_or_source,source_url,notes
llm_finance_papers.csv,1,P0,Survey,Large Language Models in Finance: A Survey,LLMs in Finance Survey,2023,Survey,https://arxiv.org/abs/2311.10723,"Covers prompting, fine-tuning, custom financial LLMs, and institutional adoption considerations."
llm_finance_papers.csv,2,P0,Survey,A Survey of Large Language Models in Finance: FinLLMs,FinLLMs Survey,2024,Survey,https://arxiv.org/abs/2402.02315,"Covers hallucination, privacy, efficiency, financial NLP tasks, and financial-domain models."
llm_finance_papers.csv,3,P0,Survey,"A Survey of Large Language Models for Financial Applications: Progress, Prospects and Challenges",Financial Applications Survey,2024,Survey,https://arxiv.org/abs/2406.11903,Useful for broad application taxonomy and resource collection.
llm_finance_papers.csv,4,P1,Survey / Investment Decision,The New Quant: A Survey of Large Language Models in Stock Return Prediction and Investment Decision-Making,The New Quant,2025,Survey,https://arxiv.org/html/2510.05533v1,Good second-level survey after general financial LLM surveys.
llm_finance_papers.csv,5,P1,Survey / Trading Agent,Large Language Model Agent in Financial Trading: A Survey,LLM Trading Agent Survey,2024,Survey,https://arxiv.org/abs/2408.06361,Especially relevant for agentic trading systems.
llm_finance_papers.csv,6,P1,Survey / Quantitative Investment,From Deep Learning to Large Language Models: A Survey of Artificial Intelligence in Quantitative Investment,AI in Quant Investment Survey,2025,Survey,https://arxiv.org/html/2503.21422v1,"Bridges deep learning, alpha strategy, and LLM-based investing."
llm_finance_papers.csv,7,P2,Survey,"Bridging Language Models and Financial Analysis: A Survey of Datasets, Models, and Applications",Bridging LMs and Financial Analysis,2025,Survey,https://arxiv.org/html/2503.22693,"Useful for synthesis across data, models, and applications."
llm_finance_papers.csv,8,P0,Financial LLM / Domain Pretraining,BloombergGPT: A Large Language Model for Finance,BloombergGPT,2023,Model,https://arxiv.org/abs/2303.17564,50B-parameter model trained on financial and general-purpose corpora.
llm_finance_papers.csv,9,P0,Financial LLM / Open Source,FinGPT: Open-Source Financial Large Language Models,FinGPT,2023,Model / Framework,https://arxiv.org/abs/2306.06031,Emphasizes data-centric pipelines and Low-Rank Adaptation fine-tuning.
llm_finance_papers.csv,10,P0,Financial LLM / Benchmark,"PIXIU: A Large Language Model, Instruction Data and Evaluation Benchmark for Finance",PIXIU / FinMA,2023,Model / Dataset / Benchmark,https://arxiv.org/abs/2306.05443,Important open-source financial LLM ecosystem paper.
llm_finance_papers.csv,11,P0,Financial Benchmark,FinBen: A Holistic Financial Benchmark for Large Language Models,FinBen,2024,Benchmark,https://arxiv.org/abs/2402.12659,"Also relevant for agent, stock trading, and Retrieval-Augmented Generation evaluation."
llm_finance_papers.csv,12,P1,Chinese Financial Benchmark,FinEval: A Chinese Financial Domain Knowledge Evaluation Benchmark for Large Language Models,FinEval,2023,Benchmark,https://arxiv.org/abs/2308.09975,"Contains Chinese finance questions across academic, industry, security, and agent domains."
