expansion_bucket,selection_reason,id,priority,category,title,year_or_timeframe,citationCount,seed_overlap_count,source_url,notes
recent_relevant_2024_plus; high_citation_relevant,"recent (2024), citations=208, seed_hits=1; high citation count (208)",22,Core,"Politics, Governance, and Public Opinion",AI can help humans find common ground in democratic deliberation,2024,208,1,https://www.semanticscholar.org/paper/5456e833710dba2bb3ae92621fa89c27733b1db0,Selected from the curated Semantic Scholar candidate set for deeper citation/reference tracing.
recent_relevant_2024_plus,"recent (2024), citations=94, seed_hits=1",23,Core,"Politics, Governance, and Public Opinion",Large language models as a substitute for human experts in annotating political text,2024,94,1,https://www.semanticscholar.org/paper/f8b64c2dad165c92cfb43081c7e0ed70b077ae85,Selected from the curated Semantic Scholar candidate set for deeper citation/reference tracing.
recent_relevant_2024_plus,"recent (2024), citations=87, seed_hits=1",15,Core,Multi-Agent Social and Political Simulation,Cooperate or Collapse: Emergence of Sustainable Cooperation in a Society of LLM Agents,2024,87,1,https://www.semanticscholar.org/paper/7b508f5a3168e2ecfcb821752dcae576905a50c5,Selected from the curated Semantic Scholar candidate set for deeper citation/reference tracing.
recent_relevant_2024_plus,"recent (2024), citations=72, seed_hits=3",1,Core,Forecasting and Decision-Making,Wisdom of the silicon crowd: LLM ensemble prediction capabilities rival human crowd accuracy,2024,72,3,https://www.semanticscholar.org/paper/e78188daf9a18840933f3acfc9b3ccfea3db7856,Selected from the curated Semantic Scholar candidate set for deeper citation/reference tracing.
recent_relevant_2024_plus,"recent (2024), citations=71, seed_hits=2",16,Core,Multi-Agent Social and Political Simulation,From Individual to Society: A Survey on Social Simulation Driven by Large Language Model-based Agents,2024,71,2,https://www.semanticscholar.org/paper/11a6d66791e244b01bf1a23a98158be789854876,Selected from the curated Semantic Scholar candidate set for deeper citation/reference tracing.
recent_relevant_2024_plus,"recent (2024), citations=57, seed_hits=1",8,Core,"Geopolitics, Diplomacy, and Strategic Simulation",Strategic behavior of large language models and the role of game structure versus contextual framing,2024,57,1,https://www.semanticscholar.org/paper/e46db119b320df6ac4a5091e1561c54c5aece797,Selected from the curated Semantic Scholar candidate set for deeper citation/reference tracing.
recent_relevant_2024_plus,"recent (2024), citations=37, seed_hits=4",17,Core,Multi-Agent Social and Political Simulation,ElectionSim: Massive Population Election Simulation Powered by Large Language Model Driven Agents,2024,37,4,https://www.semanticscholar.org/paper/57494e9f4eadbcdcd0dd4a6ba5c182dc64c0511d,Selected from the curated Semantic Scholar candidate set for deeper citation/reference tracing.
recent_relevant_2024_plus,"recent (2024), citations=35, seed_hits=3",18,Core,Multi-Agent Social and Political Simulation,Network formation and dynamics among multi-LLMs,2024,35,3,https://www.semanticscholar.org/paper/2acbb0a3833c13ecaec963e6b481c13152d5d585,Selected from the curated Semantic Scholar candidate set for deeper citation/reference tracing.
recent_relevant_2024_plus,"recent (2024), citations=31, seed_hits=3",9,Core,"Geopolitics, Diplomacy, and Strategic Simulation",On Large Language Models in National Security Applications,2024,31,3,https://www.semanticscholar.org/paper/bd802c99e2c2f5ead95507f252d6403f54077f18,Selected from the curated Semantic Scholar candidate set for deeper citation/reference tracing.
recent_relevant_2024_plus,"recent (2025), citations=23, seed_hits=1",25,Core,"Politics, Governance, and Public Opinion",Emergence of human-like polarization among large language model agents,2025,23,1,https://www.semanticscholar.org/paper/61d18f878dcd6ee9af171e45e763af114e6eced4,Selected from the curated Semantic Scholar candidate set for deeper citation/reference tracing.
recent_relevant_2024_plus,"recent (2025), citations=12, seed_hits=4",19,Core,Multi-Agent Social and Political Simulation,Validation is the central challenge for generative social simulation: a critical review of LLMs in agent-based modeling,2025,12,4,https://www.semanticscholar.org/paper/5cd29f769cced349fb7c5affb5c6d27fb387a69c,Selected from the curated Semantic Scholar candidate set for deeper citation/reference tracing.
recent_relevant_2024_plus,"recent (2024), citations=11, seed_hits=3",4,Core,Forecasting and Decision-Making,Are LLMs Prescient? A Continuous Evaluation using Daily News as the Oracle,2024,11,3,https://www.semanticscholar.org/paper/51229961bb32b1233be87b77946bfebefaff1f96,Selected from the curated Semantic Scholar candidate set for deeper citation/reference tracing.
