id,priority,theme,subtheme,title,year_or_timeframe,source_url,notes,resolved_paperId,resolved_title,resolved_year,citationCount,influentialCitationCount,venue,authors,doi,arxiv,semantic_scholar_url,publicationDate,publicationTypes,openAccessPdf,abstract,resolution_method,resolution_error
strat-found-001,Core,Political Science and Strategic Judgment Foundations,"Deterrence, coercion, and nuclear strategy",Arms and Influence,1966,,Schelling foundation for coercion coercive diplomacy threats commitments and strategic bargaining.,c4a1ff7f04858b2869298b99de53b906361b538f,ARMS AND INFLUENCE,1967,2033,56,Sam Nunn,T. Schelling,10.2307/j.ctvxkn7f8,,https://www.semanticscholar.org/paper/c4a1ff7f04858b2869298b99de53b906361b538f,1967-09-10,Review,,"Traditionally, Americans have viewed war as an alternative to diplomacy, and military strategy as the science of victory. Today, however, in our world of nuclear weapons, military power is not so much exercised as threatened. It is,Mr. Schelling says, bargaining power, and the exploitation of this power, for good or evil, to preserve peace or to threaten war, is diplomacy-the diplomacy of violence. The author concentrates in this book on the way in which military capabilities-real or imagined-are used, skillfully or clumsily, as bargaining power. He sees the steps taken by the U.S. during the Berlin and Cuban crises as not merely preparations for engagement, but as signals to an enemy, with reports from the adversary's own military intelligence as our most important diplomatic communications. Even the bombing of North Vietnam, Mr. Schelling points out, is as much coercive as tactical, aimed at decisions as much as bridges. He carries forward the analysis so brilliantly begun in his earlier The Strategy of Conflict (1960) and Strategy and Arms Control (with Morton Halperin, 1961), and makes a significant contribution to the growing literature on modern war and diplomacy. Stimson Lectures.Mr. Schelling is professor of economics at Harvard and acting director of Harvard's Center for International Affairs. ""An exemplary text on the interplay of national purpose and military force.""-Book Week. ""A grim but carefully reasoned and coldly analytical book...One of the most frightening previews which this reviewer has ever seen of the roads that lie just ahead in warfare.""-Los Angeles Times. ""A brilliant and hardheaded book. It will frighten those who prefer not to dwell on the unthinkable and infuriate those who have taken refuge in the stereotypes and moral attitudinizing.""-New York Times Book Review.",title_exact,
strat-found-002,Core,Political Science and Strategic Judgment Foundations,"Deterrence, coercion, and nuclear strategy",The Strategy of Conflict,1960,,Schelling foundation for strategic interaction bargaining commitment threats and focal points.,3f20d642bc455bc34df41fbf24e297d16f930359,The Strategy of Conflict,2018,0,0,,Donald E. Schulz; D. Schulz,10.4324/9780429495779-3,,https://www.semanticscholar.org/paper/3f20d642bc455bc34df41fbf24e297d16f930359,2018-02-06,,,,title_exact,
strat-found-003,Core,Political Science and Strategic Judgment Foundations,"Deterrence, coercion, and nuclear strategy",The Delicate Balance of Terror,1958,,Classic nuclear deterrence and second-strike vulnerability argument.,d7975b7956a2ca1cd73e75c836db7fb0c433ff3d,The Delicate Balance of Terror,1959,360,4,,A. Wohlstetter,10.1007/978-1-349-19791-0_12,,https://www.semanticscholar.org/paper/d7975b7956a2ca1cd73e75c836db7fb0c433ff3d,,,,,title_exact,
strat-found-004,Core,Political Science and Strategic Judgment Foundations,"Deterrence, coercion, and nuclear strategy",The Meaning of the Nuclear Revolution: Statecraft and the Prospect of Armageddon,1989,,Classic strategic-studies treatment of nuclear revolution and statecraft.,6c4f043a33dc0fe5e2610b44a40b024eb8c04258,The Meaning of the Nuclear Revolution: Statecraft and the Prospect of Armageddon,1989,24,1,,Robert Jervis,,,https://www.semanticscholar.org/paper/6c4f043a33dc0fe5e2610b44a40b024eb8c04258,,,,,title_exact,
strat-found-005,Core,Political Science and Strategic Judgment Foundations,"Deterrence, coercion, and nuclear strategy",The Evolution of Nuclear Strategy,1981,,Canonical history and theory of nuclear strategy.,9c6d7b47d877c7552ab98da841ca933fd049afdb,The Evolution of Nuclear Strategy,2019,20,1,,Lawrence Freedman; J. Michaels,10.1057/978-1-137-57350-6,,https://www.semanticscholar.org/paper/9c6d7b47d877c7552ab98da841ca933fd049afdb,2019-07-31,,https://link.springer.com/content/pdf/bfm:978-1-137-57350-6/1,,title_exact,
strat-found-006,Core,Political Science and Strategic Judgment Foundations,"Deterrence, coercion, and nuclear strategy",The Nuclear Taboo: The United States and the Non-Use of Nuclear Weapons Since 1945,2007,,Foundation for norms constraints and nuclear non-use.,e448d18989ff9c23f8203e4d6077efd656eb5469,THE NUCLEAR TABOO: THE UNITED STATES AND THE NON-USE OF NUCLEAR WEAPONS SINCE 1945,2008,351,5,,J. Nolan,10.1080/10736700802407267,,https://www.semanticscholar.org/paper/e448d18989ff9c23f8203e4d6077efd656eb5469,2008-10-13,,,,title_exact,
strat-found-007,Important,Political Science and Strategic Judgment Foundations,"Deterrence, coercion, and nuclear strategy",Nuclear Weapons and Coercive Diplomacy,2017,,Modern empirical foundation for nuclear coercion and crisis leverage.,5c640b359f5f003fd1cfedd3b970730574a35f13,Nuclear Weapons and Coercive Diplomacy,2017,67,2,,Todd S Sechser; M. Fuhrmann,10.1017/9781316227305,,https://www.semanticscholar.org/paper/5c640b359f5f003fd1cfedd3b970730574a35f13,2017-01-16,,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/5A15A67198FACB290F46BEF5A16A5D5D/9781316227305c3_p72-95_CBO.pdf/standoffs_nuclear_weapons_in_crisis_bargaining.pdf,,title_exact,
strat-found-008,Important,Political Science and Strategic Judgment Foundations,"Deterrence, coercion, and nuclear strategy",The Spread of Nuclear Weapons: More May Be Better,1981,,Classic proliferation and deterrence debate seed.,05af40c56355e30332c4e8f131d4f7ebc824df97,The spread of nuclear weapons: More may be better,1981,395,11,,Kenneth N. Waltz,10.1080/05679328108457394,,https://www.semanticscholar.org/paper/05af40c56355e30332c4e8f131d4f7ebc824df97,1981-09-01,,,,title_exact,
strat-found-009,Core,Political Science and Strategic Judgment Foundations,"Bargaining, signaling, and war",Rationalist Explanations for War,1995,,Canonical bargaining-theory account of war through information incentives and commitment problems.,505ed8c92f0b1ca9afdccdf4890f4e79415ee788,Rationalist explanations for war,1995,3515,195,International Organization,J. Fearon,10.1017/S0020818300033324,,https://www.semanticscholar.org/paper/505ed8c92f0b1ca9afdccdf4890f4e79415ee788,1995-06-01,,,,title_exact,
strat-found-010,Core,Political Science and Strategic Judgment Foundations,"Bargaining, signaling, and war",War as a Commitment Problem,2006,,Foundation for commitment-problem explanations of war and crisis bargaining.,c1326170cf6201586f0281177bcd4259a70cdae5,War as a Commitment Problem,2004,858,46,International Organization,R. Powell,10.1017/S0020818306060061,,https://www.semanticscholar.org/paper/c1326170cf6201586f0281177bcd4259a70cdae5,2004-12-09,,http://gnss.mcgill.ca/pages/powell.pdf,,title_exact,
strat-found-011,Core,Political Science and Strategic Judgment Foundations,"Bargaining, signaling, and war",The Inefficient Use of Power: Costly Conflict with Complete Information,2004,,Bargaining model showing inefficiency and conflict even with complete information.,9a1d08d579ac683b73fde4ed8e75bb9316f8c254,The Inefficient Use of Power: Costly Conflict with Complete Information,2004,258,10,American Political Science Review,R. Powell,10.1017/S000305540400111X,,https://www.semanticscholar.org/paper/9a1d08d579ac683b73fde4ed8e75bb9316f8c254,2004-05-01,,,,title_exact,
strat-found-012,Core,Political Science and Strategic Judgment Foundations,"Bargaining, signaling, and war",Bargaining and Learning While Fighting,2003,,Influential model linking war duration battlefield learning and bargaining.,36bd10840fd5ed90ef02b6c7cd285b40fade92dc,Bargaining and Learning While Fighting,2004,341,14,,R. Powell,10.1111/J.0092-5853.2004.00074.X,,https://www.semanticscholar.org/paper/36bd10840fd5ed90ef02b6c7cd285b40fade92dc,2004-04-01,,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/j.0092-5853.2004.00074.x,,title_exact,
strat-found-013,Important,Political Science and Strategic Judgment Foundations,"Bargaining, signaling, and war",Exploring the Bargaining Model of War,2003,,Review and extension of bargaining model of war.,f6f4f629792c070f050d28e30e84d5770e1735f1,Exploring the Bargaining Model of War,2003,342,9,Perspectives on Politics,Dan Reiter,10.1017/S1537592703000033,,https://www.semanticscholar.org/paper/f6f4f629792c070f050d28e30e84d5770e1735f1,2003-03-01,,,,title_exact,
strat-found-014,Important,Political Science and Strategic Judgment Foundations,"Bargaining, signaling, and war",Domestic Political Audiences and the Escalation of International Disputes,1994,,Audience-cost foundation for crisis signaling and domestic constraints.,f1de5d9f3a4f0282aff7363f30b652797f2f5d95,Domestic Political Audiences and the Escalation of International Disputes,1994,2205,90,American Political Science Review,J. Fearon,10.2307/2944796,,https://www.semanticscholar.org/paper/f1de5d9f3a4f0282aff7363f30b652797f2f5d95,1994-09-01,,,,title_exact,
strat-found-015,Important,Political Science and Strategic Judgment Foundations,"Bargaining, signaling, and war",Democracy and Coercive Diplomacy,2001,,Foundation linking democratic institutions audience costs and coercive diplomacy.,ae16fef14ee8088ee77a9e3008dfae6d1c496d9a,Democracy and Coercive Diplomacy,2001,579,19,,Kenneth A. Schultz,10.1017/CBO9780511491658.002,,https://www.semanticscholar.org/paper/ae16fef14ee8088ee77a9e3008dfae6d1c496d9a,2001-07-30,,,,title_exact,
strat-found-016,Important,Political Science and Strategic Judgment Foundations,"Bargaining, signaling, and war","A Bargaining Model of War and Peace: Anticipating the Onset, Duration, and Outcome of War",2002,,Formal bargaining model connecting war onset duration and settlement outcomes.,ddf87b9f14dd4ab89190b3a48d3ab163fb9dc091,"A Bargaining Model of War and Peace: Anticipating the Onset, Duration, and Outcome of War",2002,340,13,,Darren Filson; S. Werner,10.2307/3088436,,https://www.semanticscholar.org/paper/ddf87b9f14dd4ab89190b3a48d3ab163fb9dc091,2002-10-01,,https://www.econstor.eu/bitstream/10419/94597/1/2001-02.pdf,,title_exact,
strat-found-017,Core,Political Science and Strategic Judgment Foundations,Intelligence analysis and structured analytic techniques,Psychology of Intelligence Analysis,1999,,Classic intelligence-analysis treatment of cognitive bias and analytic judgment.,11a4401589217f85bbb8136ebbe482dac69732ad,Psychology of Intelligence Analysis,1999,918,76,,R. Heuer,,,https://www.semanticscholar.org/paper/11a4401589217f85bbb8136ebbe482dac69732ad,,Review,,,title_exact,
strat-found-018,Core,Political Science and Strategic Judgment Foundations,Intelligence analysis and structured analytic techniques,Structured Analytic Techniques for Intelligence Analysis,2010,,Core structured analytic techniques reference for intelligence tradecraft.,8adafdfdd58e8dcbf31d9cd21e2a6afaec61bfc4,Structured Analytic Techniques for Intelligence Analysis,2014,158,7,,S. Beebe,,,https://www.semanticscholar.org/paper/8adafdfdd58e8dcbf31d9cd21e2a6afaec61bfc4,2014-05-28,,,,title_exact,
strat-found-019,Core,Political Science and Strategic Judgment Foundations,Intelligence analysis and structured analytic techniques,Pearl Harbor: Warning and Decision,1962,,Classic warning failure and intelligence decision-making study.,0cdc0746b4c5678c9bd455f74f30c75ee3477381,Pearl Harbor: Warning and Decision,1963,129,3,,A. Nicholl,10.2307/2611225,,https://www.semanticscholar.org/paper/0cdc0746b4c5678c9bd455f74f30c75ee3477381,1963-07-01,,,,title_exact,
strat-found-020,Core,Political Science and Strategic Judgment Foundations,Intelligence analysis and structured analytic techniques,Essence of Decision: Explaining the Cuban Missile Crisis,1971,,Canonical decision-making and bureaucratic-politics analysis of crisis behavior.,fac3a8649c09224e1167a6ea403886f99899133d,Essence of Decision: Explaining the Cuban Missile Crisis,1972,3145,31,,G. Allison; Philip D. Zelikow,10.2307/446741,,https://www.semanticscholar.org/paper/fac3a8649c09224e1167a6ea403886f99899133d,1972-03-01,,,,title_exact,
strat-found-021,Important,Political Science and Strategic Judgment Foundations,Intelligence analysis and structured analytic techniques,Victims of Groupthink,1972,,Classic group decision-making failure foundation relevant to policy and crisis judgment.,1d804dc3800de03a6b9a6cd8e89318f6fb4b57bd,Victims Of Groupthink,1972,1862,51,,I. Janis,,,https://www.semanticscholar.org/paper/1d804dc3800de03a6b9a6cd8e89318f6fb4b57bd,,,,,title_exact,
strat-found-022,Important,Political Science and Strategic Judgment Foundations,Intelligence analysis and structured analytic techniques,Analogies at War: Korea Munich Dien Bien Phu and the Vietnam Decisions of 1965,1992,,Classic study of analogical reasoning in foreign-policy decisions.,c9d362b44ba6397a9ba5b9fcff75d563dcf0de9f,"Analogies at War: Korea, Munich, Dien Bien Phu, and the Vietnam Decisions of 1965",1993,701,19,,Yuen Foong Khong,10.2307/2167036,,https://www.semanticscholar.org/paper/c9d362b44ba6397a9ba5b9fcff75d563dcf0de9f,1993-04-01,,,,title_fuzzy,
strat-found-023,Important,Political Science and Strategic Judgment Foundations,Intelligence analysis and structured analytic techniques,Intelligence Analysis: A Target-Centric Approach,2003,,Influential intelligence-analysis methodology reference.,35b5e2a9320f75122aa00612934f2ed1fc6560cd,Intelligence Analysis: A Target-Centric Approach,2003,232,17,,R. Clark,,,https://www.semanticscholar.org/paper/35b5e2a9320f75122aa00612934f2ed1fc6560cd,2003-07-01,,,,title_exact,
strat-found-024,Important,Political Science and Strategic Judgment Foundations,Intelligence analysis and structured analytic techniques,Thinking in Time: The Uses of History for Decision-Makers,1986,,Decision-making foundation for historical analogy and statecraft.,6df5b7e3cdf23535b53fd170526ef2dbb2d8e426,Thinking in time: the uses of history for decision-makers,1988,369,14,,James Joll,10.2307/2621020,,https://www.semanticscholar.org/paper/6df5b7e3cdf23535b53fd170526ef2dbb2d8e426,,,,,title_exact,
